
[00:00:00.000 --> 00:00:02.240]  這個星期你們平安嗎?
[00:00:02.240 --> 00:00:03.240]  (平安)
[00:00:03.240 --> 00:00:04.840]  感恩啊
[00:00:04.840 --> 00:00:06.520]  回到家也已經平安了
[00:00:06.520 --> 00:00:08.840]  在我身邊很多人都確診了
[00:00:08.840 --> 00:00:12.080]  有些人吃完飯後
[00:00:12.080 --> 00:00:13.520]  知道對方也確診了
[00:00:13.520 --> 00:00:15.280]  於是不知道怎麼辦
[00:00:15.280 --> 00:00:18.280]  上星期臨時幫助房大衛洗禮
[00:00:18.280 --> 00:00:20.600]  洗完禮後幾個都確診了
[00:00:20.600 --> 00:00:23.040]  我們擔心的那盆水也挺毒的
[00:00:23.040 --> 00:00:25.040]  (笑)
[00:00:25.040 --> 00:00:27.400]  今天我們有機會的
[00:00:27.400 --> 00:00:28.280]  有生命氣息
[00:00:28.280 --> 00:00:30.480]  去到上帝面前我們敬拜
[00:00:30.480 --> 00:00:32.280]  因為神給我們恩典
[00:00:32.280 --> 00:00:34.680]  我們願意傳一個仰望
[00:00:34.680 --> 00:00:35.640]  學務神的心
[00:00:35.640 --> 00:00:37.640]  走到神的殿當中
[00:00:37.640 --> 00:00:41.000]  我今天想將教會的程序調一調
[00:00:41.000 --> 00:00:43.320]  我很想在講道之前
[00:00:43.320 --> 00:00:44.720]  歡迎新朋友
[00:00:44.720 --> 00:00:47.000]  在座當中有沒有第一次
[00:00:47.000 --> 00:00:49.200]  來到我們恩福堂聚會的新朋友
[00:00:49.200 --> 00:00:50.280]  有的請你起來
[00:00:50.280 --> 00:00:52.280]  讓我們歡迎你好不好?
[00:00:52.280 --> 00:00:54.040]  有沒有?在哪裡?
[00:00:54.040 --> 00:00:55.800]  在那裡,看到上面
[00:00:55.800 --> 00:00:57.880]  教會可不可以幫我給一份
[00:00:57.880 --> 00:01:01.000]  前面有一位先生
[00:01:01.000 --> 00:01:01.880]  還有沒有?
[00:01:01.880 --> 00:01:04.240]  那裡有幾位
[00:01:04.240 --> 00:01:06.000]  那裡有三位
[00:01:06.000 --> 00:01:08.000]  我們代表教會歡迎你
[00:01:08.000 --> 00:01:12.480]  我們有一份教會的禮物送給你
[00:01:12.480 --> 00:01:16.040]  這個就是教會的紀念包
[00:01:16.040 --> 00:01:18.400]  還有一些新來賓留名表
[00:01:18.400 --> 00:01:20.080]  你填完之後請你
[00:01:20.080 --> 00:01:23.080]  三位之後去一樓我們接待處
[00:01:23.080 --> 00:01:26.360]  跟我們弟兄姊妹接待大使聯絡
[00:01:26.360 --> 00:01:28.680]  讓我們介紹教會聚會給你
[00:01:28.680 --> 00:01:30.680]  還有網上的弟兄姊妹
[00:01:30.680 --> 00:01:32.480]  你們也可以透過
[00:01:32.480 --> 00:01:33.800]  當中有個方法
[00:01:33.800 --> 00:01:37.120]  點進去填寫你留名
[00:01:37.120 --> 00:01:39.120]  讓我們教會接觸你
[00:01:39.120 --> 00:01:43.160]  這個月第四個主日
[00:01:43.160 --> 00:01:44.880]  是教會的主題講道
[00:01:44.880 --> 00:01:47.840]  故此我負責今天的中堂和五堂
[00:01:47.840 --> 00:01:50.560]  我們會繼續講以西傑書
[00:01:50.560 --> 00:01:53.440]  今天我跟大家講的題目
[00:01:53.440 --> 00:01:56.560]  就是「帶著答案求敏神」
[00:01:56.560 --> 00:01:59.440]  會看以西傑書第十三、十四章
[00:01:59.440 --> 00:02:02.640]  通常讀起來十三、十四章
[00:02:02.640 --> 00:02:04.360]  都已經是幾個字
[00:02:04.360 --> 00:02:07.720]  我就抽到精要的地方來讀
[00:02:07.720 --> 00:02:09.560]  讓我們簡單
[00:02:09.560 --> 00:02:11.160]  但是拿到重點
[00:02:11.160 --> 00:02:12.760]  去閱讀神的話語
[00:02:12.760 --> 00:02:15.440]  首先我們想跟大家一起讀
[00:02:15.440 --> 00:02:18.280]  十四章的第六節
[00:02:18.280 --> 00:02:20.840]  二十一節和二十三節
[00:02:20.840 --> 00:02:23.440]  螢幕好像看不到
[00:02:23.440 --> 00:02:24.320]  不要理會
[00:02:24.320 --> 00:02:26.320]  我們一起讀不讀得到
[00:02:26.320 --> 00:02:27.520]  好了
[00:02:27.520 --> 00:02:29.200]  我們一起讀
[00:02:29.200 --> 00:02:31.480]  第六二十一、二十三節
[00:02:31.480 --> 00:02:32.080]  十四章
[00:02:32.080 --> 00:02:33.720]  預備一二三
[00:02:33.720 --> 00:02:37.360]  所以你要告訴以色列家說
[00:02:37.360 --> 00:02:39.640]  主耶和華如此說
[00:02:39.640 --> 00:02:40.800]  回頭吧
