
[00:00:00.000 --> 00:00:07.000]  在此特別想向每一位父親致意
[00:00:07.000 --> 00:00:08.800]  因為今天是父親節
[00:00:08.800 --> 00:00:11.800]  在此謹代表教會
[00:00:11.800 --> 00:00:15.440]  向各位父親致意
[00:00:15.440 --> 00:00:22.320]  在我們開始今天的崇拜節
[00:00:22.320 --> 00:00:23.600]  先我們一起來祈禱
[00:00:23.600 --> 00:00:25.000]  將我們的時間交給神
[00:00:26.880 --> 00:00:28.640]  參天我們感謝你
[00:00:28.640 --> 00:00:31.760]  帶領我們有生命有氣息
[00:00:31.760 --> 00:00:33.480]  回到你的家
[00:00:33.480 --> 00:00:36.400]  來親近你、敬拜你
[00:00:36.400 --> 00:00:39.640]  帶領我們安靜我們的心
[00:00:39.640 --> 00:00:43.080]  讓我們去聽你自己對我們說的話
[00:00:43.080 --> 00:00:45.680]  無論說的、聽的
[00:00:45.680 --> 00:00:48.320]  都讓我們同感一靈
[00:00:48.320 --> 00:00:51.200]  被聖靈去開啟我們的心
[00:00:51.200 --> 00:00:54.200]  又叫我們能用我們的生命
[00:00:54.200 --> 00:00:56.920]  去回應你自己的教導
[00:00:56.920 --> 00:01:00.080]  帶領我們以下時間聽我們的祈禱
[00:01:00.080 --> 00:01:02.680]  是奉主耶穌基督得聖名求
[00:01:02.680 --> 00:01:03.680]  阿們
[00:01:04.480 --> 00:01:06.720]  今天想和大家一起去思想經文
[00:01:06.720 --> 00:01:11.840]  是記載在《馬大福音》第五章十三到十六節
[00:01:11.840 --> 00:01:15.680]  這是我接續第一講的天國憲章
[00:01:15.680 --> 00:01:18.280]  一個基督徒的生命
[00:01:18.280 --> 00:01:20.200]  但是我們有了生命的特質之後
[00:01:20.200 --> 00:01:21.520]  我們應該要怎樣呢?
[00:01:21.520 --> 00:01:24.160]  今天耶穌給我們有一個好的提醒
[00:01:24.160 --> 00:01:24.920]  我們開始之前
[00:01:24.920 --> 00:01:30.440]  我們先來讀《馬大福音》第五章十三到十六節
[00:01:33.640 --> 00:01:35.040]  我們一起來要中讀
[00:01:36.040 --> 00:01:38.800]  你們是地上的鹽
[00:01:38.800 --> 00:01:40.800]  炎藥失了味
[00:01:40.800 --> 00:01:43.520]  怎能叫它再鹹呢
[00:01:43.520 --> 00:01:45.400]  它不再有用
[00:01:45.400 --> 00:01:48.080]  只好被雕在外面
[00:01:48.080 --> 00:01:49.960]  人人踐踏
[00:01:49.960 --> 00:01:52.520]  你們是世上的光
[00:01:52.520 --> 00:01:54.560]  成造在山上
[00:01:54.560 --> 00:01:56.680]  是不能隱藏的
[00:01:56.680 --> 00:01:58.000]  人點燈
[00:01:58.000 --> 00:02:00.000]  不放在斗底下
[00:02:00.000 --> 00:02:02.720]  是放在燈台上
[00:02:02.720 --> 00:02:05.200]  就照亮一家的人
[00:02:05.200 --> 00:02:09.480]  你們的光也要這樣照在人前
[00:02:09.480 --> 00:02:13.040]  叫他們看見你們的好行為
[00:02:13.040 --> 00:02:17.240]  把榮耀歸給你們天上的父
[00:02:17.240 --> 00:02:18.920]  有人說
[00:02:18.920 --> 00:02:23.240]  今天是一個迷失混亂的時代
[00:02:23.240 --> 00:02:25.600]  很多人迫使他的工作
[00:02:25.600 --> 00:02:28.240]  被社會的政治
[00:02:28.240 --> 00:02:33.600]  或者這些問題佔據他們大多數的時間
[00:02:33.600 --> 00:02:38.800]  以至很多人的心思都放在這些事情上
[00:02:38.800 --> 00:02:41.280]  他們更沒有什麼能力
[00:02:41.280 --> 00:02:43.280]  再有心力
[00:02:43.280 --> 00:02:49.040]  時間去思想自己的人生目標和方向
[00:02:49.040 --> 00:02:51.120]  他們只是日復日
[00:02:51.120 --> 00:02:54.400]  無奈地這樣工作
[00:02:54.400 --> 00:02:57.920]  為三餐一宿去打拼
[00:02:57.920 --> 00:03:00.240]  而且這種情況
[00:03:00.240 --> 00:03:05.360]  也都出現在不少的基督徒的身上
[00:03:05.360 --> 00:03:06.560]  不知道
[00:03:06.560 --> 00:03:09.720]  你是不是也是這樣來生活呢?
[00:03:09.720 --> 00:03:13.400]  但是主耶穌對每個屬於祂的人
[00:03:13.400 --> 00:03:15.880]  都有祂的要求
[00:03:15.880 --> 00:03:19.040]  祂要求我們要脫去舊人
[00:03:19.040 --> 00:03:20.680]  穿上新人
[00:03:20.680 --> 00:03:22.560]  祂要求我們要一個
[00:03:22.560 --> 00:03:25.560]  換而一新的生命
[00:03:25.560 --> 00:03:29.880]  要活出一個生命的人生
[00:03:29.880 --> 00:03:36.320]  這個正正是一個屬世與屬靈交戰的裏面
[00:03:36.320 --> 00:03:39.840]  我們不知道怎樣來擺脫世俗的羈押
[00:03:39.840 --> 00:03:43.400]  以致我們能夠去回應耶穌
[00:03:43.400 --> 00:03:47.200]  今天我就很想和大家一起從
[00:03:47.200 --> 00:03:51.560]  《馬來福音》第五章十三到十六節
[00:03:51.560 --> 00:04:00.040]  我們去看耶穌給我們的要求
[00:04:00.040 --> 00:04:02.240]  在這段經文裏面說
[00:04:02.240 --> 00:04:03.240]  一開始的時候
