
[00:00:00.000 --> 00:00:04.000]  今天在崇拜裡面
[00:00:04.000 --> 00:00:05.500]  我們有一個特別的嘉賓
[00:00:05.500 --> 00:00:09.000]  會跟我們分享她的生命故事
[00:00:09.000 --> 00:00:12.000]  分享神在她生命裡面的作為
[00:00:12.000 --> 00:00:18.000]  這位姐妹是來自雅歌團契的姐妹
[00:00:18.000 --> 00:00:19.000]  叫Jenny
[00:00:19.000 --> 00:00:23.000]  她的人生裡面經歷過很多風浪
[00:00:23.000 --> 00:00:25.000]  在裡面也看到
[00:00:25.000 --> 00:00:32.000]  上帝怎樣帶著她跨過人生的種種風浪
[00:00:32.000 --> 00:00:35.000]  我就不說太多了
[00:00:35.000 --> 00:00:37.000]  把時間交給Jenny姐妹
[00:00:37.000 --> 00:00:39.000]  我們用掌聲歡迎她
[00:00:39.000 --> 00:00:47.000]  大家好
[00:00:47.000 --> 00:00:49.000]  我是雅歌團契的Jenny
[00:00:49.000 --> 00:00:52.000]  很感謝建量牧師的邀請
[00:00:52.000 --> 00:00:56.000]  可以跟大家分享我的經歷
[00:00:56.000 --> 00:00:58.000]  因為原生家庭的影響
[00:00:58.000 --> 00:01:00.000]  我是一個沒有自信
[00:01:00.000 --> 00:01:01.000]  很依賴人
[00:01:01.000 --> 00:01:03.000]  又不懂得去愛人的人
[00:01:03.000 --> 00:01:05.000]  在我的世界裡
[00:01:05.000 --> 00:01:08.000]  只有我的丈夫Jimmy
[00:01:08.000 --> 00:01:11.000]  我兒子Joe和我奶奶
[00:01:11.000 --> 00:01:13.000]  我奶奶很疼我的
[00:01:13.000 --> 00:01:15.000]  她當我是她的女兒一樣
[00:01:15.000 --> 00:01:19.000]  我很享受又美滿又幸福的生活
[00:01:19.000 --> 00:01:21.000]  但是可以告訴你們
[00:01:21.000 --> 00:01:23.000]  這不是必然的
[00:01:23.000 --> 00:01:25.000]  在2012年
[00:01:25.000 --> 00:01:27.000]  丈夫Jimmy的手
[00:01:27.000 --> 00:01:30.000]  開始發現有些不太靈活
[00:01:30.000 --> 00:01:32.000]  經過檢查診斷
[00:01:32.000 --> 00:01:34.000]  說他患上一個
[00:01:34.000 --> 00:01:37.000]  學名叫做運動神經原疾病
[00:01:37.000 --> 00:01:39.000]  也就是顫動人症
[00:01:39.000 --> 00:01:41.000]  這個病的初期
[00:01:41.000 --> 00:01:43.000]  是四肢無力
[00:01:43.000 --> 00:01:47.000]  吞吞吐吐都會有困難
[00:01:47.000 --> 00:01:49.000]  到最後會因為呼吸困難
[00:01:49.000 --> 00:01:51.000]  而離開世界
[00:01:51.000 --> 00:01:54.000]  是一個無法治療的絕症
[00:01:54.000 --> 00:01:56.000]  那時候我很不明白
[00:01:56.000 --> 00:02:00.000]  我明明在走一條幸福的康莊大道
[00:02:00.000 --> 00:02:03.000]  為什麼會去到懸崖邊
[00:02:03.000 --> 00:02:06.000]  還要好像有人在後面推我下去
[00:02:06.000 --> 00:02:08.000]  死定了
[00:02:08.000 --> 00:02:11.000]  當時有很多很多不明白
[00:02:11.000 --> 00:02:16.000]  無端端為什麼和死亡兩個字會這麼近
[00:02:16.000 --> 00:02:20.000]  但是人的盡頭真是神的開始
[00:02:20.000 --> 00:02:22.000]  我們一家就開始回教會
[00:02:22.000 --> 00:02:24.000]  有團契生活
[00:02:24.000 --> 00:02:28.000]  步入了神為我們預備的恩典之路
[00:02:28.000 --> 00:02:32.000]  雖然Jimmy的病沒有神跡地康復
