
[00:00:00.000 --> 00:00:05.000]  我們預備好聽神的話了嗎?
[00:00:05.000 --> 00:00:11.000]  願不願意神跟我們說話,跟我們相遇,去轉化我們的生命?
[00:00:11.000 --> 00:00:13.000]  我們一起禱告吧,告訴神吧!
[00:00:13.000 --> 00:00:18.000]  天父,我們很感謝你,再一次感謝你,因為你犧牲你的愛子
[00:00:18.000 --> 00:00:25.000]  耶穌基督為我們成就救恩,以致我們得著豐盛的生命
[00:00:25.000 --> 00:00:34.000]  多謝你把聖靈賜給我們,聖靈下就求你讓我們有一份渴慕神話語的心
[00:00:34.000 --> 00:00:40.000]  更願意被你更新轉化,以致我們的行事為人,跟我們的救恩相稱
[00:00:40.000 --> 00:00:45.000]  禱告交代奉教主耶穌的聖名而求,阿們
[00:00:45.000 --> 00:00:52.000]  過去幾年是我人生裡面面對最多風暴的日子
[00:00:52.000 --> 00:00:58.000]  香港政治的變化,全球的世紀疫症,移民潮的衝擊
[00:00:58.000 --> 00:01:04.000]  浮上沒多久,香港又出現了不尋常的極端天氣
[00:01:04.000 --> 00:01:10.000]  鄰近的北海道有雪蟲肆虐,我也是第一次知道
[00:01:10.000 --> 00:01:16.000]  接著韓國又怎樣?又有蟲蝨之災
[00:01:16.000 --> 00:01:21.000]  我突然間在想是不是十災再現呢?
[00:01:21.000 --> 00:01:28.000]  而俄烏戰爭還沒有停火的跡象,以巴戰爭已經死傷無數
[00:01:28.000 --> 00:01:34.000]  最近我還認識一些的肢體,他們的家屬
[00:01:34.000 --> 00:01:38.000]  最近相繼突然離開
[00:01:38.000 --> 00:01:45.000]  難關一浪接一浪,過完一關又一關
[00:01:45.000 --> 00:01:50.000]  我突然間感受到,好像進入了一個苦難的世代
[00:01:50.000 --> 00:01:54.000]  不知道你有沒有同感
[00:01:54.000 --> 00:01:58.000]  作為基督徒,我們可以怎樣在這個世代裡自處
[00:01:58.000 --> 00:02:03.000]  還有幫助在困苦當中的人呢?
[00:02:03.000 --> 00:02:07.000]  只是祈求神拿走苦難?
[00:02:07.000 --> 00:02:13.000]  又或者無視身處的處境
[00:02:13.000 --> 00:02:16.000]  如果我們不去正視苦難的事實
[00:02:16.000 --> 00:02:23.000]  如果我們只想逃避,有可能會令我們煞過措手不及
[00:02:23.000 --> 00:02:28.000]  甚至令我們跌入情緒的低谷
[00:02:28.000 --> 00:02:32.000]  2022年全港精神健康指數調查
[00:02:32.000 --> 00:02:39.000]  顯示香港人的平均分是47.64,是否合格?
[00:02:39.000 --> 00:02:46.000]  連續五年的平均分都不能符合世衛的合格標準
[00:02:46.000 --> 00:02:51.000]  在一千名受訪者中,有五成四都是不合格的
[00:02:51.000 --> 00:02:55.000]  三成六是屬於可接受的水平
[00:02:55.000 --> 00:03:02.000]  少於一成的人的精神健康狀況良好
[00:03:02.000 --> 00:03:09.000]  工作、個人前途、財政狀況成為了香港人最主要的壓力源頭
[00:03:09.000 --> 00:03:12.000]  這個調查結果亦反映
[00:03:12.000 --> 00:03:18.000]  有一成五的人有焦慮症的症狀
[00:03:18.000 --> 00:03:23.000]  而有一成二的人有抑鬱症的症狀
[00:03:23.000 --> 00:03:28.000]  隨時都可以成為情緒病患者
[00:03:28.000 --> 00:03:36.000]  弟兄姊妹,我們不能不承認我們人其實很脆弱
[00:03:36.000 --> 00:03:44.000]  我們經常受我們的際遇影響,甚至被逆境打垮
[00:03:44.000 --> 00:03:49.000]  更加遑論我們要面對信仰的迫害
[00:03:49.000 --> 00:03:52.000]  我們很希望我們的神,我們的主
[00:03:52.000 --> 00:03:56.000]  藉著使徒彼得的教導
[00:03:56.000 --> 00:04:03.000]  讓我們更有智慧和能力回應現實生活中的困境
[00:04:03.000 --> 00:04:09.000]  能夠承載苦難,提升我們的逆境、智商和精神健康
[00:04:09.000 --> 00:04:15.000]  更重要的是培育我們成為一個忠心跟隨主的門徒
[00:04:15.000 --> 00:04:19.000]  願意為主而活,至死不渝
[00:04:19.000 --> 00:04:23.000]  不過心智說就很容易
[00:04:23.000 --> 00:04:26.000]  做很多時候都會有心無力
[00:04:26.000 --> 00:04:31.000]  我記得我曾經在電影院裡看過一齣苦難的戲
[00:04:31.000 --> 00:04:34.000]  當下我跟神祈禱
[00:04:34.000 --> 00:04:38.000]  我說:神啊,你憐憫我這個很怕痛的人
[00:04:38.000 --> 00:04:41.000]  如果有一天我要為你的緣故忍受這些苦難
[00:04:41.000 --> 00:04:46.000]  我相信我會否認你,我受不了
[00:04:46.000 --> 00:04:50.000]  彼得作為耶穌的大弟子
[00:04:50.000 --> 00:04:56.000]  他曾經誇口說他會至死不渝地跟隨主
[00:04:56.000 --> 00:05:00.000]  他沒有想過在危急的關頭
[00:05:00.000 --> 00:05:06.000]  他竟然一次再一次再一次地去否認主
