
[00:00:00.000 --> 00:00:06.000]  很感恩能夠在這裏見到大家 一起敬拜上帝
[00:00:06.000 --> 00:00:10.000]  那你跟隔壁那個說 歡迎你回來恩福堂聚會 跟他講一聲
[00:00:10.000 --> 00:00:19.000]  我們一起的敬拜主 我們一起禱告 好嗎
[00:00:19.000 --> 00:00:21.000]  真是天父我們多謝你
[00:00:21.000 --> 00:00:25.000]  讓我們能夠每個禮拜自由的來到你的面前聚集
[00:00:25.000 --> 00:00:28.000]  敬拜你 讓你的榮光充滿我們
[00:00:28.000 --> 00:00:31.000]  更加盼望你的榮光充滿這個城市 充滿這個大地
[00:00:31.000 --> 00:00:33.000]  願主祝福我們今天的敬拜
[00:00:33.000 --> 00:00:35.000]  不單止你得了空德的榮耀
[00:00:35.000 --> 00:00:39.000]  你更將你的榮耀奉庇整個的中國大地
[00:00:39.000 --> 00:00:41.000]  以致更加多人認識你 歸向你
[00:00:41.000 --> 00:00:45.000]  我們這樣禱告 奉耶穌基督的名義求 阿們
[00:00:45.000 --> 00:00:50.000]  先講一下家事 大家見到我們外面在做裝修
[00:00:50.000 --> 00:00:52.000]  有些人不知道在做什麼 是不是在做外牆呢
[00:00:52.000 --> 00:00:55.000]  其實不是的 因為我們在做一樓的冷氣
[00:00:55.000 --> 00:00:57.000]  因為我們一樓的冷氣已經用了二十多年
[00:00:57.000 --> 00:01:00.000]  裡面有些東西比較髒 我們要換掉它
[00:01:00.000 --> 00:01:02.000]  但要換一樓的冷氣 要在外面換
[00:01:02.000 --> 00:01:05.000]  所以大家就為這件事要禱告
[00:01:05.000 --> 00:01:08.000]  有沒有人經常為恩福堂禱告 舉手來看看
[00:01:08.000 --> 00:01:10.000]  嘩 這麼少嗎
[00:01:10.000 --> 00:01:14.000]  難怪我們的工程好像經常有些什麼
[00:01:14.000 --> 00:01:16.000]  記得要為恩福堂禱告
[00:01:16.000 --> 00:01:18.000]  因為我們有很多的維修在做
[00:01:18.000 --> 00:01:21.000]  大家又看一看 見不見到我們紮住了
[00:01:21.000 --> 00:01:25.000]  那個膜紮住了的繩子 有條白色繩子
[00:01:25.000 --> 00:01:26.000]  為什麼要紮住它呢
[00:01:26.000 --> 00:01:29.000]  因為它知道我們今天要弄兩個新的螢幕
[00:01:29.000 --> 00:01:33.000]  那個用了二十多年的馬達就不動了
[00:01:33.000 --> 00:01:36.000]  那個馬達不動 膜就捲不回上去
[00:01:36.000 --> 00:01:38.000]  所以我們紮住了它
[00:01:38.000 --> 00:01:41.000]  不過好消息是我們換了兩個螢幕
[00:01:41.000 --> 00:01:42.000]  以致我不知道
[00:01:42.000 --> 00:01:44.000]  希望三樓那些可以看得清楚一點
[00:01:44.000 --> 00:01:46.000]  是不是可以看得清楚一點
[00:01:46.000 --> 00:01:47.000]  真的感謝你
[00:01:47.000 --> 00:01:48.000]  前面那些就辛苦一點
[00:01:48.000 --> 00:01:49.000]  我們感謝神姐
[00:01:49.000 --> 00:01:53.000]  很多的頂姊妹附上了這些擺相
[00:01:53.000 --> 00:01:56.000]  因為我自己坐三樓的時候都覺得自己有些
[00:01:56.000 --> 00:01:59.000]  眼睛都是一般般的 看得不是很清楚
