
[00:00:00.000 --> 00:00:04.000]  最近我們教會有不少教睦同工
[00:00:04.000 --> 00:00:06.000]  以及團體弟兄姊妹
[00:00:06.000 --> 00:00:11.000]  以及家人、家人都有患病的消息
[00:00:11.000 --> 00:00:14.000]  我們同工會這個星期二
[00:00:14.000 --> 00:00:19.000]  都特別為很多患病的同工或家人去禱告
[00:00:19.000 --> 00:00:22.000]  聽到他們分享患病的消息
[00:00:22.000 --> 00:00:24.000]  那個艱辛過程
[00:00:24.000 --> 00:00:27.000]  聽到心裏面很沉重
[00:00:27.000 --> 00:00:30.000]  除了祈禱、向主交托
[00:00:30.000 --> 00:00:34.000]  或是見到面表示關心問候
[00:00:34.000 --> 00:00:39.000]  其實真的不知道可以做些甚麼
[00:00:39.000 --> 00:00:43.000]  現在香港生活是越來越不容易
[00:00:43.000 --> 00:00:45.000]  面對不少限制
[00:00:45.000 --> 00:00:48.000]  譬如睡覺這個問題
[00:00:48.000 --> 00:00:54.000]  大家睡得好不好?
[00:00:54.000 --> 00:00:59.000]  這樣問,如果睡得好,你舉手
[00:00:59.000 --> 00:01:02.000]  OK
[00:01:02.000 --> 00:01:04.000]  按統計資料
[00:01:04.000 --> 00:01:09.000]  四成香港人自覺睡眠質素不合格
[00:01:09.000 --> 00:01:13.000]  你剛才舉手的數字是差不多的
[00:01:13.000 --> 00:01:16.000]  另外五個人裏面
[00:01:16.000 --> 00:01:20.000]  有一個受到不同程度情緒病的困擾
[00:01:20.000 --> 00:01:24.000]  例如煩躁、憂慮、情緒低落等等
[00:01:24.000 --> 00:01:27.000]  我不會叫你們舉手,請放心
[00:01:27.000 --> 00:01:32.000]  這些問題只是我們生活裏面的一部分
[00:01:32.000 --> 00:01:37.000]  睡眠問題或情緒問題
[00:01:37.000 --> 00:01:42.000]  我們信主的人都很難去衡量
[00:01:42.000 --> 00:01:47.000]  只不過可能程度上有些不同
[00:01:47.000 --> 00:01:52.000]  前面的路好像越來越難走
[00:01:52.000 --> 00:01:54.000]  而在信仰的認知上
[00:01:54.000 --> 00:01:57.000]  我們知道神是大能的神
[00:01:57.000 --> 00:02:00.000]  譬如很多經文告訴我們
[00:02:00.000 --> 00:02:03.000]  神是我們的幫助、靠山
[00:02:03.000 --> 00:02:06.000]  是我們的避難所
[00:02:06.000 --> 00:02:10.000]  但不知為何當我們遇到生活困難的時候
[00:02:10.000 --> 00:02:16.000]  是否仍然可以堅持對主信靠的心
[00:02:16.000 --> 00:02:20.000]  有句說話:人在江湖,身不由己
[00:02:20.000 --> 00:02:22.000]  我希望這句說話在我們信仰裏面
[00:02:22.000 --> 00:02:24.000]  不是一個宿命
[00:02:24.000 --> 00:02:30.000]  即是在神裏面我們可以找到突破或出路
[00:02:30.000 --> 00:02:33.000]  能夠經歷到神是我們的幫助
[00:02:33.000 --> 00:02:38.000]  我們先一起禱告
