
[00:00:00.000 --> 00:00:03.080]  很開心見到大家在這裡一起來晚堂
[00:00:03.080 --> 00:00:04.840]  有崇拜的時間
[00:00:04.840 --> 00:00:08.400]  很想講一個故事給大家聽
[00:00:08.400 --> 00:00:11.360]  在我團體裡有一位姐妹
[00:00:11.360 --> 00:00:13.240]  她2011年結婚
[00:00:13.240 --> 00:00:15.280]  有美滿的家庭
[00:00:15.280 --> 00:00:17.920]  她努力工作賺錢
[00:00:17.920 --> 00:00:20.680]  但是2012年,即是一年
[00:00:20.680 --> 00:00:24.400]  她發現她身體出現免疫系統出現問題
[00:00:24.400 --> 00:00:27.120]  短時間內失去她視力
[00:00:27.120 --> 00:00:28.440]  失去她四肢活動
[00:00:28.440 --> 00:00:29.880]  只可以睡在床上
[00:00:29.880 --> 00:00:32.480]  她問:「你會怎樣?」
[00:00:32.480 --> 00:00:38.600]  結婚一年,不能動
[00:00:38.600 --> 00:00:44.720]  她說回當時她睡在那裡的時候
[00:00:44.720 --> 00:00:48.200]  在醫院有一位姑娘去探望她
[00:00:48.200 --> 00:00:51.400]  說要為她祈禱,鼓勵她
[00:00:51.400 --> 00:00:55.400]  「耶穌很愛你的,你有什麼不明白」
[00:00:55.400 --> 00:00:57.040]  「你有很多事情不知怎樣的」
[00:00:57.040 --> 00:00:58.800]  「你不如問祂,你跟祂祈禱」
[00:00:59.680 --> 00:01:01.200]  這位姐妹說
[00:01:01.200 --> 00:01:03.400]  「這位神如果真的這麼愛我」
[00:01:03.400 --> 00:01:05.600]  「為什麼祂容許這些事情發生在我身上」
[00:01:05.600 --> 00:01:07.800]  「我認識很多基督徒的朋友」
[00:01:07.800 --> 00:01:10.200]  「都來為我祈禱」
[00:01:10.200 --> 00:01:11.520]  「我不是一樣的,睡在這裡嗎?」
[00:01:11.520 --> 00:01:14.320]  「如果這位神真的這麼厲害」
[00:01:14.320 --> 00:01:15.480]  「不如叫祂先醫好我」
[00:01:15.480 --> 00:01:17.480]  她不肯相信,不肯祈禱
[00:01:17.480 --> 00:01:20.080]  這位姐妹說
[00:01:20.080 --> 00:01:21.800]  那位姑娘聽完她說之後
[00:01:21.800 --> 00:01:22.720]  不停地哭
[00:01:22.720 --> 00:01:25.360]  你是不是覺得很有趣?
[00:01:25.360 --> 00:01:27.480]  現在是你生病
[00:01:27.480 --> 00:01:28.760]  不過那位姑娘在哭
[00:01:28.760 --> 00:01:30.640]  一步一步跟她說
[00:01:30.640 --> 00:01:33.080]  「我知道今天你發生的事情」
[00:01:33.080 --> 00:01:34.400]  「一定是神有祂的心意」
[00:01:34.400 --> 00:01:35.960]  「你不明白」
[00:01:35.960 --> 00:01:37.640]  「你不如祈禱吧」
[00:01:37.640 --> 00:01:38.600]  「你直接問神吧」
[00:01:38.600 --> 00:01:39.680]  「不要問我,我也不知道」
[00:01:39.680 --> 00:01:42.080]  這個答案不錯
[00:01:42.080 --> 00:01:44.280]  「你自己祈禱問神吧」
[00:01:44.280 --> 00:01:47.960]  最後為她祈禱,然後就走了
[00:01:47.960 --> 00:01:51.160]  這位姐妹因為不能動,看不到
[00:01:51.160 --> 00:01:53.960]  於是她就開始試試
[00:01:53.960 --> 00:01:56.040]  既然如此,不如試試祈禱吧
[00:01:57.240 --> 00:01:57.960]  她就祈禱
