
[00:00:00.000 --> 00:00:02.000]  勇敢走出去
[00:00:02.000 --> 00:00:04.000]  大家回來崇拜
[00:00:04.000 --> 00:00:06.000]  其實你都是走出勇敢的一步
[00:00:06.000 --> 00:00:08.000]  有很多的挑戰
[00:00:08.000 --> 00:00:10.000]  有很多的引誘
[00:00:10.000 --> 00:00:12.000]  有很多的藉口
[00:00:12.000 --> 00:00:14.000]  但你都願意努力
[00:00:14.000 --> 00:00:16.000]  回來崇拜
[00:00:16.000 --> 00:00:18.000]  讓我們今天
[00:00:18.000 --> 00:00:20.000]  透過詩歌
[00:00:20.000 --> 00:00:22.000]  透過神自己的話語
[00:00:22.000 --> 00:00:24.000]  再給我們提醒
[00:00:24.000 --> 00:00:26.000]  我想考考大家
[00:00:26.000 --> 00:00:28.000]  對這個世界
[00:00:28.000 --> 00:00:30.000]  發生的事情
[00:00:30.000 --> 00:00:32.000]  會不會勾起
[00:00:32.000 --> 00:00:34.000]  信主前的回憶
[00:00:34.000 --> 00:00:36.000]  信主前的回憶
[00:00:36.000 --> 00:00:38.000]  我們有三條聲音
[00:00:38.000 --> 00:00:40.000]  6秒很快
[00:00:40.000 --> 00:00:42.000]  我們聽第一條
[00:00:42.000 --> 00:00:52.000]  有沒有買過
[00:00:52.000 --> 00:00:54.000]  有啦
[00:00:54.000 --> 00:00:56.000]  六合彩
[00:00:56.000 --> 00:00:58.000]  我記得我當年中學的時候
[00:00:58.000 --> 00:01:00.000]  好像是兩元一條
[00:01:00.000 --> 00:01:02.000]  不知道多少年前
[00:01:02.000 --> 00:01:04.000]  現在多少我也不知道
[00:01:04.000 --> 00:01:06.000]  總之你付出一點點
[00:01:06.000 --> 00:01:08.000]  有機會很多錢
[00:01:08.000 --> 00:01:10.000]  很大希望
[00:01:10.000 --> 00:01:12.000]  所以每期都有人買
[00:01:12.000 --> 00:01:14.000]  第二條
[00:01:14.000 --> 00:01:22.000]  沒有什麼反應
[00:01:22.000 --> 00:01:24.000]  有沒有
[00:01:24.000 --> 00:01:26.000]  全世界
[00:01:26.000 --> 00:01:28.000]  一時間
[00:01:28.000 --> 00:01:30.000]  全世界通行
[00:01:30.000 --> 00:01:32.000]  他都可以拿一百萬
[00:01:32.000 --> 00:01:34.000]  但不是給兩元就能拿很多
[00:01:34.000 --> 00:01:36.000]  你要怎樣
[00:01:36.000 --> 00:01:38.000]  答題目
[00:01:38.000 --> 00:01:40.000]  打電話問朋友
[00:01:40.000 --> 00:01:42.000]  總之很多方法
[00:01:42.000 --> 00:01:44.000]  要用一點智慧
[00:01:44.000 --> 00:01:46.000]  有一點運氣
[00:01:46.000 --> 00:01:48.000]  你就能拿到一百萬
[00:01:48.000 --> 00:01:50.000]  所以很多人都去玩
[00:01:50.000 --> 00:01:52.000]  有沒有人去玩過
[00:01:52.000 --> 00:01:54.000]  沒有
[00:01:54.000 --> 00:01:56.000]  第三條
