
[00:00:00.000 --> 00:00:16.000]   大家好,我是陳慧琼,今天是教會的總主題,馬可福音第四講,破繭蛻變。
[00:00:16.000 --> 00:00:31.000]   今天的經文是記載在馬可福音,請大家是五章一至二十節,大家看到的時候我們一起先讀福音書裡面的經文,我們預備,一二三。
[00:00:31.000 --> 00:00:59.000]   他們來到海那邊格拉森的地方,耶穌一下船,就有一個被污鬼附著的人從焚營裡出來迎著他。那人上了焚營裡,沒有人能困住他,用鐵鏈也不能,因為人類似用腳鐐和鐵鏈困鎖他。
[00:00:59.000 --> 00:01:17.000]   鐵鏈竟被他爭奪了,腳鐐也被他弄碎了,總沒有人能制服他。他就夜上在焚營裡和山中喊叫,又用石頭撞自己。
[00:01:17.000 --> 00:01:37.000]   他遠遠地看見耶穌,就跑過去拜他,大聲呼叫說:「至高神的兒子耶穌,我與你有什麼相干?我只著神懇求你,不要叫我受苦。」
[00:01:37.000 --> 00:01:55.000]   至恩慧曾吩咐他說:「污鬼啊,從這人身上出來吧。」耶穌問他說:「你叫什麼?」回答說:「我名叫群,因為我們多的緣故。」
[00:01:55.000 --> 00:02:16.000]   就在三地求耶穌不要叫他們離開那地方,在那裡山坡上有一大群豬吃,鬼就哀求耶穌說:「求你打發我們往豬群去,附著豬去。」
[00:02:16.000 --> 00:02:43.000]   耶穌准了他們,污鬼就出來進入豬裡去,於是那群豬衝下山崖,投在海裡,淹死了。豬的數目約有二千,放豬的就逃跑了,去告訴城裡和鄉下的人,眾人就來要看是什麼事。
[00:02:43.000 --> 00:03:10.000]   他們來到耶穌那裡,看見那被鬼附著的人,就是從前被群鬼所附的,坐著,穿上衣服,心裡明白過來,他們就害怕,看見這事的人便將鬼附之人所遇見的和那群豬的事都告訴了眾人。
[00:03:10.000 --> 00:03:24.000]   眾人就哀求耶穌離開他們的境界。耶穌上船的時候,從前被鬼附著的人,懇求和耶穌同在。
[00:03:24.000 --> 00:03:52.000]   耶穌不許對他說:「你回家去,到你的親屬那裡,將主為你所做的事何等大的事,是怎樣憐憫你,都告訴他們。那人就走了,在底加玻璃傳揚耶穌為他做了何等大的事。」眾人就都稀奇。
[00:03:52.000 --> 00:04:10.000]   我們一起低頭禱告吧。神啊,我們感謝讚美你,因為你賜下聖經寶貴的話語。主啊,求你藉著今天孩子所分享的,都成為弟兄姊妹的激勵。
[00:04:10.000 --> 00:04:30.000]   因為你在我們身上同樣作了何等大的奇事。主啊,求你幫助我們,讓你得著每一個人的心,聽我們的禱告,恭敬將以下的時間傳言獻上給你。祈禱感恩交託奉主耶穌基督,聖名祈求。阿們。
[00:04:30.000 --> 00:04:59.000]   有一個退役的軍人,他出席完一個休戰的紀念活動之後,他看到附近有一個流浪漢,他覺得這個人很面善,好奇地他就走上去,就向他遞上一支煙,然後就打開了話題,結果他發現原來眼前這個流浪漢,竟然是自己失散多年的弟弟。
[00:04:59.000 --> 00:05:19.000]   軍人見到這個人之後,他帶著好奇關心的行動,就被他遇見失散多年的弟弟,帶來了很大的驚喜。同樣是見到,但是不是每個人都有一個驚喜的結果。
