
[00:00:00.000 --> 00:00:02.600]  不知道大家有沒有印象
[00:00:02.600 --> 00:00:09.400]  其實2026年的標青崇拜的講道系列是約翰福音
[00:00:09.400 --> 00:00:15.400]  今年整年的標青講道都是講約翰福音
[00:00:15.400 --> 00:00:20.400]  當然上星期Foreign講道是講約書亞記
[00:00:20.400 --> 00:00:22.800]  因為約書亞記是教會的主題
[00:00:22.800 --> 00:00:26.800]  我們每個月都會有一次教會性的主題講道
[00:00:26.800 --> 00:00:30.800]  其他都是講約翰福音
[00:00:30.800 --> 00:00:35.800]  我想福音書對大家來說應該是很熟悉的學行
[00:00:35.800 --> 00:00:36.800]  對於信徒來說
[00:00:36.800 --> 00:00:40.800]  信主應該是認識關於耶穌基督的事情
[00:00:40.800 --> 00:00:41.800]  雖然很熟悉
[00:00:41.800 --> 00:00:45.800]  但我們都很期望透過約翰福音
[00:00:45.800 --> 00:00:48.800]  再一次被上帝提醒我們
[00:00:48.800 --> 00:00:51.800]  提醒我們一些很熟悉的東西
[00:00:51.800 --> 00:00:52.800]  很基本的東西
[00:00:52.800 --> 00:00:55.800]  但我們卻忘記了的東西
[00:00:55.800 --> 00:00:58.800]  今天就來到第三章
[00:00:58.800 --> 00:01:02.800]  我的講題叫逆轉的生命
[00:01:02.800 --> 00:01:06.800]  所以耶穌經常聽見見證都是這樣
[00:01:06.800 --> 00:01:08.800]  我以前很壞很壞很壞格教
[00:01:08.800 --> 00:01:09.800]  所以耶穌就很好很好
[00:01:09.800 --> 00:01:13.800]  我們生命應該有一個轉變
[00:01:13.800 --> 00:01:15.800]  應該是一個很大的轉變
[00:01:15.800 --> 00:01:18.800]  剛才詩歌也有說耶穌是光
[00:01:18.800 --> 00:01:21.800]  信了主的人我們都不會再在黑暗裏面
[00:01:21.800 --> 00:01:23.800]  我們會在光明裏面
[00:01:23.800 --> 00:01:25.800]  這是一個很大的轉變
[00:01:25.800 --> 00:01:29.800]  不過在我們的生活或信仰裏
[00:01:29.800 --> 00:01:31.800]  有時又不是這樣體會
[00:01:31.800 --> 00:01:35.800]  有時我們可能都是浮下沉下
[00:01:35.800 --> 00:01:37.800]  有時光明又走進
[00:01:37.800 --> 00:01:38.800]  黑暗又跳入
[00:01:38.800 --> 00:01:41.800]  中間又走
[00:01:41.800 --> 00:01:46.800]  但聖經又說我們應該是進入了光明
[00:01:46.800 --> 00:01:50.800]  那甚麼原因令我們經常跳來跳去呢
[00:01:50.800 --> 00:01:53.800]  或者有甚麼方法
[00:01:53.800 --> 00:01:58.800]  讓我們能夠活出一個光的人生呢
[00:01:58.800 --> 00:02:00.800]  希望今天透過這篇經文
[00:02:00.800 --> 00:02:03.800]  讓大家有提醒
[00:02:03.800 --> 00:02:04.800]  經文是約翰福經
[00:02:04.800 --> 00:02:07.800]  三章十六至二十一節
[00:02:07.800 --> 00:02:09.800]  邀請大家一起讀
[00:02:09.800 --> 00:02:11.800]  好 預備起
[00:02:11.800 --> 00:02:13.800]  神愛世人
[00:02:13.800 --> 00:02:17.800]  甚至將他獨一的兒子賜給他們
[00:02:17.800 --> 00:02:20.800]  但信他的人不致滅亡
[00:02:20.800 --> 00:02:21.800]  反得渾身
[00:02:21.800 --> 00:02:25.800]  因為神差他的兒子到世上來
[00:02:25.800 --> 00:02:28.800]  不是要定世人的罪
[00:02:28.800 --> 00:02:31.800]  而是要使世人因他得救
[00:02:31.800 --> 00:02:34.800]  信他的人不被定罪
[00:02:34.800 --> 00:02:37.800]  不信的人已經被定罪了
[00:02:37.800 --> 00:02:41.800]  因為他不信神獨一兒子的名
[00:02:41.800 --> 00:02:43.800]  光來到世上
[00:02:43.800 --> 00:02:46.800]  而是引因自己的行為是惡的
[00:02:46.800 --> 00:02:49.800]  不愛光 倒愛黑暗
[00:02:49.800 --> 00:02:52.800]  這就定了他們的罪
[00:02:52.800 --> 00:02:55.800]  凡作惡的人都恨護光
[00:02:55.800 --> 00:02:57.800]  不來接近光
[00:02:57.800 --> 00:03:00.800]  恐怕他的行為被暴露
[00:03:00.800 --> 00:03:04.800]  但實行真理的人就來接近光
[00:03:04.800 --> 00:03:08.800]  為要顯明他的行為是靠神而行的
[00:03:08.800 --> 00:03:10.800]  好 我們從低頭禱告
[00:03:10.800 --> 00:03:14.800]  天衞上帝 相信這段經文我們都很熟悉
[00:03:14.800 --> 00:03:16.800]  但我們仍然相信
[00:03:16.800 --> 00:03:18.800]  我們知道很多
[00:03:18.800 --> 00:03:21.800]  但我們好像很無力地走出來
[00:03:21.800 --> 00:03:23.800]  求聖靈幫助我們
[00:03:23.800 --> 00:03:25.800]  做一次開通我們的耳朵
[00:03:25.800 --> 00:03:27.800]  也開通我們的心眼
[00:03:27.800 --> 00:03:29.800]  讓我們明白經文
[00:03:29.800 --> 00:03:30.800]  也讓我們能夠進入
[00:03:30.800 --> 00:03:32.800]  並且能夠走出來
[00:03:32.800 --> 00:03:33.800]  求主祢和我們同在
[00:03:33.800 --> 00:03:35.800]  我們今晚祈禱交堂
[00:03:35.800 --> 00:03:37.800]  向耶穌基督名祈求
[00:03:37.800 --> 00:03:38.800]  阿們
[00:03:39.800 --> 00:03:42.800]  這也是一段大家很熟悉的經文
[00:03:42.800 --> 00:03:44.800]  特別是十六節
[00:03:44.800 --> 00:03:46.800]  我相信大家會背
[00:03:46.800 --> 00:03:49.800]  這段經文如果你有留心
[00:03:49.800 --> 00:03:54.800]  其實跟一張頭的內容很相似
[00:03:54.800 --> 00:03:57.800]  都是說人本身是罪人
[00:03:57.800 --> 00:04:00.800]  不喜歡光 在黑暗裏面
[00:04:00.800 --> 00:04:02.800]  在罪的當中
[00:04:02.800 --> 00:04:05.800]  我們注定是死亡 滅亡
[00:04:05.800 --> 00:04:08.800]  但耶穌基督這位真國
[00:04:08.800 --> 00:04:11.800]  道成肉身 來到世界
[00:04:11.800 --> 00:04:14.800]  但祂來的時候不是要定我們罪
[00:04:14.800 --> 00:04:16.800]  而是要光照我們人生
[00:04:16.800 --> 00:04:17.800]  因祂的救恩
[00:04:17.800 --> 00:04:20.800]  因耶穌基督得生命
[00:04:20.800 --> 00:04:22.800]  從罪 黑暗裏面
[00:04:22.800 --> 00:04:25.800]  能夠回轉 歸向光明
[00:04:25.800 --> 00:04:29.800]  如果我們留心看三章十六至二十四節
[00:04:29.800 --> 00:04:30.800]  我們會發覺
[00:04:30.800 --> 00:04:34.800]  約翰用了很多對比的字眼
[00:04:34.800 --> 00:04:36.800]  應該大家都看到
[00:04:36.800 --> 00:04:38.800]  約翰是一個很清晰的群體
[00:04:38.800 --> 00:04:40.800]  你會發覺有很多對比
[00:04:40.800 --> 00:04:42.800]  光與黑暗
[00:04:42.800 --> 00:04:44.800]  永生與滅亡
[00:04:44.800 --> 00:04:47.800]  得救與定罪
[00:04:47.800 --> 00:04:50.800]  恨護光 還是迎接光
[00:04:50.800 --> 00:04:53.800]  恨惡 還是恨真理
[00:04:53.800 --> 00:04:59.800]  這些對比其實是約翰寫作的特色
[00:04:59.800 --> 00:05:01.800]  很想讓讀者
[00:05:01.800 --> 00:05:03.800]  振挖我們今天的信徒
[00:05:03.800 --> 00:05:06.800]  一個屬天的生命
[00:05:06.800 --> 00:05:09.800]  與屬地的生命很不一樣
[00:05:09.800 --> 00:05:12.800]  耶穌基督能夠讓人的生命
[00:05:12.800 --> 00:05:14.800]  帶來這麼大的逆轉
[00:05:14.800 --> 00:05:16.800]  這麼大的變化
