
[00:00:00.000 --> 00:00:02.720]  不如我們給掌聲我們的侍奉團隊
[00:00:02.720 --> 00:00:06.160]  我們的詩詩、AV Team、勁敗隊
[00:00:06.160 --> 00:00:08.640]  特別是勁敗隊,我也很欣賞他們
[00:00:08.640 --> 00:00:10.920]  其實兩位主席
[00:00:10.920 --> 00:00:16.080]  由1月開始已經計劃了不清少主日
[00:00:16.080 --> 00:00:17.720]  所以在裡面…
[00:00:17.720 --> 00:00:19.480]  慘了,我真是…
[00:00:19.480 --> 00:00:22.160]  一開始已經是這樣,那怎麼辦
[00:00:22.160 --> 00:00:25.000]  很開心的一件事,很體會到
[00:00:25.000 --> 00:00:28.240]  其實我已經完全封鎖了
[00:00:28.320 --> 00:00:31.160]  但不要緊,我做了清少
[00:00:31.160 --> 00:00:33.840]  我在這裡數,我想已經有20年時間
[00:00:33.840 --> 00:00:35.520]  其實我半個人生都在這裡
[00:00:35.520 --> 00:00:38.000]  今天唱這首歌…
[00:00:38.000 --> 00:00:41.080]  真是…
[00:00:41.080 --> 00:00:44.800]  又有…
[00:00:44.800 --> 00:00:49.360]  對,我數算我的年日
[00:00:49.360 --> 00:00:52.720]  我覺得一切都沒有了
[00:00:52.720 --> 00:00:57.160]  我覺得這首歌是神給我的
[00:00:58.440 --> 00:01:01.160]  我做下去時,我很深信一件事
[00:01:01.160 --> 00:01:02.080]  一切都是值得的
[00:01:02.080 --> 00:01:05.400]  無論在裡面有甚麼困難
[00:01:05.400 --> 00:01:07.240]  有甚麼不容易的時間
[00:01:07.240 --> 00:01:09.920]  其實我很清楚知道這件事很有價值
[00:01:09.920 --> 00:01:13.480]  所以清少很想讓你們知道
[00:01:13.480 --> 00:01:15.200]  那種價值是多麼好的一件事
[00:01:15.200 --> 00:01:17.440]  很希望大家可以體會到
[00:01:17.440 --> 00:01:21.320]  不如我們先祈禱,一起祈禱
[00:01:21.320 --> 00:01:25.640]  唱天火,很感謝你帶領我們
[00:01:25.640 --> 00:01:27.280]  認識你的話語
[00:01:27.360 --> 00:01:31.120]  並且當中,我們今天有這個清少主日
[00:01:31.120 --> 00:01:34.880]  讓我們可以認識到
