
[00:00:00.000 --> 00:00:05.360]  今天我的主題是「歡迎回到神的家」
[00:00:05.360 --> 00:00:10.640]  我用這七個字去歡迎弟兄姊妹回到神的家
[00:00:10.640 --> 00:00:12.640]  今天是8月9日
[00:00:12.640 --> 00:00:16.480]  8月份對於我來說是一個很重要的月份
[00:00:16.480 --> 00:00:21.920]  因為我在2002年微信主的時候來到恩福堂
[00:00:21.920 --> 00:00:25.120]  眨眼已經是24年了
[00:00:25.120 --> 00:00:28.520]  不經不覺已經是24年的光景
[00:00:28.520 --> 00:00:31.800]  我的頭髮還是黑色的
[00:00:31.800 --> 00:00:38.360]  感謝神這24年教會讓我能夠去服侍不同的群體
[00:00:38.360 --> 00:00:43.080]  無論是兒童、青少、甚至今天是長者
[00:00:43.080 --> 00:00:46.600]  當中很感恩能夠接觸不同的群體
[00:00:46.600 --> 00:00:50.040]  給我很多的學習和成長
[00:00:50.040 --> 00:00:52.600]  每一個群體都有它獨特之處
[00:00:52.600 --> 00:00:55.080]  給我很多的學習
[00:00:55.080 --> 00:00:57.000]  不過無論是什麼群體都好
[00:00:57.000 --> 00:00:59.280]  我想都不重要
[00:00:59.280 --> 00:01:01.760]  最重要是弟兄姊妹的關係
[00:01:01.760 --> 00:01:07.320]  我想這是一個很重要的連繫
[00:01:07.320 --> 00:01:10.080]  弟兄姊妹,今天你和神的關係是怎樣的呢?
[00:01:10.080 --> 00:01:11.760]  和弟兄姊妹的關係是怎樣的呢?
[00:01:11.760 --> 00:01:15.320]  讓我們在教會裏面一起去學習和成長
[00:01:15.320 --> 00:01:17.480]  今天我想問一個問題
[00:01:17.480 --> 00:01:21.520]  究竟教會吸引人的地方在哪裡呢?
[00:01:21.520 --> 00:01:25.320]  是不是長沙環道789號很方便呢?
[00:01:25.320 --> 00:01:30.000]  還是我們這棟大廈19層樓有很多設備呢?
[00:01:30.000 --> 00:01:33.120]  還是我們音福堂有很多聚會
[00:01:33.120 --> 00:01:35.880]  吸引到弟兄姊妹來到我們當中呢?
[00:01:35.880 --> 00:01:38.520]  我相信這些都不是
[00:01:38.520 --> 00:01:40.720]  我記得我初初信主的時候
[00:01:40.720 --> 00:01:41.880]  我很感恩
[00:01:41.880 --> 00:01:46.640]  當時在團契裏面翻了一段時間
[00:01:46.640 --> 00:01:51.720]  有位傳道人約我吃飯
[00:01:51.720 --> 00:01:53.120]  今天我還很記得
[00:01:53.120 --> 00:01:57.280]  去了荔枝角的一間餐廳裏面
[00:01:57.280 --> 00:01:58.920]  和他一起吃飯
[00:01:58.920 --> 00:02:01.120]  我以為傳道人和我吃飯
[00:02:01.120 --> 00:02:03.880]  當然是和我探討一下信仰
[00:02:03.880 --> 00:02:06.040]  信主的歷程
[00:02:06.040 --> 00:02:08.080]  我的成長是怎樣的
[00:02:08.080 --> 00:02:09.520]  但原來不是
[00:02:09.520 --> 00:02:12.560]  這位傳道人和我一起吃飯
[00:02:12.560 --> 00:02:14.200]  純粹聊天
[00:02:14.200 --> 00:02:17.280]  了解一下我究竟是怎樣
[00:02:17.280 --> 00:02:20.200]  到今天我仍然很記得
[00:02:20.200 --> 00:02:24.280]  很記得這位傳道人怎樣陪著我一起成長
[00:02:24.280 --> 00:02:26.800]  日後不單止是吃飯
[00:02:26.800 --> 00:02:28.600]  更加是一起侍奉
[00:02:28.600 --> 00:02:30.000]  一起去服侍
[00:02:30.000 --> 00:02:33.000]  在當中遇到任何的情況裏面
[00:02:33.000 --> 00:02:35.400]  這位傳道人都陪著我
[00:02:35.400 --> 00:02:39.600]  一起去面對很多不同的處境
[00:02:39.600 --> 00:02:42.480]  就是因為這樣
[00:02:42.480 --> 00:02:43.800]  生命影響生命
[00:02:43.800 --> 00:02:45.280]  到今天我自己的時候
[00:02:45.280 --> 00:02:51.480]  我都仍然有一些被影響
[00:02:51.480 --> 00:02:52.880]  當我去服侍的時候
[00:02:52.880 --> 00:02:55.200]  我有時候都約弟兄姊妹吃飯
[00:02:55.200 --> 00:02:57.080]  不過當然不是吃飯那麼簡單
