
[00:00:00.000 --> 00:00:05.280]  今天我們要看的經文是《雅各書》
[00:00:05.280 --> 00:00:11.680]  《雅各書》是我們今年教會的主題經卷
[00:00:11.680 --> 00:00:15.080]  記不記得上年我們看過什麼書卷?
[00:00:15.080 --> 00:00:16.880]  聽聽
[00:00:16.880 --> 00:00:19.440]  《爾忽所》,有人記得
[00:00:19.440 --> 00:00:22.720]  上年其實剛剛看完《爾忽所》書
[00:00:22.720 --> 00:00:26.480]  現在2025年開始我們會看《雅各書》
[00:00:26.480 --> 00:00:32.000]  我們今年第一堂是講《雅各書》
[00:00:32.000 --> 00:00:33.760]  又是我做開示的那個
[00:00:33.760 --> 00:00:37.560]  今年教會很希望同上年一樣
[00:00:37.560 --> 00:00:42.160]  藉著《雅各書》在低迷的社會環境下
[00:00:42.160 --> 00:00:45.640]  希望繼續鼓勵弟兄姊妹在生活裡面
[00:00:45.640 --> 00:00:49.560]  以信仰化為行動去回應這個時代
[00:00:49.560 --> 00:00:52.960]  無論我們社會環境是怎樣
[00:00:52.960 --> 00:00:56.280]  可能是順境或者是困境也好
[00:00:56.280 --> 00:00:58.520]  我們同樣都能夠藉著信仰
[00:00:58.520 --> 00:01:02.680]  帶著信心和盼望去回應這個世代
[00:01:02.680 --> 00:01:05.040]  我們可以藉著耶穌基督
[00:01:05.040 --> 00:01:09.200]  去展現我們信仰的影響力和生命力
[00:01:09.200 --> 00:01:12.040]  所以今天我們會開始一起看看
[00:01:12.040 --> 00:01:16.960]  《雅各書》對我們生命裡面有什麼提醒
[00:01:16.960 --> 00:01:20.000]  在開始講《雅各書》之前
[00:01:20.000 --> 00:01:21.600]  剛剛也說了
[00:01:21.640 --> 00:01:27.160]  我們社會環境是否近來都可以說是差
[00:01:27.160 --> 00:01:30.120]  很多指數反映給我們聽
[00:01:30.120 --> 00:01:34.480]  究竟我們怎樣去衡量一個社會
[00:01:34.480 --> 00:01:38.000]  究竟是經濟好或者是社會氣氛好
[00:01:38.000 --> 00:01:40.520]  我不知道你們有沒有留意這些東西
[00:01:40.520 --> 00:01:45.000]  在職的初職的你們有沒有留意這些東西
[00:01:45.000 --> 00:01:48.400]  我們經常都聽什麼KPI
[00:01:48.400 --> 00:01:50.400]  什麼恆生指數
[00:01:50.400 --> 00:01:52.400]  什麼GPD
[00:01:52.400 --> 00:01:54.400]  經常都聽這些東西
[00:01:54.400 --> 00:01:56.960]  不過我不知道你們是否認識
[00:01:56.960 --> 00:01:59.360]  我們聽聽到底我們又知道多少
[00:01:59.360 --> 00:02:01.840]  對我們有什麼關係
[00:02:01.840 --> 00:02:03.040]  不過其實那些東西
[00:02:03.040 --> 00:02:05.040]  我也不是很認識
[00:02:05.040 --> 00:02:07.760]  我也不知道那些是說什麼
[00:02:07.760 --> 00:02:11.600]  不過我自己來到這個階段
[00:02:11.600 --> 00:02:15.480]  自己年紀也開始大了
[00:02:15.480 --> 00:02:17.840]  最關注是什麼?年紀大
[00:02:18.640 --> 00:02:20.080]  身體
[00:02:20.080 --> 00:02:22.400]  最關注自己的健康
[00:02:22.400 --> 00:02:23.920]  我先分享一下
[00:02:23.920 --> 00:02:31.200]  其實我早前就跟我太太Koyi一起去驗身
[00:02:31.200 --> 00:02:33.200]  其實我對自己
[00:02:33.200 --> 00:02:35.200]  我走出來看一下我的身形
[00:02:35.200 --> 00:02:41.560]  我不知道你怎樣衡量我的身體
[00:02:41.560 --> 00:02:45.960]  身體連繫於健康怎樣去理解
[00:02:45.960 --> 00:02:47.960]  其實我很坦白的說
[00:02:47.960 --> 00:02:50.880]  我對自己身體的健康也沒有什麼信心
[00:02:50.880 --> 00:02:54.880]  我這個身形最怕什麼?
[00:02:54.880 --> 00:02:56.880]  什麼三高
