
[00:00:00.000 --> 00:00:04.320]  鼎姐妹,今天的講題狼心如鐵
[00:00:04.320 --> 00:00:08.960]  所宣講的經文是馬克福音的十六章的九至十四節
[00:00:08.960 --> 00:00:12.600]  只得讓我們一起同心大聲讀出神的話語
[00:00:12.600 --> 00:00:15.480]  馬克福音十四章九至十四節
[00:00:15.480 --> 00:00:18.160]  我們選用的和合本修訂版
[00:00:18.160 --> 00:00:21.680]  在七日的第一日早清早
[00:00:21.680 --> 00:00:23.480]  耶穌復活了
[00:00:23.480 --> 00:00:27.080]  先向莫大拉的瑪利亞顯現
[00:00:27.080 --> 00:00:31.360]  耶穌曾告訴七個鬼
[00:00:31.360 --> 00:00:35.520]  祂去告訴那向來跟隨耶穌的人
[00:00:35.520 --> 00:00:39.000]  那時他們正哀動哭泣
[00:00:39.000 --> 00:00:41.760]  他們聽見耶穌活了
[00:00:41.760 --> 00:00:45.560]  被瑪利亞看見可視不順
[00:00:45.560 --> 00:00:47.320]  這些事以後
[00:00:47.320 --> 00:00:51.200]  門徒中有兩個人往鄉下去
[00:00:51.200 --> 00:00:53.160]  正走著的時候
[00:00:53.160 --> 00:00:57.560]  耶穌以另一種形象向他們顯現
[00:00:57.560 --> 00:01:00.560]  他們去告訴其餘的門徒
[00:01:00.560 --> 00:01:03.400]  那些門徒還是不信
[00:01:03.400 --> 00:01:07.160]  後來十一使徒坐直的時候
[00:01:07.160 --> 00:01:09.600]  耶穌向他們顯現
[00:01:09.600 --> 00:01:13.360]  責備他們不信心裡剛硬
[00:01:13.360 --> 00:01:19.160]  因為他們不信那些在他復活以後看見他的人
[00:01:19.160 --> 00:01:22.200]  所以讓我們在正道之先一起低頭
[00:01:22.200 --> 00:01:25.080]  同心有個禱告
[00:01:25.080 --> 00:01:26.840]  掌管天地萬有
[00:01:26.840 --> 00:01:28.920]  信實守約的天父上帝
[00:01:28.920 --> 00:01:31.360]  我們去感謝祢 讚美祢
[00:01:31.360 --> 00:01:34.400]  感謝祢一直默默地去看顧我們
[00:01:34.400 --> 00:01:38.120]  使我們仍然有生命氣息去敬拜 讚頌祢
[00:01:38.120 --> 00:01:39.320]  聽祢的話語
[00:01:39.320 --> 00:01:42.640]  親自向我們每個人的生命去說話
[00:01:42.640 --> 00:01:45.160]  願聖靈親自在我們中間運行
[00:01:45.160 --> 00:01:46.520]  供沒你獨人的口
[00:01:46.520 --> 00:01:48.360]  成為你流通的管子
[00:01:48.360 --> 00:01:49.600]  合用的器皿
[00:01:49.600 --> 00:01:52.680]  能夠清楚明白傾流來的話語
[00:01:52.680 --> 00:01:56.160]  也求聖靈親自打開每一位回眾的心
[00:01:56.160 --> 00:01:59.840]  使我們每一位都能夠領受你話語的教導
[00:01:59.840 --> 00:02:01.480]  謹記在心中
[00:02:01.480 --> 00:02:04.800]  在祢整個跟隨你信仰生命的路上
[00:02:04.800 --> 00:02:06.160]  堅定在基督裡
[00:02:06.160 --> 00:02:09.200]  以柔軟開放的心去持守
[00:02:09.200 --> 00:02:10.640]  以生命去見證
[00:02:10.640 --> 00:02:13.560]  一生與你約中有份
[00:02:13.560 --> 00:02:17.680]  以上我禱告乃奉教主耶穌基督得勝的名字而求
[00:02:17.680 --> 00:02:19.160]  阿們
[00:02:19.160 --> 00:02:21.040]  弟兄姊妹平安
[00:02:21.040 --> 00:02:24.080]  當大家看到今天的講題
[00:02:24.080 --> 00:02:26.760]  不知道大家的心有沒有離一離
[00:02:26.760 --> 00:02:28.760]  又或者在心裡想
[00:02:28.760 --> 00:02:32.240]  「呸!今天復活節節期的溜溜」
[00:02:32.240 --> 00:02:34.720]  「一如既往地唱唱歌」
[00:02:34.720 --> 00:02:36.440]  「去紀念一下耶穌就好了」
[00:02:36.440 --> 00:02:39.040]  「好好的又搞什麼呢?」
[00:02:39.040 --> 00:02:40.440]  如果心裡真的這樣想
[00:02:40.440 --> 00:02:42.080]  大家請放心
[00:02:42.080 --> 00:02:44.640]  我今天是不會和大家去
[00:02:44.640 --> 00:02:47.040]  詩詞歌賦、吟詩作對的
[00:02:47.040 --> 00:02:50.760]  我也不會和大家去說關於五十年代
[00:02:50.760 --> 00:02:55.840]  逼七敏滅梁之外國真人真事改編的電影那麼沉重
[00:02:55.840 --> 00:02:58.680]  相反我今天想用一個故事
[00:02:58.680 --> 00:03:00.520]  一個拯救的故事
[00:03:00.520 --> 00:03:05.080]  作為今天講道見證的開始
[00:03:05.080 --> 00:03:06.440]  開始講故事之前
[00:03:06.440 --> 00:03:10.320]  當然是四十五度斜斜地看著三樓
[00:03:10.320 --> 00:03:12.080]  出神地說
[00:03:12.080 --> 00:03:15.000]  在很久很久很久之前
[00:03:15.000 --> 00:03:17.840]  故事發生在一個風光明媚
[00:03:17.840 --> 00:03:20.480]  臨海平靜的小鎮
[00:03:20.480 --> 00:03:22.680]  而故事的主人翁無獨有偶
[00:03:22.680 --> 00:03:23.720]  「嗱嗱嗱」
[00:03:23.720 --> 00:03:26.840]  「千萬不要自己去對號入座」
[00:03:26.840 --> 00:03:28.040]  先子聲明
[00:03:28.040 --> 00:03:29.280]  如有雷同
[00:03:29.280 --> 00:03:31.280]  實屬不幸
[00:03:31.280 --> 00:03:34.600]  故事的主角是一個信了主很久
[00:03:34.600 --> 00:03:37.080]  也回了教會很久
[00:03:37.080 --> 00:03:40.240]  自問也是一個頗敬虔的信徒
[00:03:40.240 --> 00:03:41.440]  忽然有一天
[00:03:41.440 --> 00:03:43.080]  好景不常
[00:03:43.080 --> 00:03:45.040]  一向風平浪靜的小鎮
[00:03:45.040 --> 00:03:47.240]  忽然發生了不尋常
[00:03:47.240 --> 00:03:48.840]  地動山搖
[00:03:48.840 --> 00:03:51.200]  翻天覆地的震盪
[00:03:51.200 --> 00:03:53.560]  更引發起一個滔天滅陣
[00:03:53.560 --> 00:03:55.400]  海嘯的威脅
[00:03:55.400 --> 00:03:56.880]  大家都知道
[00:03:56.880 --> 00:03:59.720]  為了減低海嘯的破壞和損失
[00:03:59.720 --> 00:04:01.920]  和人命的傷亡
