
[00:00:00.000 --> 00:00:04.000]  今天講題是智者話
[00:00:04.000 --> 00:00:12.000]  但顯示了一個平時你不會被人看到的部位
[00:00:12.000 --> 00:00:17.000]  在港台上伸條舌出來都很少會這樣做
[00:00:17.000 --> 00:00:18.000]  為什麼這樣做呢
[00:00:18.000 --> 00:00:20.000]  今天在《雅各書》三章裡
[00:00:20.000 --> 00:00:25.000]  我們一起透過雅各的教導去反思
[00:00:25.000 --> 00:00:30.000]  這段經文讓我想起我小時候去看醫生的經歷
[00:00:30.000 --> 00:00:36.000]  小時候看醫生很多時候都只是因為傷風流鼻水感冒
[00:00:36.000 --> 00:00:39.000]  但去看醫生 醫生一定會叫你做一個動作
[00:00:39.000 --> 00:00:41.000]  就是做什麼
[00:00:41.000 --> 00:00:43.000]  伸條舌出來看看
[00:00:43.000 --> 00:00:45.000]  那時候我不明白
[00:00:45.000 --> 00:00:48.000]  我覺得我流鼻水 鼻子不舒服
[00:00:48.000 --> 00:00:50.000]  為什麼要伸條舌出來
[00:00:50.000 --> 00:00:55.000]  到後來長大了 有時候會去看中醫
[00:00:55.000 --> 00:00:57.000]  看中醫他也是這樣說
[00:00:57.000 --> 00:00:58.000]  說什麼呢
[00:00:58.000 --> 00:01:01.000]  伸條舌出來看看
[00:01:01.000 --> 00:01:04.000]  今天這個經文一邊讀的時候
[00:01:04.000 --> 00:01:09.000]  我都覺得雅各在叫我伸條舌出來看看
[00:01:09.000 --> 00:01:15.000]  因為原來醫生看舌頭就可以看到我們生命
[00:01:15.000 --> 00:01:18.000]  有沒有生病 身體的情況
[00:01:18.000 --> 00:01:22.000]  但原來在屬靈上我們去看自己的舌頭
[00:01:22.000 --> 00:01:28.000]  都可以看到我們屬靈生命內裡有沒有什麼情況
[00:01:28.000 --> 00:01:29.000]  各位弟兄姊妹
[00:01:29.000 --> 00:01:31.000]  所以在今早的崇拜講道裡
[00:01:31.000 --> 00:01:36.000]  我就邀請大家伸條舌出來聽道
[00:01:36.000 --> 00:01:38.000]  讓我們的舌頭在神面前
[00:01:38.000 --> 00:01:43.000]  一起透過神的話去反思我們自己的生命
[00:01:43.000 --> 00:01:47.000]  請我們一起讀出雅各書
[00:01:47.000 --> 00:01:50.000]  我們先讀一至八節 預備起
[00:02:15.000 --> 00:02:18.000]  我們把雀環放在馬嘴裡
[00:02:18.000 --> 00:02:22.000]  使牠們馴服 就能控制牠們的全身
[00:02:22.000 --> 00:02:27.000]  再看船隻 雖然甚大 又被強風猛吹
[00:02:27.000 --> 00:02:32.000]  只用少少的陀 就隨著掌陀的意思轉動
[00:02:32.000 --> 00:02:36.000]  同樣舌頭是小肢體 卻能說大話
[00:02:36.000 --> 00:02:41.000]  看那最小的火 能燃點最大的樹林
[00:02:41.000 --> 00:02:43.000]  舌頭就是火
[00:02:43.000 --> 00:02:47.000]  在我們白體中 舌頭是個不二的世界
[00:02:47.000 --> 00:02:51.000]  能玷污全身 也能燒毀生命的輪子
[00:02:51.000 --> 00:02:55.000]  而且是被地獄的火點燃的
[00:02:55.000 --> 00:02:58.000]  各類的走獸 飛禽 爬蟲 水族
[00:02:58.000 --> 00:03:02.000]  本來都可以制服 也已經被人制服了
[00:03:02.000 --> 00:03:05.000]  唯獨舌頭沒有人能制服
[00:03:05.000 --> 00:03:08.000]  是永不止息的邪惡
[00:03:08.000 --> 00:03:11.000]  充滿了害死人的毒氣
