
[00:00:00.000 --> 00:00:01.000]  (鐘聲響起)
[00:00:01.000 --> 00:00:02.560]  (台語) 等姐妹晚安
[00:00:02.560 --> 00:00:05.500]  我都相信
[00:00:05.500 --> 00:00:07.620]  聖靈在我們這間工作
[00:00:07.620 --> 00:00:10.240]  讓我們的生命再一次
[00:00:10.240 --> 00:00:13.800]  被祂的愛、被祂的聖潔、被祂自己吸引
[00:00:13.800 --> 00:00:16.760]  回到祂面前,這是很重要的
[00:00:16.760 --> 00:00:21.280]  今天我崇拜前跟他們祈禱的時候
[00:00:21.280 --> 00:00:23.060]  突然間覺得很緊張
[00:00:23.060 --> 00:00:26.460]  突然間胃痛,本來跟陳慧純吃完飯很輕鬆
[00:00:26.460 --> 00:00:28.880]  突然間胃痛
[00:00:28.880 --> 00:00:30.700]  我就知道
[00:00:30.700 --> 00:00:33.560]  第一,我看待自己的侍奉是一件很認真的事
[00:00:33.560 --> 00:00:35.180]  我覺得應該會緊張
[00:00:35.180 --> 00:00:36.960]  第二,我覺得今晚神很想
[00:00:36.960 --> 00:00:38.880]  我仍然覺得神
[00:00:38.880 --> 00:00:41.000]  神藉聖靈在提升我們
[00:00:41.000 --> 00:00:42.380]  要我們成為聖潔
[00:00:42.380 --> 00:00:44.100]  要我們群體成為聖潔
[00:00:44.100 --> 00:00:46.840]  當神親自在中間臨在的時候
[00:00:46.840 --> 00:00:50.200]  確實我們都無可抵擋祂的能力
[00:00:50.200 --> 00:00:51.220]  祂的聖潔
[00:00:51.220 --> 00:00:52.360]  或許這樣說
[00:00:52.360 --> 00:00:53.640]  當祂的聖潔臨在
[00:00:53.640 --> 00:00:57.580]  更加發現我們的生命有很多的不潔
[00:00:57.580 --> 00:00:59.600]  我們更加需要謙卑在祂面前
[00:00:59.600 --> 00:01:01.680]  去承認我們自己很需要祂
[00:01:01.680 --> 00:01:03.500]  甚至我們要承認我們在祂面前
[00:01:03.500 --> 00:01:05.720]  其實我們都要降服,這是很重要的
[00:01:05.720 --> 00:01:07.480]  今天跟大家說
[00:01:07.480 --> 00:01:08.580]  以西傑書
[00:01:08.580 --> 00:01:11.540]  看到兩張經文,這次真的很難處理
[00:01:11.540 --> 00:01:12.660]  不過我仍然覺得
[00:01:12.660 --> 00:01:15.940]  講道是神呼召我,很想講得好
[00:01:15.940 --> 00:01:18.380]  我都盡我自己的力量
[00:01:18.380 --> 00:01:20.280]  謙虛地一起去
[00:01:20.280 --> 00:01:23.340]  看看這兩張經文對我自己有什麼說話
[00:01:23.340 --> 00:01:25.780]  又對我們的群體有什麼說話,很重要
[00:01:25.980 --> 00:01:28.320]  今天有很多經文要看
[00:01:28.320 --> 00:01:29.620]  我不知道你有沒有聖經在手
[00:01:29.620 --> 00:01:30.540]  現在前面有沒有聖經?
[00:01:30.540 --> 00:01:31.540]  沒有吧?沒有放在這裡
[00:01:31.540 --> 00:01:33.720]  應該要等我和教會說明,放聖經
[00:01:33.720 --> 00:01:36.440]  如果可以的話,你可以拿手提電話出來
[00:01:36.440 --> 00:01:38.640]  開啟APP,看聖經
[00:01:38.640 --> 00:01:40.040]  先打開它
