
[00:00:00.000 --> 00:00:03.800]  很感恩上星期我太太在這裡分享訊息
[00:00:03.800 --> 00:00:06.800]  這星期到我,我們都能夠服侍大家
[00:00:06.800 --> 00:00:08.800]  很感恩,我們一起去禱告
[00:00:08.800 --> 00:00:11.800]  七天父,我願意在你自己的靈系當中
[00:00:11.800 --> 00:00:13.800]  解開你的說話,以致我們能夠
[00:00:13.800 --> 00:00:16.800]  好像剛才師哥所激勵我們
[00:00:16.800 --> 00:00:18.800]  活出一個滿分的見證
[00:00:18.800 --> 00:00:22.800]  因為你對我們的心意是滿滿足足的
[00:00:22.800 --> 00:00:24.800]  不是要打折扣的
[00:00:24.800 --> 00:00:26.800]  就求神你讓我們完全的捉緊
[00:00:26.800 --> 00:00:28.800]  我們謝謝你
[00:00:28.800 --> 00:00:30.800]  今日與我們同在,願以你的靈,你的補血
[00:00:30.800 --> 00:00:32.800]  遮蓋我們,讓我們在你的話語中
[00:00:32.800 --> 00:00:34.800]  彼此激勵
[00:00:34.800 --> 00:00:36.800]  亦在崇拜的儀節中
[00:00:36.800 --> 00:00:38.800]  我們信心得著,滿滿的充足
[00:00:38.800 --> 00:00:40.800]  我們這樣禱告奉耶穌基督的名
[00:00:40.800 --> 00:00:42.800]  阿們
[00:00:42.800 --> 00:00:45.800]  我想和大家讀出今天的經文
[00:00:45.800 --> 00:00:52.800]  因為是在以西傑書和馬可福音的兩個系列開始中間
[00:00:52.800 --> 00:00:54.800]  想想如何藉著真理和生命的關係
[00:00:54.800 --> 00:00:56.800]  我就想起這個提多書
[00:00:56.800 --> 00:00:59.800]  我想大家一起讀出我們這三章的頭影片
[00:00:59.800 --> 00:01:01.800]  讀出我們今天的經文
[00:01:01.800 --> 00:01:03.800]  好,我們來到一二三
[00:01:03.800 --> 00:01:09.800]  至於你,你所講的總要合乎那健全的教導
[00:01:09.800 --> 00:01:14.800]  勸老年人要有節制、端正、克己
[00:01:14.800 --> 00:01:19.800]  在信心、愛心、忍耐都要健全
[00:01:19.800 --> 00:01:24.800]  又要勸年長的婦女在操守上公正
[00:01:24.800 --> 00:01:28.800]  不說殘言、不作酒的奴隸
[00:01:28.800 --> 00:01:30.800]  用善道教導人
[00:01:30.800 --> 00:01:33.800]  好指教年輕的婦女
[00:01:33.800 --> 00:01:35.800]  愛丈夫、愛兒女
[00:01:35.800 --> 00:01:39.800]  克己、貞潔、禮嘉、善良
