
[00:00:00.000 --> 00:00:04.500]  各位議員早安,主內平安
[00:00:04.500 --> 00:00:06.700]  今天是母親節
[00:00:06.700 --> 00:00:11.100]  在二樓,三樓,五樓,以及不同樓層
[00:00:11.100 --> 00:00:14.100]  以及參與網上京霸的各位媽媽
[00:00:14.100 --> 00:00:16.100]  你和我們揮揮手,好嗎?
[00:00:16.100 --> 00:00:19.800]  母親節快樂
[00:00:19.800 --> 00:00:21.800]  祝福大家,包括我自己
[00:00:21.800 --> 00:00:26.300]  平安,身體健康,出入都有主的,同在同行
[00:00:26.300 --> 00:00:30.300]  我都想將今日的訊息特別送給每一位媽媽
[00:00:30.300 --> 00:00:32.800]  雖然我們不是直接的關於母親的訊息
[00:00:32.800 --> 00:00:37.800]  但都祝福每一位媽媽有美好和諧的人際關係,好嗎?
[00:00:37.800 --> 00:00:39.800]  好,我們一起有個禱告
[00:00:39.800 --> 00:00:44.300]  主啊,感謝祢賜給我們母親
[00:00:44.300 --> 00:00:46.300]  讓我們能夠因著母親的愛
[00:00:46.300 --> 00:00:48.300]  去認識祢的美好
[00:00:48.300 --> 00:00:50.300]  更加體會祢對我們的愛
[00:00:50.300 --> 00:00:53.300]  懇求祢都賜福給我們每一位母親
[00:00:53.300 --> 00:00:55.300]  賜給我們有健康的身體
[00:00:55.300 --> 00:00:58.300]  讓我們每一天都享受在祢的愛裡面
[00:00:58.300 --> 00:01:02.800]  又用祢賜給我們那份溫柔細心成為家的祝福
[00:01:02.800 --> 00:01:05.300]  又幫助身為兒女的我們
[00:01:05.300 --> 00:01:10.800]  隨時表達我們對母親那份的愛、關懷和感謝
[00:01:10.800 --> 00:01:13.300]  主啊,以下我們分享祢的話語的時間
[00:01:13.300 --> 00:01:15.300]  主祢與我們同在
[00:01:15.300 --> 00:01:20.300]  讓我們經歷聖靈的充滿
[00:01:20.300 --> 00:01:22.300]  又讓祢的名喊得著高舉
[00:01:22.300 --> 00:01:23.300]  多謝主祢
[00:01:23.300 --> 00:01:25.300]  我們祈禱給我們耶穌基督的名字
[00:01:25.300 --> 00:01:27.300]  阿們
[00:01:27.300 --> 00:01:29.300]  今天呢
[00:01:29.300 --> 00:01:35.300]  我們的
[00:01:35.300 --> 00:01:36.300]  看不看得到啊?
[00:01:36.300 --> 00:01:37.300]  看不到啊
[00:01:37.300 --> 00:01:40.300]  是
[00:01:40.300 --> 00:01:41.300]  好
[00:01:41.300 --> 00:01:43.300]  我們作主好門徒
[00:01:43.300 --> 00:01:46.300]  展開美好的人際交往
[00:01:46.300 --> 00:01:49.300]  讓節目的各位會眾
[00:01:49.300 --> 00:01:52.300]  你認為人際之間的相處是容易
[00:01:52.300 --> 00:01:54.300]  還是充滿挑戰?
[00:01:54.300 --> 00:01:56.300]  充滿挑戰
[00:01:56.300 --> 00:01:57.300]  這兩年來
[00:01:57.300 --> 00:02:00.300]  香港社會經歷的事是很艱難
[00:02:00.300 --> 00:02:01.300]  大家認不認同?
[00:02:01.300 --> 00:02:04.300]  可以說是面對前所未見的衝擊
[00:02:04.300 --> 00:02:06.300]  在社會事件下
[00:02:06.300 --> 00:02:08.300]  人際關係呢
[00:02:08.300 --> 00:02:10.300]  因為政治理念
[00:02:10.300 --> 00:02:12.300]  政治立場的不同
[00:02:12.300 --> 00:02:14.300]  而變得緊張
[00:02:14.300 --> 00:02:17.300]  有報告指出超過三成的家庭關係
[00:02:17.300 --> 00:02:19.300]  因為這樣而變差
[00:02:19.300 --> 00:02:20.300]  同時呢
[00:02:20.300 --> 00:02:22.300]  親戚朋友同學之間
[00:02:22.300 --> 00:02:24.300]  甚至教會的弟兄姊妹
[00:02:24.300 --> 00:02:26.300]  都出現不同程度的撕裂
[00:02:26.300 --> 00:02:29.300]  而上年呢
[00:02:29.300 --> 00:02:33.300]  新型冠狀病毒所捲起的疫情風暴
[00:02:33.300 --> 00:02:35.300]  更是徹底改變我們的生活
[00:02:35.300 --> 00:02:36.300]  是不是?
[00:02:36.300 --> 00:02:38.300]  在疫症的陰霾下
[00:02:38.300 --> 00:02:41.300]  市民和我們要盡量保持社交的距離
[00:02:41.300 --> 00:02:43.300]  減少社交的接觸活動
[00:02:43.300 --> 00:02:45.300]  戴口罩等等
[00:02:45.300 --> 00:02:46.300]  這些防疫的措施
[00:02:46.300 --> 00:02:49.300]  務以幫助減低病毒的傳播風險
[00:02:49.300 --> 00:02:54.300]  但卻難免會拉開人與人之間的距離
[00:02:54.300 --> 00:02:57.300]  影響我們慣常的人際交往
[00:02:57.300 --> 00:03:00.300]  今天我們會透過彼得
[00:03:00.300 --> 00:03:03.300]  對當時患難逼迫的信徒的教導
[00:03:03.300 --> 00:03:05.300]  和大家一起思想
[00:03:05.300 --> 00:03:06.300]  信徒之間的相交
[00:03:06.300 --> 00:03:10.300]  以及信徒和非信徒相處的道理
