
[00:00:00.000 --> 00:00:07.200]  說到食物,最近香港美食博覽人頭湧湧
[00:00:07.200 --> 00:00:08.400]  不知道你有沒有去呢?
[00:00:08.400 --> 00:00:12.400]  沒有呀?我都沒有,真是可惜
[00:00:12.400 --> 00:00:19.600]  說到吃,不知道大家第一次去吃自助餐的記憶還有沒有呢?
[00:00:19.600 --> 00:00:28.000]  說到第一次吃自助餐對我來說是非常難忘又難受的回憶
[00:00:28.000 --> 00:00:36.000]  那一晚我飽到睡不著,整晚睡在床上眼睛張開看著天花板
[00:00:36.000 --> 00:00:40.000]  飽到第二天早上仍然有些感覺頂到心口
[00:00:40.000 --> 00:00:47.000]  為甚麼吃得那麼飽呢?大家都明白的了,不需要問得那麼盡
[00:00:47.000 --> 00:00:52.000]  但真的要我說就是一個貪詞
[00:00:52.000 --> 00:00:58.000]  付了錢還不便宜,所以就不要吃虧了
[00:00:58.000 --> 00:01:03.000]  盡我所能,就這樣吃吧,結果就是這樣
[00:01:03.000 --> 00:01:10.000]  貪過龍聖經是怎麼看的呢?讓我們經文今天告訴我們吧
[00:01:10.000 --> 00:01:17.000]  今天是我本人所說的十誡最後一誡,第十誡
[00:01:19.000 --> 00:01:23.000]  看看簡化版,第十誡簡單來說就是不可貪戀
[00:01:23.000 --> 00:01:28.000]  當然沒有那麼簡單,請大家一起讀一次完整版的第十誡
[00:01:28.000 --> 00:01:30.000]  一二三起
[00:01:30.000 --> 00:01:41.000]  不可貪戀的女神,妻子,夫婦,妻女,母親,家人,親屬,妻子
[00:01:41.000 --> 00:01:46.000]  說到第十誡有兩點我們必須要注意的
[00:01:46.000 --> 00:01:52.000]  第一就是貪戀不是完全負面的
[00:01:52.000 --> 00:01:59.000]  貪戀這個詞有含義是羨慕、渴慕和喜愛
[00:01:59.000 --> 00:02:04.000]  詩篇十九篇,我想你們都很熟悉的
[00:02:04.000 --> 00:02:11.000]  九至十節出現了兩次羨慕神的話語
[00:02:11.000 --> 00:02:16.000]  這個和貪戀是同一個字
[00:02:16.000 --> 00:02:21.000]  所以羨慕什麼呢?羨慕神的話語
[00:02:21.000 --> 00:02:27.000]  可以這麼說,這種貪戀、羨慕是可以正面的
[00:02:27.000 --> 00:02:32.000]  也可以這麼說,是渴想慾望上帝給我們的
[00:02:32.000 --> 00:02:34.000]  可以是好的
[00:02:34.000 --> 00:02:40.000]  慾望是神賜給我們和各種動物的生存本能
[00:02:40.000 --> 00:02:45.000]  例如我們每次吃飯、睡覺、上茅廁,傳宗接代
[00:02:45.000 --> 00:02:50.000]  不吃東西會餓死,不睡覺會累死,不上廁所
[00:02:50.000 --> 00:02:53.000]  我想你們都知道這個後果
[00:02:53.000 --> 00:02:59.000]  不傳宗接代,就好像熊貓一樣,天天只顧著睡、吃
[00:02:59.000 --> 00:03:04.000]  如果沒有我們出手,熊貓可能已經絕種了
[00:03:04.000 --> 00:03:10.000]  怎麼會有海洋公主的影影,生了雙胞胎,這個不可能的
[00:03:10.000 --> 00:03:14.000]  我們人類除了基本的本能慾望之外
[00:03:14.000 --> 00:03:18.000]  日常生活當中也必須存在一定的慾望
[00:03:18.000 --> 00:03:22.000]  就好像我們渴望讀書的時候能夠有好成績
[00:03:22.000 --> 00:03:26.000]  努力讀書,渴望我們能夠有好的生活
[00:03:26.000 --> 00:03:29.000]  努力工作賺錢
[00:03:29.000 --> 00:03:33.000]  對於我們來說,如果完全沒有慾望
[00:03:33.000 --> 00:03:37.000]  第十屆就是躺平的一天
[00:03:37.000 --> 00:03:42.000]  其實神沒有禁止人所有的慾望
[00:03:42.000 --> 00:03:47.000]  所以第十屆的重點不是要禁止貪戀
[00:03:47.000 --> 00:03:52.000]  所以我們細心看第十屆其實重複出現的自持除了貪戀之外
[00:03:52.000 --> 00:03:55.000]  還有就是你的淪捨
[00:03:55.000 --> 00:03:59.000]  你的淪捨除了連帶名詞他之外,總共出現過三次
[00:03:59.000 --> 00:04:04.000]  這個也點出第十屆的重點不在於貪戀
[00:04:04.000 --> 00:04:07.000]  而在於貪過戒
[00:04:07.000 --> 00:04:10.000]  貪不是屬於你的任何東西
