
[00:00:00.000 --> 00:00:10.000]  多謝敬拜隊的帶領,我知他們的訊息是甚麼,所以他們的預備我都知道他們很用心,
[00:00:10.000 --> 00:00:18.000]  因為我一直唱的,我一直想著上天的說話,其實就是今天我們怎樣去學習馴服呢?
[00:00:18.000 --> 00:00:21.000]  我們一起低頭禱告,讓上天幫助我們。
[00:00:21.000 --> 00:00:30.000]  七天父,我們確實很感恩你派耶穌基督願意去馴服,以致今天我們可以坐在一起。
[00:00:30.000 --> 00:00:39.000]  今天你要教導的,可能都不容易,但你就幫助我們,去看到你怎樣去馴服的時候,我們去學習馴服。
[00:00:39.000 --> 00:00:42.000]  我們以神的禱告奉主命求,阿們。
[00:00:42.000 --> 00:00:53.000]  今天其實將會繼續在我們講教會性的年度講道主題,已不所書。
[00:00:53.000 --> 00:00:57.000]  每個月最後一個星期我們都會講已不所書。
[00:00:57.000 --> 00:01:08.000]  今天的經文就講關於妻子要馴服丈夫,兒女要聽從父母,僕人要聽從主人。
[00:01:08.000 --> 00:01:28.000]  我過去是做青年時工,我發覺在青年階段,在他們反叛的時間,去叫他們馴服父母,簡直就是反自然定律,或者就是反一般發展心理學所講的東西,根本就是唱反調。
[00:01:28.000 --> 00:01:43.000]  兒女要由兒童期的依附,去變成長大成為一個長大人的獨立,其實青年人必定要藉著反一反去學習獨立。
[00:01:43.000 --> 00:01:48.000]  所以在青年期叫他們去馴服,簡直就是很難的。
[00:01:48.000 --> 00:02:00.000]  我也曾經青年過,當然我不可以全靠賀爾蒙,因為我本身也是一個很硬頸的人,你認識我父母就知道我是一個很硬頸的人。
[00:02:00.000 --> 00:02:08.000]  小時候父母叫我做家務,我不想做,但又不能不做,會怎樣?
[00:02:08.000 --> 00:02:19.000]  當然是做到很平平,做到很倒霉,去倒垃圾,關門都要大聲一點,慌死他不知道,我真的很不想做。
[00:02:19.000 --> 00:02:25.000]  叫子女去馴服父母,談何容易呢?
[00:02:25.000 --> 00:02:38.000]  有關僕人要聽從主人,稍後會講多一點教導的意思和應用,不過如果這段經文是說下屬要聽從上司的話,
[00:02:38.000 --> 00:02:52.000]  我的上司曾經給我的評語,就是我所謂的馴服,其實是屈服,因為我不是認同或者擁抱他的帶領。
[00:02:52.000 --> 00:03:05.000]  而我承認我是會用消極抵抗去抗衡他,你叫我做,我就做,不過就要板著臉,想起都很討厭。
[00:03:05.000 --> 00:03:11.000]  叫員工去聽從上司,談何容易呢?
[00:03:11.000 --> 00:03:21.000]  我未有自己的丈夫,所以不知是大幸還是不幸,我無法告訴你我究竟是一個多麼馴服的太太。
[00:03:21.000 --> 00:03:27.000]  不過想問問在座有自己丈夫的太太,你們在哪?
[00:03:27.000 --> 00:03:31.000]  你們覺得馴服你的丈夫,容易嗎?
[00:03:31.000 --> 00:03:35.000]  嘩,真是,很誠實。
[00:03:35.000 --> 00:03:43.000]  馴服確實不容易,今天的經文其中一個核心就是保羅吩咐人要去馴服。
[00:03:43.000 --> 00:03:53.000]  基督徒到底馴服什麼人,怎樣去馴服,又基於什麼原因基礎要去馴服呢?
[00:03:53.000 --> 00:03:59.000]  在今天進入經文之前,讓我們先回顧一下已忽所書的結構。
[00:03:59.000 --> 00:04:07.000]  已忽所書分為兩部分,第一部分一到三章是講關於福音的故事。
[00:04:07.000 --> 00:04:09.000]  我們可以拿下一張。
[00:04:09.000 --> 00:04:21.000]  已忽所書分為兩部分,第一部分一到三章是講關於福音的故事。
