
[00:00:00.000 --> 00:00:03.000]  頂姐妹 今日宣講的講題是
[00:00:03.000 --> 00:00:05.000]  識神好過識字
[00:00:05.000 --> 00:00:10.000]  我所宣講的經文是彌加書六章的一至八節
[00:00:10.000 --> 00:00:12.000]  此刻容讓我們開始正道之先
[00:00:12.000 --> 00:00:15.000]  一起低頭同心有個禱告
[00:00:15.000 --> 00:00:19.000]  長官天地萬有 信實公義
[00:00:19.000 --> 00:00:22.000]  滿有憐憫恩慈的天父上帝
[00:00:22.000 --> 00:00:24.000]  我們感謝你 讚美你
[00:00:24.000 --> 00:00:28.000]  感謝你一直默默地看顧照顧我們
[00:00:28.000 --> 00:00:32.000]  使得我仍然有生命氣息去敬拜去讚頌你
[00:00:32.000 --> 00:00:34.000]  僕人敬聽你的話語
[00:00:34.000 --> 00:00:39.000]  向我們在座每一位的生命親自去說話
[00:00:39.000 --> 00:00:41.000]  願聖靈親自在我們中間運行
[00:00:41.000 --> 00:00:43.000]  供奉你僕人的口
[00:00:43.000 --> 00:00:46.000]  成為你合用的氣鳴 流通的管子
[00:00:46.000 --> 00:00:49.000]  使得我們清楚明白 聽留你的話語
[00:00:49.000 --> 00:00:53.000]  也求聖靈親自打開每一位會眾的心
[00:00:53.000 --> 00:00:55.000]  使得我們每一位都能領受你話語
[00:00:55.000 --> 00:00:59.000]  親切的督責 教導 感激在心中
[00:00:59.000 --> 00:01:03.000]  在我們整個跟隨朝見成性生命的路上
[00:01:03.000 --> 00:01:06.000]  在基督裡等候你的再來
[00:01:06.000 --> 00:01:09.000]  堅定地為主去作見證
[00:01:09.000 --> 00:01:12.000]  持守一生與你約中有份
[00:01:12.000 --> 00:01:16.000]  以上的禱告乃奉靠我主耶穌基督得勝的明智而求
[00:01:16.000 --> 00:01:18.000]  阿們
[00:01:18.000 --> 00:01:20.000]  弟兄姊妹
[00:01:20.000 --> 00:01:22.000]  看到今天的講題
[00:01:22.000 --> 00:01:25.000]  大家可能心裡也即時想起一些事
[00:01:25.000 --> 00:01:27.000]  甚或有聽過
[00:01:27.000 --> 00:01:29.000]  識人好過識字
[00:01:29.000 --> 00:01:32.000]  這句坊間的名言
[00:01:32.000 --> 00:01:35.000]  在日光之下生活的我們
