
[00:00:00.000 --> 00:00:03.480]  我們一起在當中祈禱
[00:00:03.480 --> 00:00:06.440]  請天父獻上感謝和讚美
[00:00:06.440 --> 00:00:08.440]  讓我們有生命氣息
[00:00:08.440 --> 00:00:13.000]  知道我們能夠回到祢的殿內
[00:00:13.000 --> 00:00:14.200]  一起去敬拜
[00:00:14.200 --> 00:00:17.800]  是我們人生中最大的福份
[00:00:17.800 --> 00:00:21.000]  因為能夠站在祢面前高歌讚美祢
[00:00:21.000 --> 00:00:25.400]  也祢賜給我們有這份命運
[00:00:25.400 --> 00:00:29.080]  以致我們能夠在當中認識祢
[00:00:29.080 --> 00:00:30.880]  我們實在獻上感謝
[00:00:30.880 --> 00:00:33.560]  求主賜福我們今天的時間
[00:00:33.560 --> 00:00:35.960]  也求祢加你給孩子
[00:00:35.960 --> 00:00:37.480]  軟弱的身體
[00:00:37.480 --> 00:00:42.600]  也能夠有力去為你分享你的說話
[00:00:42.600 --> 00:00:43.560]  求祢保守
[00:00:43.560 --> 00:00:45.560]  以上禱告,奉主名求,阿門
[00:00:45.560 --> 00:00:51.640]  今天主題是「同一的使命」
[00:00:51.640 --> 00:00:55.000]  不知道大家有沒有看過這套電影
[00:00:55.000 --> 00:00:59.200]  很多年前,這套電影也很多年前了
[00:00:59.200 --> 00:01:05.600]  我相信也有差不多的年歲的時候
[00:01:05.600 --> 00:01:06.320]  應該也看過
[00:01:06.320 --> 00:01:08.720]  這套叫做「雷霆救兵」
[00:01:08.720 --> 00:01:09.320]  是不是?
[00:01:09.320 --> 00:01:13.240]  背景是說到二次大戰的時候
[00:01:13.240 --> 00:01:15.720]  有一個家庭有四個兒子
[00:01:15.720 --> 00:01:19.000]  他們在歐洲裡面參與不同的戰役
[00:01:19.000 --> 00:01:21.000]  有一天他的母親
[00:01:21.000 --> 00:01:24.200]  在一天之內收到三個兒子
[00:01:24.200 --> 00:01:27.600]  陣亡於戰場上的消息
[00:01:27.600 --> 00:01:30.640]  而隸屬空降師二等兵的第四兒子
[00:01:30.640 --> 00:01:33.200]  James Francis Ryan
[00:01:33.200 --> 00:01:38.280]  也在諾曼地空降行動下落不明
[00:01:38.280 --> 00:01:42.960]  陸軍參謀長得知這件事的時候
[00:01:42.960 --> 00:01:46.000]  很不想這位老人家
[00:01:46.000 --> 00:01:49.480]  連第四個兒子也陣亡在戰場當中
[00:01:49.480 --> 00:01:52.400]  因此參謀長出於人道的理由
