
[00:00:00.000 --> 00:00:12.000]  想問問大家,你們有沒有玩過一個遊戲叫猜猜畫畫,或者英文叫Pictionary?
[00:00:12.000 --> 00:00:14.000]  有沒有人有玩過?
[00:00:14.000 --> 00:00:16.000]  有些人有玩過,是吧?
[00:00:16.000 --> 00:00:20.000]  好,相信大家都聽過中國人的一句話,
[00:00:20.000 --> 00:00:24.000]  那我就看看你們知不知道這句話代表什麼?
[00:00:24.000 --> 00:00:26.000]  猜一下
[00:00:26.000 --> 00:00:36.000]  啊,真是好靚,知道你們有玩過Pictionary的遊戲了
[00:00:36.000 --> 00:00:39.000]  沒錯,就是見步行步
[00:00:39.000 --> 00:00:44.000]  這句俗語意思是指我們看到一步就行一步
[00:00:44.000 --> 00:00:51.000]  比如當我們沒有辦法做長遠的計劃的時候,只能夠順應眼前的情況去發展
[00:00:51.000 --> 00:01:02.000]  隨機應變,大家又知不知道不單止中國人有這個說法,其實外國人也有類似這個說法
[00:01:02.000 --> 00:01:09.000]  大家又猜猜英文的見步行步是怎麼說的?
[00:01:09.000 --> 00:01:14.000]  哦,好厲害哦
[00:01:14.000 --> 00:01:16.000]  還有沒有?
[00:01:16.000 --> 00:01:21.000]  Play by ear是對的,還有
[00:01:21.000 --> 00:01:26.000]  Take things one step at a time,好厲害啊
[00:01:26.000 --> 00:01:33.000]  接著呢,這個英文,日文也有的,大家又知不知道呢?
[00:01:33.000 --> 00:01:37.000]  很多人是學日文的,是吧?
[00:01:37.000 --> 00:01:39.000]  有沒有聽過?
[00:01:39.000 --> 00:01:44.000]  應該比較艱難一點,我是沒有聽過,是上網找的
[00:01:44.000 --> 00:01:47.000]  我也不懂,不過可能當中也有人懂
[00:01:47.000 --> 00:01:49.000]  我們來聽聽這兩句說話
[00:01:49.000 --> 00:01:51.000]  第一句,行之當什麼?
[00:01:51.000 --> 00:01:55.000]  有人懂嗎?
[00:01:55.000 --> 00:01:58.000]  好厲害哦
[00:01:58.000 --> 00:02:00.000]  完了之後你教我讀
[00:02:00.000 --> 00:02:04.000]  直譯是走一步,算一步的意思
[00:02:04.000 --> 00:02:06.000]  還有另外一句
[00:02:06.000 --> 00:02:10.000]  這個,做什麼,不知道什麼,做什麼
[00:02:10.000 --> 00:02:12.000]  狀況什麼
[00:02:12.000 --> 00:02:20.000]  意思是隨著當下的情況行動的意思
[00:02:20.000 --> 00:02:24.000]  可想而知,無論在哪裡,任何國籍的人
[00:02:24.000 --> 00:02:26.000]  不知道怎麼走下去的時候
[00:02:26.000 --> 00:02:29.000]  也會有不知道怎麼走下去的時候
[00:02:29.000 --> 00:02:35.000]  我記得我們更常用的就是
[00:02:35.000 --> 00:02:37.000]  行步見步
[00:02:37.000 --> 00:02:40.000]  有沒有聽過?
[00:02:40.000 --> 00:02:46.000]  因為我中文不是很好
[00:02:46.000 --> 00:02:49.000]  經常把中文字弄亂
[00:02:49.000 --> 00:02:52.000]  尤其是用四字詞的時候
[00:02:52.000 --> 00:02:58.000]  所以每次當我和別人分享行步見步的時候
[00:02:58.000 --> 00:03:00.000]  很多人就會跟著我
[00:03:00.000 --> 00:03:04.000]  告訴我應該是見步行步
[00:03:04.000 --> 00:03:06.000]  其實這是我神學院所學的
