
[00:00:00.000 --> 00:00:02.000]  今天是我講道
[00:00:02.000 --> 00:00:06.120]  今天是我恩福堂應該是尾二一次講道
[00:00:06.120 --> 00:00:08.440]  內心心情非常複雜
[00:00:08.440 --> 00:00:10.440]  我和你旁邊那個講一講
[00:00:10.440 --> 00:00:12.200]  記住彼此珍惜
[00:00:12.200 --> 00:00:14.200]  講一講行不行?
[00:00:14.200 --> 00:00:16.200]  今天下午我聽小寶講的時候
[00:00:16.200 --> 00:00:18.200]  好像安息禮拜一樣
[00:00:18.200 --> 00:00:19.360]  沒有什麼反應
[00:00:19.360 --> 00:00:20.880]  不過很開心
[00:00:20.880 --> 00:00:22.880]  因為能夠在自己的群體
[00:00:22.880 --> 00:00:25.440]  能夠分享整句話是不容易的
[00:00:25.440 --> 00:00:27.440]  同樣地我依然相信
[00:00:27.440 --> 00:00:30.040]  神藉著在我們的群體裡面
[00:00:30.040 --> 00:00:32.040]  讓我們知道祂在我們其中
[00:00:32.040 --> 00:00:34.040]  能夠幫我們或者和我們
[00:00:34.040 --> 00:00:36.040]  渡過一些我們過去走過的路
[00:00:36.040 --> 00:00:37.440]  其實是很重要的
[00:00:37.440 --> 00:00:39.440]  其實基督教信仰是一個
[00:00:39.440 --> 00:00:42.440]  很常常講要回顧我們
[00:00:42.440 --> 00:00:44.440]  過去走過的路的信仰
[00:00:44.440 --> 00:00:46.440]  就好像今天我們聖餐一樣
[00:00:46.440 --> 00:00:47.440]  其實聖餐耶穌設立
[00:00:47.440 --> 00:00:48.840]  就是要我們去回顧
[00:00:48.840 --> 00:00:51.440]  祂昔日為我們去成就的救恩
[00:00:51.440 --> 00:00:53.440]  當我們行聖餐的時候
[00:00:53.440 --> 00:00:54.440]  守聖餐禮
[00:00:54.440 --> 00:00:56.440]  其實就是回想紀念
[00:00:56.440 --> 00:00:58.440]  我們犧牲這件重要的事
[00:00:58.440 --> 00:00:59.440]  怎樣帶來給我們生命
[00:00:59.440 --> 00:01:01.440]  能夠有離開罪惡的機會
[00:01:01.440 --> 00:01:03.440]  所以回想或者回顧
[00:01:03.440 --> 00:01:04.440]  其實是一個很重要
[00:01:04.440 --> 00:01:05.440]  在基督教信仰裡面
[00:01:05.440 --> 00:01:06.440]  是一個很重要的議題
[00:01:06.440 --> 00:01:09.440]  今天和大家一起分享約伯記
[00:01:09.440 --> 00:01:11.440]  可不可以出個powerpoint
[00:01:11.440 --> 00:01:12.440]  我不知道
[00:01:12.440 --> 00:01:13.440]  我出了那裡
[00:01:13.440 --> 00:01:14.440]  我出那裡了,謝謝
[00:01:14.440 --> 00:01:15.440]  我不知道你有沒有印象
[00:01:15.440 --> 00:01:17.440]  我上個兩個月
[00:01:17.440 --> 00:01:19.440]  講了一次約伯記
[00:01:19.440 --> 00:01:21.440]  如果你應該有印象的話
[00:01:21.440 --> 00:01:22.440]  都記得
