
[00:00:00.000 --> 00:00:05.680]  將我們的心交給神
[00:00:05.680 --> 00:00:08.480]  我們開始的時候一同祈禱
[00:00:08.480 --> 00:00:15.520]  親愛的主耶穌,我們感謝祢
[00:00:15.520 --> 00:00:19.480]  祢愛我們愛到一個地步
[00:00:19.480 --> 00:00:24.000]  願意釘在十字架上為我們死
[00:00:24.000 --> 00:00:27.840]  主啊,我們怎樣去回應祢對我們的大愛呢?
[00:00:27.840 --> 00:00:33.160]  我們都是雅氣,求主祢充滿我們
[00:00:33.160 --> 00:00:37.200]  讓我們這個雅氣能夠被神使用
[00:00:37.200 --> 00:00:40.760]  繼續為主發光發熱
[00:00:40.760 --> 00:00:43.440]  在奔跑天路的過程中
[00:00:43.440 --> 00:00:45.720]  我們奔跑不放棄
[00:00:45.720 --> 00:00:51.080]  直到見到主耶穌在你手上稱讚我們
[00:00:51.080 --> 00:00:54.080]  是一個又良善又忠心的管家
[00:00:54.080 --> 00:00:57.400]  我們就將以下時間的功勁交上
[00:00:57.400 --> 00:01:01.520]  求主祢祝福每一個開開我們的心靈
[00:01:01.520 --> 00:01:03.760]  聽到祢要我們聽的說話
[00:01:03.760 --> 00:01:05.760]  立志去跟隨祢
[00:01:05.760 --> 00:01:08.360]  我們的祈禱是奉主耶穌基督的命求
[00:01:08.360 --> 00:01:10.360]  阿們
[00:01:10.360 --> 00:01:17.200]  我想大家都聽過衣索語言裡
[00:01:17.200 --> 00:01:19.040]  龜兔賽跑的故事
[00:01:19.040 --> 00:01:19.920]  有沒有人未聽過?
[00:01:19.920 --> 00:01:21.720]  我的弟兄姊妹首先舉手
[00:01:21.720 --> 00:01:25.520]  聽過了,但我都會說
[00:01:25.520 --> 00:01:28.040]  這個故事其實很簡單
[00:01:28.040 --> 00:01:32.880]  就是說白兔子自恃跑得很快
[00:01:32.880 --> 00:01:37.240]  所以他就挑選出名跑得很慢的烏龜
[00:01:37.240 --> 00:01:39.240]  來參加賽跑比賽
[00:01:39.240 --> 00:01:42.680]  當然在比賽的初段
[00:01:42.680 --> 00:01:45.560]  都是一個預料之內的結果
[00:01:45.560 --> 00:01:47.360]  白兔子眨眼
[00:01:47.360 --> 00:01:51.600]  已經拋離了烏龜不知多大的身位
[00:01:51.600 --> 00:01:53.240]  所以白兔子就想著
[00:01:53.240 --> 00:01:57.040]  睡一會兒,休息一下
[00:01:57.040 --> 00:02:00.120]  但當他做完春秋大夢
[00:02:00.120 --> 00:02:01.920]  如夢初醒之際
[00:02:01.920 --> 00:02:03.720]  他望一望那條終點線
[00:02:03.720 --> 00:02:08.760]  那隻烏龜竟然被他壓著壓著衝線
[00:02:08.760 --> 00:02:12.280]  做了一個爆冷的結果
[00:02:12.280 --> 00:02:16.080]  弟兄姊妹,不知道你覺得這個小故事
[00:02:16.080 --> 00:02:18.000]  有多真實呢?
[00:02:18.000 --> 00:02:20.000]  在你的信仰生命中
[00:02:20.000 --> 00:02:21.400]  在你的職場中
[00:02:21.400 --> 00:02:23.400]  有沒有類似的經驗呢?
[00:02:23.400 --> 00:02:26.640]  在今年的杭州亞運
[00:02:26.640 --> 00:02:29.480]  一個滾軸溜冰的接力賽的決賽
[00:02:29.480 --> 00:02:32.320]  就出現了一個類似的畫面
[00:02:32.320 --> 00:02:35.000]  一會兒都會跟大家分享
[00:02:35.000 --> 00:02:36.520]  今天我們看的經文是在
[00:02:36.520 --> 00:02:41.240]  《肥臘比書》三章七到十六節
[00:02:41.240 --> 00:02:45.680]  保羅就把自己當作一個賽跑的選手
[00:02:45.680 --> 00:02:48.960]  你要分享到邁向天國這條跑道上
[00:02:48.960 --> 00:02:53.640]  縱然遇上各式各樣的艱難和挑戰
[00:02:53.640 --> 00:02:56.280]  但他仍然難以遇上
[00:02:56.280 --> 00:03:00.480]  其實在我們基督徒馬拉松人生的賽程
[00:03:00.480 --> 00:03:03.280]  一點都不容易跑
[00:03:03.280 --> 00:03:04.800]  熟悉的價值觀
[00:03:04.800 --> 00:03:08.680]  不斷不斷地衝擊我們的信仰生命
[00:03:08.680 --> 00:03:11.480]  就讓我們從保羅的身上學習一下
[00:03:11.480 --> 00:03:14.240]  如何可以跑好這場賽事
[00:03:14.240 --> 00:03:16.720]  又如何可以無悔無救
[00:03:16.720 --> 00:03:19.200]  沒有遺憾地得到主耶穌
[00:03:19.200 --> 00:03:22.360]  手上親手幫我們戴上的冠冕呢?
[00:03:22.360 --> 00:03:26.320]  大家就要留意我以下分享的三個秘訣
[00:03:26.320 --> 00:03:29.040]  為了讓弟兄姊妹容易記得
[00:03:29.040 --> 00:03:34.840]  我會用三個P字來代表這三個秘訣
[00:03:34.840 --> 00:03:36.680]  第一個P字就是
[00:03:36.680 --> 00:03:40.240]  認定從主而來的標竿
[00:03:40.240 --> 00:03:45.080]  讓我們一起讀一讀《肥臘比書》三章七到九節
[00:03:45.080 --> 00:03:46.400]  弟兄姊妹我們一起讀
[00:03:46.400 --> 00:03:48.120]  一二三
[00:03:48.120 --> 00:03:51.840]  「只是我先前以為對我是有益的
