
[00:00:00.000 --> 00:00:03.760]  大家看到我的題目,不知道你們有甚麼想法
[00:00:03.760 --> 00:00:05.760]  死透了沒有?
[00:00:05.760 --> 00:00:13.000]  其實我是很有心的體會才寫下去的
[00:00:13.000 --> 00:00:19.720]  因為我曾經有兩個非常不同的教書經驗
[00:00:19.720 --> 00:00:22.520]  首先是一個福音戒毒所
[00:00:22.520 --> 00:00:27.400]  現在說福音戒毒好像會不會有些不合時宜
[00:00:27.400 --> 00:00:31.880]  但千萬不要被一兩個不太好的例子影響
[00:00:31.880 --> 00:00:34.920]  我認識很多侍奉戒毒者的童工
[00:00:34.920 --> 00:00:37.560]  他們的初心一直都沒有改變
[00:00:37.560 --> 00:00:39.560]  今天仍然堅守崗位
[00:00:39.560 --> 00:00:42.600]  從來沒有放棄過他們的一幅士
[00:00:42.600 --> 00:00:46.680]  第二個是一間普通的小學
[00:00:46.680 --> 00:00:48.680]  但又不是太普通
[00:00:48.680 --> 00:00:54.840]  因為當時是很多年前在天水圍剛開的一間小學
[00:00:54.840 --> 00:00:56.520]  開第二年我就進去了
[00:00:56.520 --> 00:00:58.200]  現在可能不同了
[00:00:58.200 --> 00:01:02.240]  但當年的天水圍處於開荒期
[00:01:02.240 --> 00:01:07.000]  到處都是地盤
[00:01:07.000 --> 00:01:13.160]  同時學生有很多問題要被老師面對
[00:01:13.160 --> 00:01:17.720]  在福音戒毒我做了四年多五年
[00:01:17.720 --> 00:01:20.320]  以一個非過來人來說
[00:01:20.320 --> 00:01:23.680]  非過來人的童工,即是沒有吸毒的那些
[00:01:23.680 --> 00:01:26.320]  我是做得……
[00:01:26.320 --> 00:01:29.920]  我們叫過來人吸毒
[00:01:29.920 --> 00:01:33.040]  非過來人的童工來說我是做得最長的
[00:01:33.040 --> 00:01:35.040]  四年多五年
[00:01:35.040 --> 00:01:40.240]  但在那間普通小學我只做了兩年
[00:01:40.240 --> 00:01:43.040]  已經覺得自己不合適
[00:01:43.040 --> 00:01:47.440]  發覺我自己絕對不是一個合格的老師
[00:01:47.440 --> 00:01:52.480]  為了不仁止弟,兩年後就辭職
