
[00:00:00.000 --> 00:00:03.740]  我們今天分享的講題是
[00:00:03.740 --> 00:00:06.520]  《禱告中與主相遇》
[00:00:06.520 --> 00:00:11.160]  相信對我們一班信主的信徒來說
[00:00:11.160 --> 00:00:12.760]  禱告很重要
[00:00:12.760 --> 00:00:14.760]  我們一點也不奇怪
[00:00:14.760 --> 00:00:16.280]  一點也不陌生
[00:00:16.280 --> 00:00:20.080]  但我們怎樣理解什麼叫做禱告呢?
[00:00:20.080 --> 00:00:21.680]  記得我初信主的時候
[00:00:21.680 --> 00:00:23.520]  我的組長很好
[00:00:23.520 --> 00:00:26.400]  他特別在禱告裡面很好
[00:00:26.400 --> 00:00:27.720]  他禱告的時候
[00:00:27.720 --> 00:00:29.320]  他會引經據典
[00:00:29.320 --> 00:00:31.160]  用大量的經文
[00:00:31.160 --> 00:00:32.640]  用字優美
[00:00:32.640 --> 00:00:34.240]  一樣頓挫
[00:00:34.240 --> 00:00:36.160]  非常優雅
[00:00:36.160 --> 00:00:38.680]  這樣對一個初信我來說
[00:00:38.680 --> 00:00:40.960]  你猜影響是怎樣的呢?
[00:00:40.960 --> 00:00:43.360]  是不是我很喜歡祈禱?
[00:00:43.360 --> 00:00:44.440]  不是
[00:00:44.440 --> 00:00:46.360]  我當時很害怕祈禱
[00:00:46.360 --> 00:00:49.480]  我怎麼祈禱都好像很低落
[00:00:49.480 --> 00:00:50.680]  覺得很有壓力
[00:00:50.680 --> 00:00:53.320]  特別是我們小組圍在一起
[00:00:53.320 --> 00:00:54.440]  每個人都要說出來
[00:00:54.440 --> 00:00:57.000]  我更加心急
[00:00:57.000 --> 00:00:59.360]  覺得自己不知道在祈禱什麼
[00:00:59.360 --> 00:01:00.200]  沒多久
[00:01:00.200 --> 00:01:03.120]  繼續慢慢在團契裡面成長
[00:01:03.120 --> 00:01:03.840]  記得有一次
[00:01:03.840 --> 00:01:05.840]  要在團契大組裡
[00:01:05.840 --> 00:01:07.640]  二三百人
