
[00:00:00.000 --> 00:00:03.400]  在今年5月1日
[00:00:03.400 --> 00:00:09.800]  教會舉行了全教會性的早上加油站
[00:00:09.800 --> 00:00:15.920]  當中有一個短劇給我很深刻的印象
[00:00:15.920 --> 00:00:19.520]  講到我們在侍奉的時間
[00:00:19.520 --> 00:00:22.240]  很多時候都會遇到一個問題
[00:00:22.240 --> 00:00:23.080]  是什麼呢?
[00:00:23.080 --> 00:00:28.960]  就是有時候我們都會感到侍奉無力
[00:00:28.960 --> 00:00:32.440]  好像不太想去侍奉
[00:00:32.440 --> 00:00:35.640]  侍奉得過且過
[00:00:35.640 --> 00:00:37.160]  原因是什麼呢?
[00:00:37.160 --> 00:00:40.920]  大家都看到這裡有兩張照片
[00:00:40.920 --> 00:00:50.440]  在靠近大家的應該是左手還是右手?
[00:00:50.440 --> 00:00:51.920]  左手邊是不是?
[00:00:51.920 --> 00:00:58.440]  看到有位姐妹拿了一個心出來
[00:00:58.440 --> 00:01:00.560]  這表示她的初心
[00:01:00.560 --> 00:01:03.320]  她說她的初心出了很多問題
[00:01:03.320 --> 00:01:05.760]  有毛病
[00:01:05.760 --> 00:01:07.520]  好像裂了
[00:01:07.520 --> 00:01:13.840]  然後她又看一看她心裡侍奉的火
[00:01:13.840 --> 00:01:15.840]  發覺越來越小
[00:01:15.840 --> 00:01:19.760]  差不多快要熄滅了
[00:01:19.760 --> 00:01:21.520]  這個短劇告訴我們
[00:01:21.520 --> 00:01:25.000]  我們之所以很多時候侍奉覺得無力
[00:01:25.000 --> 00:01:29.520]  是因為我們侍奉的初心減弱了
[00:01:29.520 --> 00:01:34.480]  我們侍奉的那團火也是慢慢地熄滅
[00:01:34.480 --> 00:01:40.320]  我不知道大家侍奉的情況是怎麼樣
[00:01:40.320 --> 00:01:44.400]  是不是有時候會感到侍奉無力
[00:01:44.400 --> 00:01:46.520]  侍奉的初心減弱
[00:01:46.520 --> 00:01:50.560]  而侍奉的那團火是慢慢地變少
[00:01:50.560 --> 00:01:57.160]  今天我們藉著《約翰福音》21章1-19節的經文
[00:01:57.160 --> 00:01:58.560]  我們一起思考一下
[00:01:58.560 --> 00:02:02.320]  如何去重拾我們侍奉的初心
[00:02:02.320 --> 00:02:06.920]  重現我們對主的愛火
[00:02:06.920 --> 00:02:12.120]  我們透過經文回到耶穌的時代
[00:02:12.120 --> 00:02:14.040]  那個空間裡面
[00:02:14.040 --> 00:02:18.560]  我們一起看看故事的發生
