
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹,早安,平安
[00:00:04.000 --> 00:00:06.000]  大家昨晚睡得好不好?
[00:00:06.000 --> 00:00:10.000]  好啊,我聽到都為你感謝神
[00:00:10.000 --> 00:00:13.000]  不知道有沒有弟兄姊妹,因為現在還在下大雨
[00:00:13.000 --> 00:00:17.000]  家裡還在滲水,流水,切夜難眠
[00:00:17.000 --> 00:00:21.000]  可能有的都應該不在,應該在網上
[00:00:21.000 --> 00:00:25.000]  不知道大家昨晚有沒有失眠
[00:00:25.000 --> 00:00:29.000]  我昨晚就未至於失眠,但是睡得一般
[00:00:29.000 --> 00:00:32.000]  大家知道今天早上分享神的話
[00:00:32.000 --> 00:00:37.000]  雖然很興奮,但是心裡仍然有些緊張和壓力
[00:00:37.000 --> 00:00:41.000]  我想我們沒有誰沒有試過失眠
[00:00:41.000 --> 00:00:45.000]  這個可以叫舉手,沒有試過失眠可以舉手
[00:00:45.000 --> 00:00:49.000]  小時候我們去學校旅行,第二天去學校旅行
[00:00:49.000 --> 00:00:53.000]  早一晚總是太興奮,失眠,很期待,很緊張
[00:00:53.000 --> 00:00:58.000]  人長大了,喝了奶茶或咖啡,我們又會失眠
[00:00:58.000 --> 00:01:01.000]  但很多時候我們失眠是因為我們有壓力
[00:01:01.000 --> 00:01:06.000]  受到焦慮,受壓,身體就會發出訊號
[00:01:06.000 --> 00:01:10.000]  好像肚子痛,小朋友最多,上學就會肚子痛
[00:01:10.000 --> 00:01:15.000]  半夜驚醒,失眠,甚至有生蛇和甲狂
[00:01:15.000 --> 00:01:20.000]  這些看到的訊號其實是將我們心裡無形的壓力
[00:01:20.000 --> 00:01:23.000]  看不到的焦慮不安浮出來
[00:01:23.000 --> 00:01:30.000]  這半年我頸和臉長了濕疹的情況
[00:01:30.000 --> 00:01:33.000]  因為我從來沒有試過有皮膚上的問題
[00:01:33.000 --> 00:01:36.000]  我以為自己是敏感,很快就會好
[00:01:36.000 --> 00:01:39.000]  但一直沒有好到,因為長在臉上
[00:01:39.000 --> 00:01:42.000]  不同的姐妹們見到都會問候我
[00:01:42.000 --> 00:01:45.000]  我想都沒想過可以和壓力有關
[00:01:45.000 --> 00:01:49.000]  但他們是這樣說,當然作為現代人的我
[00:01:49.000 --> 00:01:54.000]  我有一段時間不是去看醫生,而是看Google
[00:01:54.000 --> 00:01:59.000]  立時在Google看到一句很精簡的題目
[00:01:59.000 --> 00:02:01.000]  皮膚不騙人
[00:02:01.000 --> 00:02:04.000]  內容提到負荷繁重的工作
[00:02:04.000 --> 00:02:07.000]  不少人處於長期身心疲勞的狀態
[00:02:07.000 --> 00:02:09.000]  不只對精神造成壓力
[00:02:09.000 --> 00:02:11.000]  也連帶影響皮膚的健康
[00:02:11.000 --> 00:02:15.000]  其實皮膚就好像身體壓力的測試器
[00:02:15.000 --> 00:02:16.000]  病徵出現的時候
