
[00:00:00.000 --> 00:00:03.000]  不知你剛才在敬拜中如何經歷上帝
[00:00:03.000 --> 00:00:06.000]  我很想上來的時候感謝敬拜隊
[00:00:06.000 --> 00:00:12.120]  剛才是一個空間可以單單去敬拜神
[00:00:12.120 --> 00:00:14.160]  我覺得是一個很舒服
[00:00:14.160 --> 00:00:16.440]  或者我自己在一個很投入的時間中
[00:00:16.440 --> 00:00:18.480]  投入也忘了按那個拱槍出來
[00:00:18.480 --> 00:00:20.080]  所以現在手機已關機
[00:00:20.080 --> 00:00:23.040]  不過不知道你剛才在敬拜中是怎樣
[00:00:23.040 --> 00:00:24.640]  我想問你們一個問題
[00:00:24.640 --> 00:00:27.400]  剛才在敬拜中,你們有否試過分心?
[00:00:28.640 --> 00:00:31.960]  其實你不用回答我,我只是問你
[00:00:31.960 --> 00:00:35.320]  不過我想問,剛才在敬拜中有否分心?
[00:00:35.320 --> 00:00:36.280]  剛才主席說
[00:00:36.280 --> 00:00:38.480]  你不知道生活中有沒有困擾
[00:00:38.480 --> 00:00:39.920]  有沒有阻礙你的東西
[00:00:39.920 --> 00:00:41.440]  求神就拿走它
[00:00:41.440 --> 00:00:43.960]  或者求神我們能夠專注在神中
[00:00:43.960 --> 00:00:46.600]  不知道你雖然這樣祈禱之後
[00:00:46.600 --> 00:00:49.680]  你的心是否真的能夠在剛才20分鐘
[00:00:49.680 --> 00:00:52.920]  25分鐘中,全心全意想起上帝
[00:00:52.920 --> 00:00:53.840]  我猜不容易
[00:00:53.840 --> 00:00:57.320]  因為生活中有很多東西都會騷擾我們
[00:00:57.360 --> 00:01:00.240]  生活中有很多東西都會讓我們離開
[00:01:00.240 --> 00:01:04.600]  所以剛才我不知道你的狀態是怎樣
[00:01:04.600 --> 00:01:07.400]  但有時我們說要專注讚美神時
[00:01:07.400 --> 00:01:11.240]  有時想想,想想神最近去了自己的地方
[00:01:11.240 --> 00:01:14.400]  想想神又擔心甚麼,去了這些位置
[00:01:14.400 --> 00:01:18.600]  讓我們真的能夠專注在上帝之中
[00:01:18.600 --> 00:01:22.760]  今天我的講題叫「焦點調整教學」
[00:01:22.760 --> 00:01:25.320]  你今天看到我戴了眼鏡
[00:01:25.320 --> 00:01:26.880]  是否為了適切講題
[00:01:26.920 --> 00:01:28.400]  其實不是
[00:01:28.400 --> 00:01:31.360]  有人問我是否老化,所以要戴眼鏡
[00:01:31.360 --> 00:01:34.000]  放心,也不是,還未住
[00:01:34.000 --> 00:01:37.880]  純粹是因為我的眼睛這兩天突然發炎
[00:01:37.880 --> 00:01:39.560]  所以我戴了眼鏡
[00:01:39.560 --> 00:01:43.680]  我去藥房買眼藥水,他叫我先不要戴隱形眼鏡
[00:01:43.680 --> 00:01:45.760]  不過言而如何也好
[00:01:45.760 --> 00:01:50.080]  我覺得這個講題的圖是阿森做的
[00:01:50.080 --> 00:01:53.200]  或者宣傳時阿森幫忙做的
[00:01:53.200 --> 00:01:55.120]  我覺得今天很貼切
[00:01:55.160 --> 00:01:58.560]  有時我們會看東西變得模糊、拆開
[00:01:58.560 --> 00:02:01.760]  如何調整好自己的焦點
[00:02:01.760 --> 00:02:04.400]  幫我一個忙
[00:02:04.400 --> 00:02:06.720]  請問今年的港道主題是甚麼
[00:02:06.720 --> 00:02:08.760]  請你幫我一起讀,1、2、3
[00:02:08.760 --> 00:02:13.960]  沒錯,全都是英文
[00:02:13.960 --> 00:02:15.800]  不過大家都應該知道
[00:02:15.800 --> 00:02:20.000]  我們今年的主題很想更新我們的生命
[00:02:20.000 --> 00:02:22.000]  去成長,為了上帝
[00:02:22.040 --> 00:02:24.400]  其實在港道主題中
[00:02:24.400 --> 00:02:28.960]  我們也嘗試配合這個主題
[00:02:28.960 --> 00:02:32.360]  嘗試用不同的聖經人物學習他們的特質
[00:02:32.360 --> 00:02:37.120]  讓我們很想成為吸引人眼光
[00:02:37.120 --> 00:02:39.760]  為主去吸引人眼光的生命
[00:02:39.760 --> 00:02:41.400]  當中我選擇的人物
[00:02:41.400 --> 00:02:43.440]  請問有人記得是誰嗎?
[00:02:43.440 --> 00:02:47.720]  糟糕了,我選擇的人物是彼得
[00:02:47.720 --> 00:02:50.200]  既然大家不太記得,或者害羞不敢說
[00:02:50.240 --> 00:02:53.400]  很想快速回顧一下
[00:02:53.400 --> 00:02:55.880]  彼得是一個甚麼人
[00:02:55.880 --> 00:02:56.760]  彼得是一個甚麼人
[00:02:56.760 --> 00:03:00.440]  過去幾次我都在福音書中提及彼得
[00:03:00.440 --> 00:03:01.960]  彼得是一個甚麼人
[00:03:01.960 --> 00:03:05.200]  彼得在耶穌呼召他的時候
[00:03:05.200 --> 00:03:08.320]  記得嗎?在看到很多魚的神跡時
[00:03:08.320 --> 00:03:10.320]  他是一個怎樣回應的人
[00:03:10.320 --> 00:03:14.920]  他是一個立即在耶穌面前去悔改的人
[00:03:14.960 --> 00:03:18.160]  他就是耶穌找他的時候
[00:03:18.160 --> 00:03:21.200]  他就撇下一切去跟從耶穌的那個人
[00:03:21.200 --> 00:03:22.080]  他又是誰呢?
[00:03:22.080 --> 00:03:25.840]  他就是一個在大風大浪的船上
[00:03:25.840 --> 00:03:29.960]  看到耶穌,他是第一個衝出來
[00:03:29.960 --> 00:03:30.960]  去請求耶穌
[00:03:30.960 --> 00:03:33.440]  「我也想在水上走」的那個人
[00:03:33.440 --> 00:03:34.360]  不過你記得嗎?
[00:03:34.360 --> 00:03:37.680]  過程中他走著走著又害怕又害怕
[00:03:37.680 --> 00:03:39.080]  信心軟弱
