
[00:00:00.000 --> 00:00:05.760]  今天很感恩有一位港元在我們中間
[00:00:05.760 --> 00:00:09.080]  我簡單介紹一下這位港元
[00:00:09.080 --> 00:00:11.840]  今天我們中間是葛洪彪牧師
[00:00:11.840 --> 00:00:13.840]  我們先給他一點掌聲
[00:00:13.840 --> 00:00:17.960]  葛洪彪牧師是建道神學院的副院長
[00:00:17.960 --> 00:00:24.360]  也是宣道會感受堂和宣德堂的牧師
[00:00:24.360 --> 00:00:28.840]  即是裏面有很多牧養的工作
[00:00:28.840 --> 00:00:34.160]  葛牧師一直以來很關心教會
[00:00:34.160 --> 00:00:38.920]  亦很關心每一位在建道神學院畢業的學生
[00:00:38.920 --> 00:00:40.920]  包括我和Eman
[00:00:40.920 --> 00:00:45.560]  我記得在2010年在柏林的時候
[00:00:45.560 --> 00:00:48.120]  當時我們面對一個很大的艱難
[00:00:48.120 --> 00:00:52.720]  但當時葛牧師我記得是他親身來到柏林
[00:00:52.720 --> 00:00:54.920]  來到我們中間 住在我們中間
[00:00:54.920 --> 00:00:57.360]  去鼓勵和陪伴我們
[00:00:57.360 --> 00:01:00.320]  這些片段我們到今天都很深刻
[00:01:00.320 --> 00:01:03.960]  今天很感謝葛牧師和師母在我們中間
[00:01:03.960 --> 00:01:08.080]  來到我們裏面和我們宣講他們的訊息
[00:01:08.080 --> 00:01:11.080]  我將時間交給葛牧師
[00:01:11.080 --> 00:01:26.440]  我們一起同心地去祈禱
[00:01:26.440 --> 00:01:28.240]  我們親愛的天父上帝
[00:01:28.240 --> 00:01:32.520]  願祢的聖靈在我們心裏面
[00:01:32.520 --> 00:01:34.520]  鼓勵我們
[00:01:34.520 --> 00:01:37.320]  讓我們聽到祢自己的話
[00:01:37.320 --> 00:01:39.320]  去回應祢的呼召
[00:01:39.320 --> 00:01:41.480]  我們的禱告奉耶穌基督的名
[00:01:41.480 --> 00:01:42.800]  阿們
[00:01:42.800 --> 00:01:44.800]  今天很特別
[00:01:44.800 --> 00:01:50.360]  我答應建量牧師邀請和大家講道
[00:01:50.360 --> 00:01:56.120]  建量牧師是我在神學院第一屆關心小組的同學
[00:01:56.120 --> 00:02:01.120]  轉眼間已經二十多年了
[00:02:01.120 --> 00:02:05.640]  但今天我又見到我最後一屆關心小組的同學John
[00:02:05.640 --> 00:02:08.920]  所以我好像見到一個完美的結局
[00:02:08.920 --> 00:02:10.320]  有開始 有
[00:02:10.320 --> 00:02:11.320]  我快要退休了
[00:02:11.320 --> 00:02:15.760]  我和John一起畢業的
[00:02:15.760 --> 00:02:18.920]  所以我都很希望
[00:02:18.920 --> 00:02:22.880]  見到我們神的僕人代代相傳
[00:02:22.880 --> 00:02:28.400]  繼續將他的年輕歲月奉獻給上帝
[00:02:28.400 --> 00:02:32.800]  今天我要和大家講的經文題目是
[00:02:32.800 --> 00:02:34.400]  《聖經》裏的叛亡
[00:02:34.400 --> 00:02:39.560]  其實在《聖經》裏有很多經節和叛亡有關
[00:02:39.560 --> 00:02:43.800]  我只選了詩篇130篇第五到第六節
[00:02:43.800 --> 00:02:46.320]  羅馬書第五章第三到五節
[00:02:46.320 --> 00:02:51.400]  既然現在已經開始
[00:02:51.400 --> 00:02:52.880]  我一會兒再和大家讀
[00:02:52.880 --> 00:02:56.000]  我想先講一下現在背景
[00:02:56.000 --> 00:02:57.960]  我們身處的社會
[00:02:57.960 --> 00:03:01.280]  我們的世界是充滿矛盾衝突的
[00:03:01.280 --> 00:03:03.200]  如果你看新聞你都會發現
[00:03:03.200 --> 00:03:05.480]  經濟也還沒有恢復
[00:03:05.480 --> 00:03:08.720]  大家心裏面都有很多鬱悶
[00:03:08.720 --> 00:03:11.360]  多多少少都有很多不肯定
[00:03:11.360 --> 00:03:14.760]  正能量再出發這些題目
[00:03:14.760 --> 00:03:17.720]  正是我們大部分人心裏面的願望
[00:03:17.720 --> 00:03:20.840]  俄烏還繼續較戰
[00:03:20.840 --> 00:03:23.120]  中東的局勢還沒有真的解決
[00:03:23.120 --> 00:03:24.800]  西局的不安
[00:03:24.800 --> 00:03:26.440]  對前景憂慮
[00:03:26.440 --> 00:03:29.840]  現在我們怎樣去面對未來
[00:03:29.840 --> 00:03:32.240]  這個我們大部分人都在問
[00:03:32.240 --> 00:03:34.680]  當世界動盪的時候
[00:03:34.680 --> 00:03:36.120]  我們都很希望
[00:03:36.120 --> 00:03:41.160]  我們不至於被直接去衝擊
[00:03:41.160 --> 00:03:43.160]  我們都很自然說
[00:03:43.160 --> 00:03:45.320]  我很希望避開風浪
[00:03:45.320 --> 00:03:46.680]  有人就說
[00:03:46.680 --> 00:03:48.880]  其實我都不理國際事務
[00:03:48.880 --> 00:03:49.920]  世界太大了
[00:03:49.920 --> 00:03:51.240]  我理不了那麼多
[00:03:51.240 --> 00:03:54.600]  又或者我們不會將眼光放在歐美
[00:03:54.600 --> 00:03:56.400]  我們可以把握時間
[00:03:56.400 --> 00:04:00.000]  去大灣區旅遊消費
[00:04:00.000 --> 00:04:02.400]  現在很厲害
[00:04:02.400 --> 00:04:04.160]  早前過年買年貨
[00:04:04.160 --> 00:04:05.720]  人們去深圳
[00:04:05.720 --> 00:04:07.640]  變成你會發覺
[00:04:07.640 --> 00:04:09.880]  你會有找其他方法
[00:04:09.880 --> 00:04:12.160]  令到你的注意力改變
[00:04:12.160 --> 00:04:15.280]  我們確實不需要生活得太過沉重
[00:04:15.280 --> 00:04:16.560]  如果太沉重
[00:04:16.560 --> 00:04:18.080]  我們承擔不來
[00:04:18.080 --> 00:04:21.080]  我們沒有辦法改變這個世界
[00:04:21.080 --> 00:04:22.360]  我們不要理會
[00:04:22.360 --> 00:04:23.920]  那些跟我們沒有關係的東西
[00:04:23.920 --> 00:04:25.760]  都是一種生活智慧
[00:04:25.760 --> 00:04:27.960]  我們不要覺得這樣是錯的
[00:04:27.960 --> 00:04:30.160]  作為基督徒的話
[00:04:30.160 --> 00:04:32.280]  我們是跟隨上帝
[00:04:32.280 --> 00:04:33.760]  問題就來了
[00:04:33.760 --> 00:04:36.840]  我們應該關心什麼呢
[00:04:36.840 --> 00:04:39.240]  上帝要我們關心什麼呢
[00:04:39.240 --> 00:04:40.960]  我們就應該關心那些東西
[00:04:40.960 --> 00:04:41.960]  是不是這樣說
[00:04:41.960 --> 00:04:43.640]  這個道理很簡單
[00:04:43.640 --> 00:04:47.040]  人的智慧跟神的智慧有很大分別
[00:04:47.040 --> 00:04:51.480]  究竟我們怎樣才能得到神的智慧呢
[00:04:51.480 --> 00:04:54.320]  我自己很喜歡聽別人講道
[00:04:54.320 --> 00:04:56.840]  你可能覺得你經常去講道
[00:04:56.840 --> 00:04:58.160]  其實我覺得
[00:04:58.160 --> 00:05:00.000]  經常講來講去講了那麼多年
[00:05:00.000 --> 00:05:01.560]  我都要有新的東西
[00:05:01.560 --> 00:05:02.800]  所以我聽別人講道
[00:05:02.800 --> 00:05:05.480]  每次有得著我都很興奮
[00:05:05.480 --> 00:05:07.200]  有一次我聽道
[00:05:07.200 --> 00:05:09.200]  講完之後告訴我
[00:05:09.200 --> 00:05:13.920]  原來在新界區
