
[00:00:00.000 --> 00:00:05.000]  昨天和今天崇拜35週年
[00:00:05.000 --> 00:00:09.000]  也是跟隨我們以西傑書的系列
[00:00:09.000 --> 00:00:15.000]  今天會跟大家思想到以西傑書第16章的訊息
[00:00:15.000 --> 00:00:19.000]  我給了一個題目叫「因福加成長的轉捩點」
[00:00:19.000 --> 00:00:23.000]  我希望一路去分享的時候
[00:00:23.000 --> 00:00:26.000]  透過以西傑書第16章這段經文
[00:00:26.000 --> 00:00:29.000]  裡面提到一個嬰孩他一路的成長
[00:00:29.000 --> 00:00:32.000]  我們一方面去回顧我們自己
[00:00:32.000 --> 00:00:34.000]  在我們成長的過程裡面
[00:00:34.000 --> 00:00:36.000]  上帝有什麼作為呢?
[00:00:36.000 --> 00:00:40.000]  同時間我們也是透過一路去探索的時候
[00:00:40.000 --> 00:00:44.000]  看回過去上帝在因福加裡面的工作
[00:00:44.000 --> 00:00:48.000]  我們來作為一個檢視、回應、感恩
[00:00:48.000 --> 00:00:51.000]  以及繼續前行
[00:00:51.000 --> 00:00:54.000]  在這裡先來分享一本書
[00:00:54.000 --> 00:00:57.000]  歐長江博士所寫的
[00:00:57.000 --> 00:01:00.000]  這本書告訴我們生命的軌跡
[00:01:00.000 --> 00:01:05.000]  裡面提到13個助人和自助成長的關鍵
[00:01:05.000 --> 00:01:09.000]  在書裡面也提到回顧過去
[00:01:09.000 --> 00:01:12.000]  如何去看回你的過去
[00:01:12.000 --> 00:01:15.000]  或者如何去講你過去的故事
[00:01:15.000 --> 00:01:18.000]  原來跟我們的成長息息相關
[00:01:18.000 --> 00:01:21.000]  有些人當他講自己的過去的時候
[00:01:21.000 --> 00:01:23.000]  是很痛的
[00:01:23.000 --> 00:01:26.000]  但同時間有些人講到過去的時候
[00:01:26.000 --> 00:01:29.000]  他有另一個角度能夠幫助他
[00:01:29.000 --> 00:01:33.000]  來看到如何能夠突破和成長
[00:01:33.000 --> 00:01:35.000]  也成為了別人的祝福
[00:01:35.000 --> 00:01:38.000]  原來我們如何講自己的人生故事
[00:01:38.000 --> 00:01:43.000]  是會影響著我們如何去理解自己的過去
[00:01:43.000 --> 00:01:46.000]  從而得到一個智慧和啟迪
[00:01:46.000 --> 00:01:49.000]  可以幫助自己和別人的成長
[00:01:49.000 --> 00:01:52.000]  以西傑書第十六章
[00:01:52.000 --> 00:01:57.000]  同樣是講以色列或者耶路撒冷
[00:01:57.000 --> 00:01:59.000]  作為一個代表
[00:01:59.000 --> 00:02:02.000]  他的一個成長故事
[00:02:02.000 --> 00:02:05.000]  不過講的不是他自己
[00:02:05.000 --> 00:02:09.000]  而是他的配偶,他的丈夫
[00:02:09.000 --> 00:02:11.000]  我們叫他上帝
[00:02:11.000 --> 00:02:13.000]  我們先來到以西傑書
[00:02:13.000 --> 00:02:16.000]  經文比較長,一至六十三節
[00:02:16.000 --> 00:02:20.000]  我們先讀第一到第十四節
