
[00:00:00.000 --> 00:00:07.200]  感謝主啊 有一個很溫暖的敬拜
[00:00:07.200 --> 00:00:10.600]  跟你旁邊的朋友分享一下 你覺得很溫暖嗎
[00:00:10.600 --> 00:00:12.600]  (笑聲)
[00:00:12.600 --> 00:00:15.600]  大家Merry Christmas
[00:00:15.600 --> 00:00:22.800]  所以我今天會講一些關於聖誕的內容
[00:00:22.800 --> 00:00:24.800]  不過很特別 大家看到嗎
[00:00:24.800 --> 00:00:27.400]  我是講小心聖誕的
[00:00:27.400 --> 00:00:30.600]  一會兒我會講為什麼 聖誕也要小心
[00:00:30.600 --> 00:00:32.200]  很害怕
[00:00:32.200 --> 00:00:38.600]  以前有一個信用卡公司做了一個調查
[00:00:38.600 --> 00:00:42.800]  最大消費的節日是哪一個呢
[00:00:42.800 --> 00:00:45.400]  當然是聖誕 我講得出
[00:00:45.400 --> 00:00:48.200]  最多人消費的就是聖誕節
[00:00:48.200 --> 00:00:50.400]  然後就是農曆新年
[00:00:50.400 --> 00:00:55.600]  然後就是1月1日的年假
[00:00:55.600 --> 00:00:59.200]  不過這只是疫情之前的調查
[00:00:59.200 --> 00:01:02.600]  這兩年之後我找不到最新的調查是什麼
[00:01:02.600 --> 00:01:07.600]  因為可能大家都小心了很多
[00:01:07.600 --> 00:01:10.000]  關於花錢和消費
[00:01:10.000 --> 00:01:13.800]  如果我們記憶中
[00:01:13.800 --> 00:01:15.800]  我自己在微信主之前
[00:01:15.800 --> 00:01:20.200]  最喜歡的節日就是聖誕節
[00:01:20.200 --> 00:01:24.000]  不知為什麼總是看到裝飾物很感動
[00:01:24.000 --> 00:01:26.000]  詩歌也很動聽
[00:01:26.000 --> 00:01:27.400]  總是覺得很感動
[00:01:27.400 --> 00:01:28.200]  我現在知道為什麼
[00:01:28.200 --> 00:01:29.600]  因為有神在
[00:01:29.600 --> 00:01:32.000]  但以前不知道的
[00:01:32.000 --> 00:01:33.800]  這麼感動就要開心一點
[00:01:33.800 --> 00:01:38.000]  所以會和人一起去街上吃飯、看電影
[00:01:38.000 --> 00:01:39.800]  開派對交換禮物
[00:01:39.800 --> 00:01:42.200]  你今年交換了禮物沒有
[00:01:42.200 --> 00:01:45.200]  可能今晚吧
[00:01:45.200 --> 00:01:49.400]  或者聖誕節一定要看電影
[00:01:49.400 --> 00:01:52.800]  我的團友已經約了看哪部電影
[00:01:52.800 --> 00:01:55.400]  之前有幾部電影都比較好看
[00:01:55.400 --> 00:01:58.600]  但又比較深奧
[00:01:58.600 --> 00:02:01.200]  不知為什麼
[00:02:01.200 --> 00:02:03.600]  接下來有一部卡通片他們又會看
[00:02:03.600 --> 00:02:04.800]  是宮崎駿的
[00:02:04.800 --> 00:02:07.600]  但內容還是比較深奧
[00:02:07.600 --> 00:02:11.400]  所以很配合聖誕節我要說的訊息
[00:02:11.400 --> 00:02:12.800]  就是小心聖誕
[00:02:12.800 --> 00:02:15.000]  因為很多事情在我們生命發生
[00:02:15.000 --> 00:02:18.000]  會否就是我們不同心態
[00:02:18.000 --> 00:02:20.600]  不同的行為表達出來
[00:02:20.600 --> 00:02:24.200]  令我們要小心一點
[00:02:24.200 --> 00:02:26.400]  和看清楚一點
[00:02:26.400 --> 00:02:29.400]  剛剛說為什麼聖誕節會有人不喜歡
[00:02:29.400 --> 00:02:30.200]  少一點吧
[00:02:30.200 --> 00:02:33.400]  剛剛在勁快裡面讀出一段經文
[00:02:33.400 --> 00:02:35.400]  我們在PowerPoint看到
[00:02:35.400 --> 00:02:36.400]  就是盧家福音
[00:02:36.400 --> 00:02:42.400]  我們如果聖誕節一定會讀這篇經文
[00:02:42.400 --> 00:02:43.400]  那裡這樣說
[00:02:43.400 --> 00:02:46.000]  他說天使出現在牧羊人面前
