
[00:00:00.000 --> 00:00:05.000]  一樣我們會看彼得的一生
[00:00:05.000 --> 00:00:08.000]  彼得的一生是一個跌跌碰碰
[00:00:08.000 --> 00:00:13.000]  很多俯瞰、很多失敗的情景
[00:00:13.000 --> 00:00:16.000]  但是他如何經歷上帝
[00:00:16.000 --> 00:00:20.000]  到最後上帝讓他自由地去服侍他
[00:00:20.000 --> 00:00:26.000]  很想大家一路聽的時候
[00:00:26.000 --> 00:00:29.000]  想想在你人生階段的這一刻
[00:00:29.000 --> 00:00:31.000]  你所面對的事情
[00:00:31.000 --> 00:00:35.000]  又或者回想有沒有一些和彼得相似
[00:00:35.000 --> 00:00:38.000]  而從中我們也可以看到
[00:00:38.000 --> 00:00:40.000]  神如何做在他身上
[00:00:40.000 --> 00:00:42.000]  同時很想告訴大家
[00:00:42.000 --> 00:00:45.000]  神同時也這樣可以做在你的身上
[00:00:45.000 --> 00:00:47.000]  禱告吧
[00:00:47.000 --> 00:00:51.000]  天父我們去禱告
[00:00:51.000 --> 00:00:57.000]  雖然我們都面對著很多的挑戰
[00:00:57.000 --> 00:00:59.000]  挑戰很多的心路
[00:00:59.000 --> 00:01:01.000]  在剛才的敬拜裡面
[00:01:01.000 --> 00:01:04.000]  我們都想到我們有很多的軟弱
[00:01:04.000 --> 00:01:07.000]  又或者是我們很想去做
[00:01:07.000 --> 00:01:09.000]  但是又做不到的地方
[00:01:09.000 --> 00:01:10.000]  我們向你去求
[00:01:10.000 --> 00:01:15.000]  在你裡面我們不至於無力
[00:01:15.000 --> 00:01:18.000]  在你裡面我們能夠有一條出路
[00:01:18.000 --> 00:01:23.000]  在你裡面是你給了我們一個人生的自由
[00:01:23.000 --> 00:01:26.000]  幫我們讓我們在聽你的話的時候
[00:01:26.000 --> 00:01:29.000]  我們同時心被你的靈去激勵
[00:01:29.000 --> 00:01:31.000]  感謝你聽我們的祈禱
[00:01:31.000 --> 00:01:32.000]  奉主耶穌基督的名
[00:01:32.000 --> 00:01:33.000]  阿們
[00:01:33.000 --> 00:01:39.000]  這幅圖是2019年6月5日
[00:01:39.000 --> 00:01:43.000]  我開團的時候
[00:01:43.000 --> 00:01:46.000]  有一些我們的意思
[00:01:46.000 --> 00:01:51.000]  又或者是我們在當時幾年的目標
[00:01:51.000 --> 00:01:53.000]  我們很想再一起
[00:01:53.000 --> 00:01:55.000]  我們很想以基督為中心
[00:01:55.000 --> 00:01:57.000]  我們很想走出去
[00:01:57.000 --> 00:02:00.000]  這是我們成團的一個目標
[00:02:00.000 --> 00:02:05.000]  但是其實這個字都有一個很獨特的意義在裡面
[00:02:05.000 --> 00:02:06.000]  希望今天我說完之後
[00:02:06.000 --> 00:02:08.000]  大家將來寫的時候
[00:02:08.000 --> 00:02:10.000]  無論你報水禮或者申請什麼
[00:02:10.000 --> 00:02:11.000]  你不要寫錯
[00:02:11.000 --> 00:02:13.000]  就是exit這個名
[00:02:13.000 --> 00:02:15.000]  其實是有它的意思的
[00:02:15.000 --> 00:02:20.000]  6月5日2019年是一個動盪的時間
[00:02:20.000 --> 00:02:21.000]  在這個時候
[00:02:21.000 --> 00:02:25.000]  正當進入這個年代的時候
[00:02:25.000 --> 00:02:26.000]  我們開團
[00:02:26.000 --> 00:02:28.000]  開始了這個團契
[00:02:28.000 --> 00:02:32.000]  我們很想對內
[00:02:32.000 --> 00:02:35.000]  對內其實在恩福堂我們都和大家說過
[00:02:35.000 --> 00:02:40.000]  是一個十分之革新的一個做法
[00:02:40.000 --> 00:02:41.000]  以前是聖團
[00:02:41.000 --> 00:02:44.000]  我們不想再面對聖團流失的問題
[00:02:44.000 --> 00:02:47.000]  於是乎我們很想開設一個
[00:02:47.000 --> 00:02:50.000]  適合大家在這個人生階段的一個團契
[00:02:50.000 --> 00:02:56.000]  對內我們很想在這個年代
[00:02:56.000 --> 00:02:59.000]  我們經常能夠在團體裡面
[00:02:59.000 --> 00:03:00.000]  你面對人生轉變
[00:03:00.000 --> 00:03:02.000]  畢業去到工作的時候
[00:03:02.000 --> 00:03:05.000]  去到再預備進修
