
[00:00:00.000 --> 00:00:04.560]  給予掌聲敬拜隊
[00:00:04.560 --> 00:00:10.160]  這隊是親生的
[00:00:10.160 --> 00:00:11.760]  親生的意思是什麼呢?
[00:00:11.760 --> 00:00:13.560]  我們先問問大家
[00:00:13.560 --> 00:00:17.840]  知不知道我們第四子堂崇拜第一次是什麼時候?
[00:00:17.840 --> 00:00:22.240]  很厲害,我記得是七月,七月幾號呢?
[00:00:22.240 --> 00:00:26.000]  七月七號,很厲害,七月七號
[00:00:26.000 --> 00:00:32.440]  到現在已經過了八、九個月了
[00:00:32.440 --> 00:00:35.840]  很感恩,我們一開始很擔心
[00:00:35.840 --> 00:00:40.440]  敬拜會怎樣?開一個新的崇拜
[00:00:40.440 --> 00:00:43.560]  但很感恩神一步一步幫助我們
[00:00:43.560 --> 00:00:46.600]  讓我們在四月份開始
[00:00:46.600 --> 00:00:50.600]  已經有兩隊自己的親生兒子
[00:00:50.600 --> 00:00:52.840]  上星期是第一隊
[00:00:52.840 --> 00:00:57.360]  一隊是Gmajor,他們改了名字
[00:00:57.360 --> 00:00:59.840]  另一隊是今天這一隊
[00:00:59.840 --> 00:01:06.240]  很開心,不單有弟兄姊妹願意走出來為主侍奉
[00:01:06.240 --> 00:01:12.960]  更重要的是他們的出現讓我們成為一個很大的鼓勵
[00:01:12.960 --> 00:01:16.200]  今天好像不見了一位朋友
[00:01:16.200 --> 00:01:18.200]  就是我的夫君
[00:01:18.200 --> 00:01:23.360]  夫君去了東九堂主日崇拜港道
[00:01:23.360 --> 00:01:25.360]  有借有還
[00:01:25.360 --> 00:01:29.640]  下星期東九的至孫木星會來我們這邊
[00:01:29.640 --> 00:01:32.120]  跟我們分享
[00:01:32.120 --> 00:01:34.400]  我覺得很感恩
[00:01:34.400 --> 00:01:36.680]  在我們一堂多子裡
[00:01:36.680 --> 00:01:42.840]  互相的子堂都可以彼此幫助、鼓勵
[00:01:45.120 --> 00:01:49.280]  今天我想跟大家一起思想一個課題
[00:01:49.280 --> 00:01:53.280]  就是關於人生總有起跌時
[00:01:53.280 --> 00:02:03.640]  不知道大家有沒有寫日記的習慣?
[00:02:03.640 --> 00:02:07.480]  小時候,小學生有沒有?舉手來看
[00:02:07.480 --> 00:02:10.320]  沒有的嗎?你們這麼近代的嗎?
