
[00:00:00.000 --> 00:00:03.000]  第二節沒完,晚安
[00:00:03.000 --> 00:00:09.000]  我們第一次來到標青崇拜港島
[00:00:09.000 --> 00:00:12.000]  我叫潘牧師,可以叫我Louis
[00:00:12.000 --> 00:00:15.000]  很開心今晚來到大家當中
[00:00:15.000 --> 00:00:19.000]  分享猜拳一些很重要的訊息
[00:00:19.000 --> 00:00:25.000]  很想大家能夠在裏面明白神的心意
[00:00:25.000 --> 00:00:29.000]  如果大家有留意的話,不知道大家有沒有留意
[00:00:29.000 --> 00:00:32.000]  我們搭升降機上來的時候,有一張大的Poster
[00:00:32.000 --> 00:00:37.000]  這張Poster寫著今年猜拳聯會的主題
[00:00:37.000 --> 00:00:40.000]  From Everywhere to Everywhere
[00:00:40.000 --> 00:00:43.000]  中文是從各地到各處
[00:00:43.000 --> 00:00:46.000]  我不知道大家看見這張Poster的時候
[00:00:46.000 --> 00:00:48.000]  想起什麼,或者知不知道
[00:00:48.000 --> 00:00:52.000]  究竟這張Poster裏面有什麼意思
[00:00:52.000 --> 00:00:55.000]  如果大家有認識猜拳的話
[00:00:55.000 --> 00:01:00.000]  可能大家都知道大概在19-20世紀的時候
[00:01:00.000 --> 00:01:04.000]  宣教運動是由歐美的地方主導的
[00:01:04.000 --> 00:01:11.000]  猜派宣教士到亞洲、非洲甚至拉丁美洲這些地區去傳福音
[00:01:11.000 --> 00:01:16.000]  所以當時有一句說話叫做From the Rest to the Rest
[00:01:16.000 --> 00:01:19.000]  由西方到全地裏面
[00:01:19.000 --> 00:01:25.000]  希望能夠將福音在當中讓更多人認識
[00:01:25.000 --> 00:01:30.000]  但除了全球化,還有20世紀非西方的國家
[00:01:30.000 --> 00:01:33.000]  包括非洲、拉丁美洲、亞洲這些教會
[00:01:33.000 --> 00:01:37.000]  在當中很蓬勃的興起和有增長
[00:01:37.000 --> 00:01:40.000]  成為了宣教的一個新動力
[00:01:40.000 --> 00:01:44.000]  特別是如果大家可能都知道的,聽說的
[00:01:44.000 --> 00:01:49.000]  特別在韓國其實有很多宣教士被猜出去
[00:01:49.000 --> 00:01:52.000]  也有些巴西,也不少的
[00:01:52.000 --> 00:01:57.000]  甚至在我們鄰近的地區,菲律賓也有
[00:01:57.000 --> 00:02:02.000]  印尼、中國,這幾年也越來越多人被猜出去
[00:02:02.000 --> 00:02:06.000]  去到世界不同的地方去做宣教的工作
[00:02:06.000 --> 00:02:13.000]  所以今天世界的宣教運動不再是由西方主導
[00:02:13.000 --> 00:02:16.000]  而是由很多地方不同的教會
[00:02:16.000 --> 00:02:19.000]  大家在當中一起去參與
[00:02:19.000 --> 00:02:22.000]  互相能夠成為一個夥伴
[00:02:22.000 --> 00:02:28.000]  不再是過去我們要去到一些已發展的國家
[00:02:28.000 --> 00:02:30.000]  去到一些未得知名的地方
[00:02:30.000 --> 00:02:34.000]  現在彼此在不同世界各地當中
[00:02:34.000 --> 00:02:37.000]  成為一個很強烈的夥伴
[00:02:37.000 --> 00:02:39.000]  希望能夠將福音繼續傳開
[00:02:39.000 --> 00:02:42.000]  一起去實踐大使命
[00:02:42.000 --> 00:02:47.000]  所以從各地到各處就是這個意思
[00:02:47.000 --> 00:02:49.000]  另一方面,大家也可能留意到
[00:02:49.000 --> 00:02:51.000]  全球人口的流動
[00:02:51.000 --> 00:02:55.000]  過去可能住在偏遠島嶼的地方的人
[00:02:55.000 --> 00:03:00.000]  我們未得知名,沒有教會,沒有人在當中傳福音
[00:03:00.000 --> 00:03:05.000]  今天可能他們已經來到一些很恩著工作
[00:03:05.000 --> 00:03:07.000]  或者逃難的緣故
[00:03:07.000 --> 00:03:10.000]  來到一些福音開放的城市
[00:03:10.000 --> 00:03:13.000]  甚至可能成為我們身邊的鄰舍
[00:03:13.000 --> 00:03:17.000]  故此今天宣教的模式已經有很多很多的可能
[00:03:17.000 --> 00:03:20.000]  只要有教會的地方
[00:03:20.000 --> 00:03:23.000]  哪裡都可以猜宣教士
[00:03:23.000 --> 00:03:25.000]  哪裡都可以傳福音
[00:03:25.000 --> 00:03:27.000]  更加哪裡都能夠
[00:03:27.000 --> 00:03:30.000]  每個弟兄姊妹都有份在當中去參與
[00:03:30.000 --> 00:03:34.000]  所以下個星期二和星期五有兩晚晚會
[00:03:34.000 --> 00:03:40.000]  分別由中東來一對宣教士
[00:03:40.000 --> 00:03:44.000]  去講一下中東現在如何去做宣教工作
[00:03:44.000 --> 00:03:48.000]  另外一個宣教士由德國的地方來到當中
[00:03:48.000 --> 00:03:51.000]  同樣也和我們分享宣教工作
[00:03:51.000 --> 00:03:53.000]  現在在他們的國家裡
[00:03:53.000 --> 00:03:56.000]  其實他們在做什麼群體
[00:03:56.000 --> 00:03:59.000]  讓我們更加明白
[00:03:59.000 --> 00:04:01.000]  原來神的手在不同的地方
[00:04:01.000 --> 00:04:05.000]  都去祝福更加多的未得之民
[00:04:05.000 --> 00:04:07.000]  很希望有更加多人
[00:04:07.000 --> 00:04:11.000]  能夠去認識我們這位偉大的主
[00:04:11.000 --> 00:04:15.000]  以致他們能夠在神的角度裡有份
[00:04:15.000 --> 00:04:18.000]  所以盼望大家能夠一起去參與和出席
[00:04:18.000 --> 00:04:22.000]  下個星期星期二和星期五的晚會
[00:04:22.000 --> 00:04:25.000]  願意今天我和大家講到這裡
[00:04:25.000 --> 00:04:27.000]  我也很想和大家一起有個祈禱
[00:04:27.000 --> 00:04:29.000]  我們一起去祈禱
[00:04:29.000 --> 00:04:31.000]  親愛的天父再次獻上感謝
[00:04:31.000 --> 00:04:33.000]  你讓我們今天也有猜拳主一
[00:04:33.000 --> 00:04:37.000]  盼望你使用你的說話成為我們的提醒
