
[00:00:00.000 --> 00:00:07.280]  今天跟大家分享的講題是「記得忘記」
[00:00:07.280 --> 00:00:09.280]  想先問問大家的問題
[00:00:09.280 --> 00:00:12.720]  大家覺得自己有沒有記性?
[00:00:12.720 --> 00:00:14.720]  如果有記性的請舉手
[00:00:14.720 --> 00:00:16.720]  我先放下手
[00:00:16.720 --> 00:00:19.720]  不是很多人舉手
[00:00:19.720 --> 00:00:21.000]  我問另一個問題
[00:00:21.000 --> 00:00:23.000]  你覺得自己沒有記性的請舉手
[00:00:23.000 --> 00:00:26.600]  應該是大家很踴躍的
[00:00:26.600 --> 00:00:28.600]  我應該要舉得很高
[00:00:28.600 --> 00:00:31.600]  我經常都好像不太記得一些事情
[00:00:31.600 --> 00:00:37.600]  我們有時候都會不記得一些事情
[00:00:37.600 --> 00:00:40.600]  但其實如果有些事情不記得
[00:00:40.600 --> 00:00:43.600]  其實都是很嚴重的事情
[00:00:43.600 --> 00:00:45.600]  我記得我讀神學的時候
[00:00:45.600 --> 00:00:47.600]  有個神學院老師去分享
[00:00:47.600 --> 00:00:49.600]  他不記得什麼呢?你猜猜
[00:00:49.600 --> 00:00:53.600]  他不記得去教港獨
[00:00:53.600 --> 00:00:55.600]  我一聽到的時候
[00:00:55.600 --> 00:00:58.600]  他說:真的嗎?你開玩笑還是說真的?
[00:00:58.600 --> 00:01:00.600]  我們就很關心
[00:01:00.600 --> 00:01:02.600]  不是很關心他的安危
[00:01:02.600 --> 00:01:05.600]  而是很關心教會當時會怎樣
[00:01:05.600 --> 00:01:08.600]  他說:當然是主任牧師去處理
[00:01:08.600 --> 00:01:12.600]  我一聽到就覺得很害怕
[00:01:12.600 --> 00:01:14.600]  然後就會想
[00:01:14.600 --> 00:01:16.600]  自己會不會也不記得呢?
[00:01:16.600 --> 00:01:20.600]  將來會不會忘記自己要去港獨呢?
[00:01:20.600 --> 00:01:23.600]  有些事情忘記了很嚴重
[00:01:23.600 --> 00:01:25.600]  例如你約了人忘記了
[00:01:25.600 --> 00:01:27.600]  都很嚴重
[00:01:27.600 --> 00:01:31.600]  假設你忘記了一些很重要的紀念日
[00:01:31.600 --> 00:01:33.600]  都是很嚴重的事情
[00:01:33.600 --> 00:01:35.600]  如果你幻想一下
[00:01:35.600 --> 00:01:37.600]  當你去旅行的時候
[00:01:37.600 --> 00:01:38.600]  你去搭飛機
[00:01:38.600 --> 00:01:40.600]  你忘記帶什麼?
[00:01:40.600 --> 00:01:42.600]  護照!馬上迎記
[00:01:42.600 --> 00:01:44.600]  試過是嗎?
[00:01:44.600 --> 00:01:46.600]  沒有試過,感謝主
[00:01:46.600 --> 00:01:49.600]  其實我們不記得一些事情
[00:01:49.600 --> 00:01:51.600]  其實都很影響我們
[00:01:51.600 --> 00:01:58.600]  我又聽過一個弟兄跟我說
[00:01:58.600 --> 00:02:01.600]  他記性很好
[00:02:01.600 --> 00:02:03.600]  我說:你很好,你記性很好
[00:02:03.600 --> 00:02:05.600]  我經常都忘記一些事情
[00:02:05.600 --> 00:02:08.600]  他就說:其實經常忘記一些事情
[00:02:08.600 --> 00:02:10.600]  或者忘記太多的事情
[00:02:10.600 --> 00:02:13.600]  其實都不是很開心
[00:02:13.600 --> 00:02:15.600]  不知道大家有沒有一些事情
[00:02:15.600 --> 00:02:17.600]  你是常常記住
[00:02:17.600 --> 00:02:20.600]  但是其實是令你不開心
[00:02:20.600 --> 00:02:23.600]  今天要講的題目是
[00:02:23.600 --> 00:02:25.600]  記得忘記
[00:02:25.600 --> 00:02:28.600]  在以賽亞書43章22到28節
[00:02:28.600 --> 00:02:30.600]  和44章21到22節
[00:02:30.600 --> 00:02:33.600]  其實如果你有印象
[00:02:33.600 --> 00:02:35.600]  我之前講到
[00:02:35.600 --> 00:02:37.600]  都是在以賽亞書43章
[00:02:37.600 --> 00:02:42.600]  上次講做新的事情
