
[00:00:00.000 --> 00:00:02.800]  施哥說到我們不知道明天如何
[00:00:02.800 --> 00:00:05.600]  但是我們知道誰掌管明天
[00:00:05.600 --> 00:00:08.300]  其實我們確實不知道明天會發生什麼事
[00:00:08.300 --> 00:00:09.400]  但感恩我們有主
[00:00:09.400 --> 00:00:12.200]  我們可否用掌聲感謝我們的上帝
[00:00:12.200 --> 00:00:17.200]  讓我們感恩今天能夠在禮堂中一起敬拜主
[00:00:17.200 --> 00:00:19.600]  的確不是必然的事
[00:00:19.600 --> 00:00:25.300]  首先我也很想代表教會歡迎第一次來到我們當中的新朋友
[00:00:25.300 --> 00:00:28.500]  如果你是第一次來到我們恩福堂去敬拜主
[00:00:28.500 --> 00:00:31.200]  第一次的話也很想你站起來
[00:00:31.200 --> 00:00:33.400]  讓我們用掌聲歡迎你
[00:00:33.400 --> 00:00:35.900]  不知道有沒有第一次來到我們恩福堂
[00:00:35.900 --> 00:00:37.700]  前面有兩位
[00:00:37.700 --> 00:00:42.600]  另外上面也有沒有呢?
[00:00:42.600 --> 00:00:46.800]  我們的施士會派一個禮物包給你們
[00:00:46.800 --> 00:00:49.000]  裡面也有一些教會的資料
[00:00:49.000 --> 00:00:50.400]  還有一個留名表
[00:00:50.400 --> 00:00:51.900]  鼓勵你也可以填寫
[00:00:51.900 --> 00:00:54.500]  完成之後我們一樓的禮堂
[00:00:54.500 --> 00:00:56.700]  就會有一個來賓服務處
[00:00:56.700 --> 00:01:00.000]  你也可以查詢教會有關的資料
[00:01:00.000 --> 00:01:04.500]  上個月城中有一個電視台的節目
[00:01:04.500 --> 00:01:08.400]  是講中年人去追夢的
[00:01:08.400 --> 00:01:09.900]  是一個真人秀
[00:01:09.900 --> 00:01:11.800]  這個秀另外吸引人的地方
[00:01:11.800 --> 00:01:15.000]  是因為唱了很多80年代的金曲
[00:01:15.000 --> 00:01:18.200]  梅艷芳或者世大癲王
[00:01:18.200 --> 00:01:21.000]  都是陪著我們成長的
[00:01:21.000 --> 00:01:24.200]  其實這個真人秀對於我來說
[00:01:24.200 --> 00:01:26.200]  我也挺喜歡去看的
[00:01:26.200 --> 00:01:29.600]  原因是因為我也很喜歡80年代的金曲
[00:01:29.600 --> 00:01:32.100]  當時我也買了很多黑膠唱片
[00:01:32.100 --> 00:01:33.600]  不過這個電視台舉辦
[00:01:33.600 --> 00:01:35.600]  其實我一般般有興趣
[00:01:35.600 --> 00:01:38.100]  不過我老婆Erica她喜歡看
[00:01:38.100 --> 00:01:39.900]  所以我就陪她一起看
[00:01:39.900 --> 00:01:42.000]  她喜歡看的原因是因為覺得
[00:01:42.000 --> 00:01:44.600]  當中的評判去評論那首歌
[00:01:44.600 --> 00:01:46.000]  或者歌手的時候
[00:01:46.000 --> 00:01:48.200]  她發覺也很適合我們說的
[00:01:48.200 --> 00:01:50.200]  要咬字要清晰
[00:01:50.200 --> 00:01:51.800]  或者她傳送那首歌的時候
[00:01:51.800 --> 00:01:53.900]  要跟會眾聯繫得到
[00:01:53.900 --> 00:01:55.600]  有時候咬字其實不清晰
[00:01:55.600 --> 00:01:57.200]  大家都很清楚
[00:01:57.200 --> 00:01:59.400]  所以因為這個原因
[00:01:59.400 --> 00:02:04.200]  我們就看這套中年叫做
[00:02:04.200 --> 00:02:05.600]  叫做什麼
[00:02:05.600 --> 00:02:06.600]  好聲音
[00:02:06.600 --> 00:02:09.200]  這套真人秀
[00:02:09.200 --> 00:02:10.600]  其實很多人都覺得
[00:02:10.600 --> 00:02:12.400]  Erica經常說退休
[00:02:12.400 --> 00:02:14.400]  說零收
[00:02:14.400 --> 00:02:18.600]  覺得她好像不吃人間煙火
[00:02:18.600 --> 00:02:22.200]  但其實她的確有一個很落地的一面
[00:02:22.200 --> 00:02:25.400]  上個月這個節目真人秀
[00:02:25.400 --> 00:02:27.400]  成為城中熱話
[00:02:27.400 --> 00:02:31.000]  原因是因為賽果實在太出人意外
[00:02:31.000 --> 00:02:32.600]  太峰迴路轉
[00:02:32.600 --> 00:02:35.400]  一個原本差不多被淘汰的參賽者
[00:02:35.400 --> 00:02:38.200]  一直唱的時候其實他也是平平無奇
[00:02:38.200 --> 00:02:42.400]  但去到最後居然贏了兩個大熱門
[00:02:42.400 --> 00:02:44.800]  有些人覺得其實是不是造馬的
[00:02:44.800 --> 00:02:46.400]  在於我和Erica來看
[00:02:46.400 --> 00:02:48.000]  其實不是造馬的
[00:02:48.000 --> 00:02:50.400]  主要是因為那兩個大熱門所選的歌
[00:02:50.400 --> 00:02:52.000]  的確不是那麼好
[00:02:52.000 --> 00:02:53.600]  以致到他發揮不到
[00:02:53.600 --> 00:02:55.000]  唱到水準出來
[00:02:55.000 --> 00:02:56.200]  而贏了那個
[00:02:56.200 --> 00:02:57.800]  即是原本被淘汰的那個
[00:02:57.800 --> 00:02:59.400]  他選的歌又不錯
[00:02:59.400 --> 00:03:01.200]  因為這個緣故
[00:03:01.200 --> 00:03:02.800]  他本來是由最低的
[00:03:02.800 --> 00:03:04.800]  升為最高的
[00:03:04.800 --> 00:03:06.600]  成為了冠軍
[00:03:06.600 --> 00:03:09.600]  甚至乎其實今天我要說的聖經人物
[00:03:09.600 --> 00:03:12.600]  和這個歌手都挺像的
[00:03:12.600 --> 00:03:16.600]  這個節目是說中年人去追夢的
