
[00:00:00.000 --> 00:00:03.000]  鼎姐妹主內平安
[00:00:03.000 --> 00:00:10.000]  我想邀請大家再一次有一個熱烈從心而來的掌聲
[00:00:10.000 --> 00:00:14.000]  多謝敬拜隊帶我們去親近神
[00:00:14.000 --> 00:00:20.000]  藉著詩歌能夠更加和神建立更深的關係
[00:00:20.000 --> 00:00:26.000]  我也想用剛才一開始用的方式
[00:00:26.000 --> 00:00:32.000]  今天是2月14日 一個情人的日子
[00:00:32.000 --> 00:00:37.000]  如果我想邀請大家思想一個圖案一個圖像
[00:00:37.000 --> 00:00:42.000]  你會想一想什麼圖像去代表今天呢
[00:00:42.000 --> 00:00:49.000]  我們也很接近 我也想了一個心形
[00:00:49.000 --> 00:00:55.000]  一個雄心 代表今天2月14日情人節
[00:00:55.000 --> 00:00:57.000]  我想對很多人來說
[00:00:57.000 --> 00:01:02.000]  這一天是代表著愛 付出和心意
[00:01:02.000 --> 00:01:06.000]  很想拉上和我們重視的人的關係
[00:01:06.000 --> 00:01:08.000]  有人可能會送花
[00:01:08.000 --> 00:01:11.000]  可能你已經預備好禮物
[00:01:11.000 --> 00:01:13.000]  或者好像剛才說
[00:01:13.000 --> 00:01:18.000]  要安排了今天或今晚一些美好的時間
[00:01:18.000 --> 00:01:20.000]  一些約會的時間
[00:01:20.000 --> 00:01:25.000]  用行動去告訴對方
[00:01:25.000 --> 00:01:29.000]  我是在乎你的
[00:01:29.000 --> 00:01:34.000]  但我很想問一個可能有點不浪漫
[00:01:34.000 --> 00:01:39.000]  但也有機會是一個很真實的問題
[00:01:39.000 --> 00:01:46.000]  付出多 是不是代表心一定是靠近的呢
[00:01:46.000 --> 00:01:51.000]  可能你曾經試過為了一段關係付出很多
[00:01:51.000 --> 00:01:55.000]  但心裡總是有一份距離感
[00:01:55.000 --> 00:01:57.000]  好像親近不來
[00:01:57.000 --> 00:02:01.000]  你做了很多你認為你應該做的一切
[00:02:01.000 --> 00:02:05.000]  但關係沒有因為這樣而變得親密
[00:02:05.000 --> 00:02:08.000]  原來付出和親近
[00:02:08.000 --> 00:02:12.000]  可以未必是同一回事
[00:02:12.000 --> 00:02:16.000]  今天我們會看烈王記上第六章和第七章的經文
[00:02:16.000 --> 00:02:18.000]  會讀到一個很熟悉
[00:02:18.000 --> 00:02:23.000]  但很容易被忽略的故事和記載
[00:02:23.000 --> 00:02:28.000]  所羅門王為了神去建造一座極其宏偉的聖殿
[00:02:28.000 --> 00:02:32.000]  用上了當代最好的材料和最多的心思
[00:02:32.000 --> 00:02:35.000]  但正正就是在這個故事裡
[00:02:35.000 --> 00:02:39.000]  向我們提出一個反思的提醒
[00:02:39.000 --> 00:02:42.000]  原來有時候付出多
[00:02:42.000 --> 00:02:48.000]  未必等同於可以走得近
[00:02:48.000 --> 00:02:50.000]  在我們轉入經文之前
[00:02:50.000 --> 00:02:56.000]  我們一起同心同意
[00:02:56.000 --> 00:02:58.000]  神啊感謝你
[00:02:58.000 --> 00:03:02.000]  在今天下一個日子
[00:03:02.000 --> 00:03:04.000]  一個有意義的日子裡
[00:03:04.000 --> 00:03:09.000]  讓我們一群弟兄姊妹聚集在你的聖殿
[00:03:09.000 --> 00:03:13.000]  主啊我們求你去祈求去仰望你
[00:03:13.000 --> 00:03:17.000]  幫助我們透過今天你的說話
[00:03:17.000 --> 00:03:25.000]  可以回應和神並在你所愛的人建立更深的關係
[00:03:25.000 --> 00:03:29.000]  主聖靈啊求你運行在這個殿中
[00:03:29.000 --> 00:03:31.000]  去感動我們
[00:03:31.000 --> 00:03:36.000]  去讓我們更能夠去回應神你的愛
[00:03:36.000 --> 00:03:38.000]  我們同心合意的禱告
[00:03:38.000 --> 00:03:40.000]  是奉求主的獨特性的名字
[00:03:40.000 --> 00:03:42.000]  阿們
[00:04:01.000 --> 00:04:08.000]  第四年西伐月
[00:04:08.000 --> 00:04:10.000]  就是二月
[00:04:10.000 --> 00:04:13.000]  他開工建造耶和華的殿
[00:04:13.000 --> 00:04:16.000]  所羅門王為耶和華所建的殿
[00:04:16.000 --> 00:04:18.000]  長六十爪
[00:04:18.000 --> 00:04:19.000]  闊二十爪
[00:04:19.000 --> 00:04:21.000]  高三十爪
[00:04:21.000 --> 00:04:25.000]  殿的正堂前走廊長二十爪
