
[00:00:00.000 --> 00:00:02.000]  我們也給點掌聲我們敬拜隊
[00:00:02.000 --> 00:00:06.000]  (掌聲)
[00:00:06.000 --> 00:00:09.000]  很貼切 今天的主題
[00:00:09.000 --> 00:00:11.000]  很多首詩歌將你帶到神的面前
[00:00:11.000 --> 00:00:13.000]  各位姐妹早安
[00:00:13.000 --> 00:00:15.000]  我們一起聽到之先
[00:00:15.000 --> 00:00:17.000]  一同有個禱告
[00:00:17.000 --> 00:00:20.000]  慈愛天父我們感謝你
[00:00:20.000 --> 00:00:24.000]  朝聚我們聽神祢自己的話
[00:00:24.000 --> 00:00:26.000]  求祢開我們的眼睛
[00:00:26.000 --> 00:00:28.000]  讓我們今天能夠看到神
[00:00:28.000 --> 00:00:30.000]  祢給我們幕後的曙光
[00:00:30.000 --> 00:00:33.000]  照亮我們現在一切的黑暗
[00:00:33.000 --> 00:00:35.000]  祈禱奉主名求 阿們
[00:00:35.000 --> 00:00:39.000]  大家不知道有沒有聽過
[00:00:39.000 --> 00:00:41.000]  或者一定聽過
[00:00:41.000 --> 00:00:43.000]  有沒有說過今天不知道明天的事
[00:00:43.000 --> 00:00:46.000]  有 那下一句呢
[00:00:46.000 --> 00:00:48.000]  下一句我在Facebook
[00:00:48.000 --> 00:00:50.000]  有人這樣說
[00:00:50.000 --> 00:00:52.000]  帶著荷包去旅行
[00:00:52.000 --> 00:00:55.000]  今朝有酒今朝醉
[00:00:55.000 --> 00:00:57.000]  這句話的意思就是
[00:00:57.000 --> 00:00:59.000]  不要想太多
[00:00:59.000 --> 00:01:01.000]  明天都不知道發生什麼事
[00:01:01.000 --> 00:01:04.000]  最重要活在當下
[00:01:04.000 --> 00:01:06.000]  我發現自己近來
[00:01:06.000 --> 00:01:08.000]  都是因為世界的黑暗
[00:01:08.000 --> 00:01:10.000]  令到我
[00:01:10.000 --> 00:01:12.000]  很不想看到將來
[00:01:12.000 --> 00:01:14.000]  很不想想到將來
[00:01:14.000 --> 00:01:16.000]  我的女兒就告訴我
[00:01:16.000 --> 00:01:18.000]  她同學在外國讀書
[00:01:18.000 --> 00:01:22.000]  她說大學宿舍沒有男女之分
[00:01:22.000 --> 00:01:24.000]  連浴室都沒有
[00:01:24.000 --> 00:01:26.000]  有些女同學
[00:01:26.000 --> 00:01:29.000]  和十幾個男生發生性關係
[00:01:29.000 --> 00:01:31.000]  甚至要墮胎
[00:01:31.000 --> 00:01:34.000]  她說她有幾個同學在外地
[00:01:34.000 --> 00:01:36.000]  都聽到這些消息
[00:01:36.000 --> 00:01:38.000]  她說她很多同學
[00:01:38.000 --> 00:01:40.000]  都是雙性戀
[00:01:40.000 --> 00:01:42.000]  是非常普遍
[00:01:42.000 --> 00:01:44.000]  基督徒的家庭都有
[00:01:44.000 --> 00:01:46.000]  最近我又看到
[00:01:46.000 --> 00:01:48.000]  台灣的同志運動
[00:01:48.000 --> 00:01:50.000]  有人舉起這張牌
[00:01:52.000 --> 00:01:54.000]  真的嚇我一跳
[00:01:54.000 --> 00:01:57.000]  兄妹都要爭取結婚的權利
[00:01:57.000 --> 00:02:01.000]  現在的新一代的性觀念
