
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹 各位朋友 主來平安
[00:00:07.000 --> 00:00:16.000]  路見不平 你會怎樣?
[00:00:16.000 --> 00:00:22.000]  在傳統的戲曲或小說中 往往都有以下情節
[00:00:22.000 --> 00:00:30.000]  孱弱的書生偶然遇上千金小姐 彼此一見鍾情
[00:00:30.000 --> 00:00:34.000]  但跟住有流氓走出來調戲小姐
[00:00:34.000 --> 00:00:42.000]  孱弱的書生當然是上前理論 被流氓打得頭破血流
[00:00:42.000 --> 00:00:49.000]  反而是由丫鬟及小姐去營救可憐的書生
[00:00:49.000 --> 00:00:55.000]  見義勇為 其實都要自慰
[00:00:55.000 --> 00:01:00.000]  智仁勇 是我們中國人傳統追求的目標
[00:01:00.000 --> 00:01:07.000]  詩篇三十七章教導我們 如何面對惡人惡事
[00:01:07.000 --> 00:01:13.000]  倘若小人當道的時候 我們應該如何自處
[00:01:13.000 --> 00:01:20.000]  今早宣講神話語之詩 讓我們同心禱告
[00:01:20.000 --> 00:01:26.000]  慈愛的天父 藉著詩篇的經文 求你教導我們
[00:01:26.000 --> 00:01:29.000]  如何去過智慧的人生
[00:01:29.000 --> 00:01:35.000]  每一日享受神你所賜的靈良 珍惜你賜給我們的生命
[00:01:35.000 --> 00:01:40.000]  每日以喜樂的心 享受神你賜給我們的福份
[00:01:40.000 --> 00:01:45.000]  不要虛度光陰 好好把握我們的份
[00:01:45.000 --> 00:01:50.000]  倚靠耶和華而行善 以祂的信實為糧
[00:01:50.000 --> 00:01:55.000]  求你引領我們實踐你的話語 以上不完全的禱告
[00:01:55.000 --> 00:02:00.000]  奉主耶穌基督得聖命至祈求 阿們
[00:02:00.000 --> 00:02:08.000]  我們中國人的傳統 對於詩 詞 允文 文學
[00:02:08.000 --> 00:02:14.000]  素來很重視 亦是我們精神生活很重要的一部份
[00:02:14.000 --> 00:02:19.000]  1800年前 曹操在赤壁之戰的前夕
[00:02:19.000 --> 00:02:25.000]  在戰船上寫下了千古傳頌的短歌行
[00:02:25.000 --> 00:02:29.000]  對奏當歌 人生幾何
[00:02:29.000 --> 00:02:33.000]  當時的手下 説「成相大戰前夕」
[00:02:33.000 --> 00:02:36.000]  為何說這些不利的話
[00:02:36.000 --> 00:02:42.000]  在清朝的大貪官和珅 在死刑執行之前
[00:02:42.000 --> 00:02:47.000]  最後要做的事 竟然是寫詩
[00:02:47.000 --> 00:02:50.000]  他最後兩句的絕命詩
[00:02:50.000 --> 00:02:56.000]  他朝水泛含濃日 迎取香煙侍候身
[00:02:56.000 --> 00:02:59.000]  其實寫得很有水準
[00:02:59.000 --> 00:03:03.000]  你想想 大梟雄 大貪官
[00:03:03.000 --> 00:03:09.000]  在刀劍和金錢之外 原來都有很典雅的一面
[00:03:09.000 --> 00:03:15.000]  但是現在的中國人漸漸欠缺了這一份優雅
[00:03:15.000 --> 00:03:20.000]  大學校園竟然有時聽到也會有噪口
[00:03:20.000 --> 00:03:25.000]  在一間教會裏面 都懸掛了這一幅對聯
[00:03:25.000 --> 00:03:31.000]  道與上帝同在 風隨意詩而吹
[00:03:31.000 --> 00:03:33.000]  寫得很文雅
[00:03:33.000 --> 00:03:36.000]  今早以神的詩歌來正道
[00:03:36.000 --> 00:03:39.000]  相信可以淨化你的心靈
[00:03:39.000 --> 00:03:44.000]  朗讀詩歌 可以令你容光煥發
[00:03:44.000 --> 00:03:48.000]  是屬靈最好的化妝品
[00:03:48.000 --> 00:03:53.000]  讀詩 背下詩句 可以令你言談有氣質
[00:03:53.000 --> 00:03:58.000]  所以一會兒不妨試一試
[00:03:58.000 --> 00:04:04.000]  人畢竟是不斷追求正義之事來主持公道
[00:04:04.000 --> 00:04:07.000]  那誰是正義之士呢?
[00:04:07.000 --> 00:04:10.000]  我們應該找誰呢?
[00:04:10.000 --> 00:04:14.000]  詩篇充滿了神掌權的氣息
