
[00:00:00.000 --> 00:00:09.000]  今天很高興可以在聖殿裡跟大家一同去歐歌頌讚榮耀歸比神
[00:00:09.000 --> 00:00:17.000]  接下來我會跟大家分享今天跟大家分享的訊息
[00:00:17.000 --> 00:00:28.000]  今天跟大家分享的經文是記載在詩篇第二篇
[00:00:29.000 --> 00:00:34.000]  我們的題目叫作「作有福的人」
[00:00:34.000 --> 00:00:40.000]  經文這樣記載
[00:00:40.000 --> 00:00:45.000]  或者我們可以慢慢讀完六字的經文
[00:00:45.000 --> 00:00:47.000]  好 開始
[00:00:47.000 --> 00:00:50.000]  不從惡人的計謀
[00:00:50.000 --> 00:00:53.000]  不暫聚人的道路
[00:00:53.000 --> 00:00:56.000]  不助洩萬人的座位
[00:00:56.000 --> 00:00:59.000]  惟豈愛爺和華的律法
[00:00:59.000 --> 00:01:01.000]  就爺思想
[00:01:01.000 --> 00:01:03.000]  者人便為有福
[00:01:03.000 --> 00:01:08.000]  他要像一棵樹栽在溪水旁
[00:01:08.000 --> 00:01:10.000]  按時候結果指
[00:01:10.000 --> 00:01:13.000]  葉子也不枯乾
[00:01:13.000 --> 00:01:17.000]  凡他所作的盡都順利
[00:01:17.000 --> 00:01:20.000]  惡人並不是這樣
[00:01:20.000 --> 00:01:23.000]  乃像康披被風吹散
[00:01:23.000 --> 00:01:26.000]  因此當審判的時候
[00:01:26.000 --> 00:01:29.000]  惡人必暫立不住
[00:01:29.000 --> 00:01:34.000]  眾人在二人的會中也是如此
[00:01:34.000 --> 00:01:38.000]  因爲爺和華知道二人的道路
[00:01:38.000 --> 00:01:41.000]  惡人的道路卻必滅亡
[00:01:41.000 --> 00:01:43.000]  謝謝
[00:01:43.000 --> 00:01:48.000]  詩篇收有150篇的詩歌
[00:01:48.000 --> 00:01:52.000]  是分為五卷
[00:01:52.000 --> 00:01:55.000]  詩篇本身分開五卷
[00:01:55.000 --> 00:02:00.000]  每卷都有它的分類
[00:02:00.000 --> 00:02:04.000]  主要的內容多數是提及
[00:02:04.000 --> 00:02:09.000]  禱告、讚美、感恩
[00:02:09.000 --> 00:02:12.000]  從九月份開始
[00:02:12.000 --> 00:02:16.000]  周六早堂崇拜我們的同工團隊
[00:02:16.000 --> 00:02:19.000]  主要和大家分享的訊息
[00:02:19.000 --> 00:02:22.000]  環繞著詩篇
[00:02:22.000 --> 00:02:24.000]  相信大家還記得
[00:02:24.000 --> 00:02:27.000]  九月份剛剛過了兩個星期
[00:02:27.000 --> 00:02:29.000]  包括有紫金牧師
[00:02:29.000 --> 00:02:32.000]  和我們透過詩篇27篇去看
[00:02:32.000 --> 00:02:36.000]  患難中我們如何去見信這位神
[00:02:36.000 --> 00:02:37.000]  上個星期
[00:02:37.000 --> 00:02:39.000]  黃子祥傳道和大家
[00:02:39.000 --> 00:02:42.000]  透過詩篇37篇
[00:02:42.000 --> 00:02:45.000]  37篇是一篇自慰篇
[00:02:45.000 --> 00:02:47.000]  題目定為
[00:02:47.000 --> 00:02:52.000]  「賞是佛惡盡在神的手中」
[00:02:52.000 --> 00:02:56.000]  相信大家或多或少還記得
[00:02:56.000 --> 00:03:00.000]  如果我們仔細再分
[00:03:00.000 --> 00:03:05.000]  其實可以將這150篇的詩篇
[00:03:05.000 --> 00:03:11.000]  再分為讚美詩、登記詩、帝王詩
[00:03:11.000 --> 00:03:16.000]  群眾感恩的詩、個人的感恩詩
[00:03:16.000 --> 00:03:19.000]  群眾的哀歌、個人的哀歌
[00:03:19.000 --> 00:03:24.000]  祝福詩和自慰篇
[00:03:24.000 --> 00:03:25.000]  無論如何
[00:03:25.000 --> 00:03:32.000]  這麼多的詩都有不同的分類
[00:03:32.000 --> 00:03:35.000]  相信大家都會認同
[00:03:35.000 --> 00:03:37.000]  詩篇是一本我們稱為
[00:03:37.000 --> 00:03:43.000]  進到聖殿或教會敬拜用的詩集
[00:03:43.000 --> 00:03:45.000]  昔日神的子民
[00:03:45.000 --> 00:03:50.000]  透過這些詩篇去唱出來
[00:03:50.000 --> 00:03:53.000]  既然是一本敬拜用的詩集
[00:03:53.000 --> 00:03:58.000]  一般都是以讚美、感恩、祈禱的詩
[00:03:58.000 --> 00:04:00.000]  來做開頭
[00:04:00.000 --> 00:04:04.000]  但今天我和大家選了的詩篇第一篇
[00:04:04.000 --> 00:04:11.000]  和上星期紫祥傳道所選的37篇
[00:04:11.000 --> 00:04:16.000]  都同列為自慰詩
[00:04:16.000 --> 00:04:17.000]  既然放在第一篇
[00:04:17.000 --> 00:04:20.000]  一定有它重要之處
[00:04:20.000 --> 00:04:21.000]  是提醒我們
[00:04:21.000 --> 00:04:26.000]  要有智慧作出一個人正確的抉擇
[00:04:26.000 --> 00:04:33.000]  為何要讓自慰詩作為整卷詩篇的開頭呢?
[00:04:33.000 --> 00:04:35.000]  剛才大家都讀過了
[00:04:35.000 --> 00:04:37.000]  第二節
[00:04:37.000 --> 00:04:41.000]  在詩篇第一篇第二節裡說
[00:04:41.000 --> 00:04:44.000]  惟豈我耶和華的律法
[00:04:44.000 --> 00:04:46.000]  晝夜思賞
[00:04:46.000 --> 00:04:49.000]  者人便為有福
[00:04:49.000 --> 00:04:56.000]  「者人便為有福」其實按照原文的擺位
[00:04:56.000 --> 00:04:59.000]  和我們中文聖經的擺法不一樣
[00:04:59.000 --> 00:05:03.000]  我們中文聖經就放在第二節的下面
[00:05:03.000 --> 00:05:05.000]  「者人便為有福」
[00:05:05.000 --> 00:05:08.000]  但原文的聖經和英文的聖經
[00:05:08.000 --> 00:05:12.000]  卻是放在詩篇第一篇的開始那句
[00:05:12.000 --> 00:05:13.000]  換言之
