
[00:00:00.000 --> 00:00:04.900]  實體的講道對我來說真的很重要,有溫度的講道很重要,
[00:00:04.900 --> 00:00:08.900]  和你和你弟子節目一起實體去敬拜神都是很重要,
[00:00:08.900 --> 00:00:15.900]  幾個月在家,在你自己的地方,透過上網去聽道,一起去敬拜神,都是好的,
[00:00:15.900 --> 00:00:21.900]  但我仍然都覺得實體彼此一起有溫度的敬拜,心裏面是很感動,
[00:00:21.900 --> 00:00:25.900]  和你旁邊那個講,告訴他很開心和你一起敬拜主,
[00:00:27.000 --> 00:00:31.900]  可不可以加多一句,和他說仍然紀念那些回不來的,
[00:00:31.900 --> 00:00:36.900]  都真的,我認識那些回不來的,都繼續為他們祈禱,
[00:00:36.900 --> 00:00:42.900]  希望我們能夠盡早的,不受疫情的影響,能夠回到教會裏面一起去崇拜,
[00:00:42.900 --> 00:00:46.900]  這個很重要,很開心和大家一起分享神的話,
[00:00:46.900 --> 00:00:52.900]  對我來說,講道其實不單是和一個群體或者和一個會眾去講道,
[00:00:53.000 --> 00:00:57.900]  其實都是和自己講,都是神的話,都是和我自己,
[00:00:57.900 --> 00:01:01.900]  讓我自己的生命做一次在神面前藉著自己的話去鼓勵我,
[00:01:01.900 --> 00:01:08.900]  當然,講道亦都是一個群體去聽神的話,或者讓自己說話在中間工作的時間,
[00:01:08.900 --> 00:01:14.900]  盼望你坐在這裏聽道的時候,內心裏面都有這樣的祈禱,或者這樣的呼求,
[00:01:14.900 --> 00:01:19.900]  就是求聖靈幫助你去明白真理,明白真理背後其實很想生命改變,
[00:01:20.000 --> 00:01:24.900]  很想生命更加像基督,很想生命能夠在生活上,
[00:01:24.900 --> 00:01:28.900]  完了崇拜被差遣之後,在地上去見證基督,
[00:01:28.900 --> 00:01:33.900]  這個都是一個很重要,我們回來集體崇拜的其中一個很重要的使命,
[00:01:33.900 --> 00:01:39.900]  今日和大家分享一個題目,Price,一個價錢,一個問號,講詩篇第八篇,
[00:01:39.900 --> 00:01:44.900]  當然,你有看到大綱,你收到WhatsApp你就知道,我今日和大家講一下,
[00:01:45.000 --> 00:01:52.900]  在詩篇裏面,我們怎樣去看待我們的生命,究竟有些什麼,我們的價值有些什麼要學習,
[00:01:52.900 --> 00:01:57.900]  或者應該要掌握和知道的東西,這個是非常重要的,
[00:01:57.900 --> 00:02:03.900]  怎樣定一個價值,或者怎樣去定價呢?我不知道你們怎樣看,
[00:02:03.900 --> 00:02:11.900]  有些歷史這樣說,人類出現了貨幣,即是有貨幣有錢去交易的這個時間裏面,
[00:02:12.000 --> 00:02:15.900]  其實某程度上是源於一個很早的歷史,一個什麼歷史呢?
[00:02:15.900 --> 00:02:20.900]  就是一個以物易物的歷史,有沒有讀過書?這個是什麼年級的讀書器?
[00:02:20.900 --> 00:02:25.900]  我都忘記了,因為我讀過通常都是初中以下,因為我記得到,
[00:02:25.900 --> 00:02:30.900]  因為我初中以上都沒有讀過,我記得當寫了資料的時候,
[00:02:30.900 --> 00:02:38.900]  原來當人透過貨幣去換取一些東西的時候,其實是源於一個很早年,
[00:02:39.000 --> 00:02:45.900]  古時的以物易物的一個過程,一個時段,可能你會估計都想到,
[00:02:45.900 --> 00:02:49.900]  以物易物是說當我有一件物品,或者買一樣東西,
[00:02:49.900 --> 00:02:53.900]  很想和你去交換,而那一樣東西是我沒有的,
[00:02:53.900 --> 00:02:58.900]  古時他們會這樣想,當我有隻羊,我就很想和你去交換一些我沒有的,
