
[00:00:00.000 --> 00:00:02.000]  我們一起先祈禱吧
[00:00:02.000 --> 00:00:06.200]  主耶穌多謝祢
[00:00:06.200 --> 00:00:07.600]  祢給我們的憐憫
[00:00:07.600 --> 00:00:09.300]  讓我們今天可以
[00:00:09.300 --> 00:00:12.600]  輕易在祢面前去敬拜祢
[00:00:12.600 --> 00:00:15.800]  求祢讓我們完全信服祢的心
[00:00:15.800 --> 00:00:17.600]  去聆聽祢的話
[00:00:17.600 --> 00:00:18.900]  教導我們
[00:00:18.900 --> 00:00:20.300]  以祢的心腸
[00:00:20.300 --> 00:00:23.000]  來傳講福音
[00:00:23.000 --> 00:00:27.500]  讓救恩成為我們生命的訊息和詩歌
[00:00:27.800 --> 00:00:30.000]  大靈今天聽道時間
[00:00:30.000 --> 00:00:31.400]  祈禱交託仰望
[00:00:31.400 --> 00:00:33.400]  是奉主耶穌名字而求
[00:00:33.400 --> 00:00:34.200]  阿們
[00:00:34.200 --> 00:00:38.200]  前一段時間
[00:00:38.200 --> 00:00:40.500]  我身邊有一位團友
[00:00:40.500 --> 00:00:45.400]  他在公司遇到一件很不公義的事情
[00:00:45.400 --> 00:00:49.000]  在這件不公義的事情上
[00:00:49.000 --> 00:00:52.800]  雖然最後被揭發了
[00:00:52.800 --> 00:00:56.200]  不過後續的跟進過程
[00:00:56.500 --> 00:00:59.700]  就讓他見到更多令人氣憤
[00:00:59.700 --> 00:01:02.700]  和更不公義的處理手法
[00:01:02.700 --> 00:01:05.100]  在這件事上
[00:01:05.100 --> 00:01:07.600]  他身邊很多知情的同事
[00:01:07.600 --> 00:01:10.800]  都因為這件事而出現情緒困擾
[00:01:10.800 --> 00:01:13.200]  當然包括我這個團友
[00:01:13.200 --> 00:01:16.400]  我每次跟他聊天祈禱的時候
[00:01:16.400 --> 00:01:19.000]  都見到他講到淚流滿面
[00:01:19.000 --> 00:01:22.200]  其實他這次遇到的事情
[00:01:22.200 --> 00:01:24.700]  只是他平日在公司裡面
[00:01:24.700 --> 00:01:26.800]  遇到的其中一件事
[00:01:26.800 --> 00:01:29.600]  我其實真的很擔心他
[00:01:29.600 --> 00:01:32.900]  遲早會有精神崩潰的情況
[00:01:32.900 --> 00:01:34.700]  各位姐妹
[00:01:34.700 --> 00:01:36.900]  不知道你們有沒有發覺
[00:01:36.900 --> 00:01:40.000]  最近連電影的題材
[00:01:40.000 --> 00:01:43.700]  都不斷將社會上不公義的事情
[00:01:43.700 --> 00:01:45.200]  拍成電影
[00:01:45.200 --> 00:01:48.400]  這些會不會是很多人心裡
[00:01:48.400 --> 00:01:50.800]  對世界不公義的吶喊呢
[00:01:50.800 --> 00:01:53.600]  面對每況愈下
[00:01:54.100 --> 00:01:56.400]  公義似乎蕩然無存
[00:01:56.400 --> 00:02:01.200]  你有沒有對神的公義有所質疑呢
[00:02:01.200 --> 00:02:04.000]  神是公義的
[00:02:04.000 --> 00:02:05.800]  這一句真理
[00:02:05.800 --> 00:02:08.100]  難道真的要等到主在來
[00:02:08.100 --> 00:02:09.400]  才可以實現
