
[00:00:00.000 --> 00:00:02.240]  五安,大英姐妹
[00:00:02.240 --> 00:00:05.520]  多謝敬拜隊帶領我們一起讚美上帝
[00:00:05.520 --> 00:00:08.320]  我想越艱難的時候
[00:00:08.320 --> 00:00:10.840]  環境越多阻礙的時候
[00:00:10.840 --> 00:00:13.560]  我們要讚美上帝
[00:00:13.560 --> 00:00:15.960]  要說上帝是我們的滿足
[00:00:15.960 --> 00:00:17.080]  我覺得是不容易的
[00:00:17.080 --> 00:00:21.120]  不過原來我們一起敬拜上帝
[00:00:21.120 --> 00:00:24.600]  一起開口宣認這就是我們上帝
[00:00:24.600 --> 00:00:26.200]  我想我們的信心就是
[00:00:26.200 --> 00:00:28.840]  因著我們的宣告而建立出來
[00:00:28.840 --> 00:00:29.880]  多謝敬拜隊
[00:00:29.880 --> 00:00:31.880]  帶領我們一起讚美上帝
[00:00:31.880 --> 00:00:36.000]  進入今天講道的時間
[00:00:36.000 --> 00:00:38.600]  講題是這樣的
[00:00:38.600 --> 00:00:41.200]  我好像寫錯字
[00:00:41.200 --> 00:00:42.800]  「離」字好像不是這樣
[00:00:42.800 --> 00:00:44.040]  不過不要緊
[00:00:44.040 --> 00:00:46.160]  題目叫「神話」
[00:00:46.160 --> 00:00:49.480]  「喂,躲起來好嗎?我來找你」
[00:00:49.480 --> 00:00:54.360]  我們都玩過「捉迷藏」
[00:00:54.360 --> 00:00:57.640]  我上星期又跟一個人玩過一個遊戲
[00:00:57.640 --> 00:00:59.680]  上星期發生什麼事呢?
[00:00:59.680 --> 00:01:01.200]  上星期我聰明得
[00:01:01.200 --> 00:01:03.640]  因為我最近有一半去了兒童部
[00:01:03.640 --> 00:01:05.520]  所以整個星期都看不到我
[00:01:05.520 --> 00:01:10.000]  我去兒童部上星期去高小的大旅行
[00:01:10.000 --> 00:01:11.280]  秋季大旅行
[00:01:11.280 --> 00:01:13.760]  裡面有一段小插曲
[00:01:13.760 --> 00:01:16.600]  話說有一段自由時間
[00:01:16.600 --> 00:01:21.640]  那個營地沒有球類供應
[00:01:21.640 --> 00:01:24.080]  有一個男生來找我
[00:01:24.080 --> 00:01:25.600]  他叫我借一顆球給他
[00:01:25.600 --> 00:01:28.560]  我帶了西瓜球借給他們
[00:01:28.560 --> 00:01:30.600]  但是因為場地很有限
[00:01:30.600 --> 00:01:32.160]  那裡只有一個很小的
[00:01:32.160 --> 00:01:34.080]  可能只有這一半空地
[00:01:34.080 --> 00:01:35.720]  空得去哪裡
[00:01:35.720 --> 00:01:37.760]  一個這樣的地方可以玩
[00:01:37.760 --> 00:01:39.480]  我拿著球給他們的時候
[00:01:39.480 --> 00:01:40.320]  我要確保
[00:01:40.320 --> 00:01:41.840]  我要讓他們知道
[00:01:41.840 --> 00:01:43.000]  只可以在這裡玩
[00:01:43.000 --> 00:01:44.960]  不可以超過這條街
[00:01:44.960 --> 00:01:47.280]  於是我親的我
[00:01:47.280 --> 00:01:48.880]  走了三百多步
[00:01:48.880 --> 00:01:51.400]  把球拿到他們面前
[00:01:51.400 --> 00:01:54.160]  當我拿著球去到一群沒東西玩的
[00:01:54.160 --> 00:01:56.320]  十幾個男生面前
[00:01:56.320 --> 00:01:58.240]  你知道會發生什麼事吧
[00:01:58.240 --> 00:02:00.680]  西瓜球放在一個沒東西玩的男生面前
[00:02:00.680 --> 00:02:02.240]  就這樣
[00:02:02.240 --> 00:02:04.520]  於是我要說話
[00:02:04.520 --> 00:02:06.400]  我就唯有把球放在我後面
[00:02:06.400 --> 00:02:07.800]  就是這樣拿著
[00:02:07.800 --> 00:02:09.160]  這個時候
[00:02:09.160 --> 00:02:10.960]  我夠膽
[00:02:10.960 --> 00:02:13.440]  當我開始想說話的時候
[00:02:13.440 --> 00:02:15.440]  既然有個人夠膽死
[00:02:15.440 --> 00:02:16.240]  有個小孩夠膽死
[00:02:16.240 --> 00:02:18.120]  在我後面拿了球
[00:02:18.120 --> 00:02:20.200]  你都知道我雖然無可可親
[00:02:20.200 --> 00:02:22.640]  但是我的眼睛都很大
[00:02:22.640 --> 00:02:25.680]  這個時候我就馬上火都來了
[00:02:25.680 --> 00:02:27.680]  然後我就怒叩他
[00:02:27.680 --> 00:02:30.240]  還給我
[00:02:30.240 --> 00:02:34.520]  於是他雙手拿了球放在我面前
[00:02:34.520 --> 00:02:36.520]  然後之後那十秒
[00:02:36.520 --> 00:02:38.000]  我猜
[00:02:38.000 --> 00:02:40.360]  我猜我沒有眨眼
[00:02:40.360 --> 00:02:42.560]  我就跟他們嚴厲地說
[00:02:42.560 --> 00:02:46.080]  你們玩球只可以在這條街
[00:02:46.080 --> 00:02:47.520]  大概是這樣
[00:02:47.520 --> 00:02:50.560]  當時十幾個男生全部站好
