
[00:00:00.000 --> 00:00:03.000]  我不知道經歷了復活節
[00:00:03.000 --> 00:00:05.000]  你有沒有不同呢?
[00:00:05.000 --> 00:00:10.000]  其實如果我們看新聞說
[00:00:10.000 --> 00:00:12.000]  復活節這個假期
[00:00:12.000 --> 00:00:18.000]  就是如果你三天可以湊成十天假
[00:00:18.000 --> 00:00:20.000]  你們有沒有這樣做呢?
[00:00:20.000 --> 00:00:21.000]  (笑)
[00:00:21.000 --> 00:00:25.000]  是的,有很多廣告等等
[00:00:25.000 --> 00:00:27.000]  說怎樣可以去哪裡
[00:00:27.000 --> 00:00:29.000]  有什麼攻略
[00:00:29.000 --> 00:00:30.000]  因為疫情之後
[00:00:30.000 --> 00:00:33.000]  我想大家都很想走開
[00:00:33.000 --> 00:00:36.000]  離開香港走開
[00:00:36.000 --> 00:00:39.000]  但想不到復活節這個長假
[00:00:39.000 --> 00:00:41.000]  本來是一件很開心的事
[00:00:41.000 --> 00:00:44.000]  但居然有人歡喜有人愁
[00:00:44.000 --> 00:00:45.000]  為什麼呢?
[00:00:45.000 --> 00:00:47.000]  原來復活節這個長假期
[00:00:47.000 --> 00:00:51.000]  第一天已經有70萬人出境
[00:00:51.000 --> 00:00:53.000]  創了這幾年的新高
[00:00:53.000 --> 00:00:55.000]  當然因為疫情
[00:00:55.000 --> 00:00:59.000]  原來在頭兩天之外
[00:00:59.000 --> 00:01:04.000]  有120多萬人出了香港
[00:01:04.000 --> 00:01:09.000]  有一成的人已經不在香港去旅行了
[00:01:09.000 --> 00:01:11.000]  這件事應該很開心
[00:01:11.000 --> 00:01:13.000]  大家可以消費一下
[00:01:13.000 --> 00:01:15.000]  但這件事發生的時候
[00:01:15.000 --> 00:01:16.000]  就有人頭痛了
[00:01:16.000 --> 00:01:20.000]  在旅遊界和飲食界有些頭痛
[00:01:20.000 --> 00:01:21.000]  為什麼呢?
[00:01:21.000 --> 00:01:25.000]  因為西貢那天沒有塞車
[00:01:25.000 --> 00:01:28.000]  還有的士站沒有人等客人
[00:01:28.000 --> 00:01:31.000]  原因是因為人人都出去了
[00:01:31.000 --> 00:01:33.000]  有人計算過
[00:01:33.000 --> 00:01:35.000]  有八億的消費
[00:01:35.000 --> 00:01:38.000]  跟著這個假期出去了
[00:01:38.000 --> 00:01:41.000]  所以香港的經濟或者旅遊事業
[00:01:41.000 --> 00:01:43.000]  有很多人很頭痛
[00:01:43.000 --> 00:01:47.000]  今天我們已經過了復活節
[00:01:47.000 --> 00:01:50.000]  來到21日
[00:01:50.000 --> 00:01:53.000]  今天想說一個故事
[00:01:53.000 --> 00:01:57.000]  也是關於聖經記載有人出旅
[00:01:57.000 --> 00:02:02.000]  出旅的人有沒有頭痛我不知道
[00:02:02.000 --> 00:02:06.000]  但肯定他有些疑問和困惑
[00:02:06.000 --> 00:02:08.000]  可能跟我們香港人差不多
[00:02:08.000 --> 00:02:13.000]  今天看的經文就是路加福音24章
[00:02:13.000 --> 00:02:17.000]  記載了耶穌基督從死裡復活之後
[00:02:17.000 --> 00:02:20.000]  未升天之前發生的故事
[00:02:20.000 --> 00:02:22.000]  當中有兩位人物
[00:02:22.000 --> 00:02:25.000]  他們從耶路撒冷到二馬坎斯
[00:02:25.000 --> 00:02:29.000]  路途上大概25里
[00:02:29.000 --> 00:02:31.000]  即是15公里左右
[00:02:31.000 --> 00:02:33.000]  即是從耶路撒冷到二馬坎斯路上
