
[00:00:00.000 --> 00:00:02.000]  在我們開始聽到之前
[00:00:02.000 --> 00:00:04.000]  我們一起低頭禱告吧
[00:00:04.000 --> 00:00:07.000]  七位天父,我再次感謝祢
[00:00:07.000 --> 00:00:10.000]  祢是那位全能的神
[00:00:10.000 --> 00:00:13.000]  祢是那位信實的神
[00:00:13.000 --> 00:00:15.000]  今天我們來到祢的面前
[00:00:15.000 --> 00:00:17.000]  一起去聽祢的話
[00:00:17.000 --> 00:00:19.000]  求聖靈在當中親自引導
[00:00:19.000 --> 00:00:23.000]  幫助我們去聽祢的話
[00:00:23.000 --> 00:00:26.000]  讓祢的話成為我們真正的亮光
[00:00:26.000 --> 00:00:28.000]  成為我們在生活裏
[00:00:28.000 --> 00:00:30.000]  能夠活出來的見證
[00:00:30.000 --> 00:00:32.000]  感謝主,聽我們在祢面前的禱告
[00:00:32.000 --> 00:00:36.000]  奉耶穌基督的名字而求,阿們
[00:00:36.000 --> 00:00:42.000]  歷世歷代的信徒
[00:00:42.000 --> 00:00:46.000]  對於一個題目都非常有興趣
[00:00:46.000 --> 00:00:49.000]  相信大家都知道是哪個題目
[00:00:49.000 --> 00:00:52.000]  就是有關主的在來
[00:00:52.000 --> 00:00:54.000]  我很想知道
[00:00:54.000 --> 00:00:56.000]  很多人很想知道
[00:00:56.000 --> 00:01:00.000]  和去了解有關主的在來
[00:01:00.000 --> 00:01:04.000]  究竟耶穌何時會再回來呢?
[00:01:04.000 --> 00:01:08.000]  我想問問大家
[00:01:08.000 --> 00:01:11.000]  在座當中有多少人都很想知道?
[00:01:11.000 --> 00:01:14.000]  如果想知道就舉起一隻小球體
[00:01:14.000 --> 00:01:17.000]  也不是很多
[00:01:17.000 --> 00:01:20.000]  我以為很多人都很有興趣
[00:01:20.000 --> 00:01:23.000]  如果真的讓你知道的時候
[00:01:23.000 --> 00:01:27.000]  我想問,你會如何預備自己去見主?
[00:01:27.000 --> 00:01:32.000]  大家深思考慮一下
[00:01:32.000 --> 00:01:35.000]  曾經有一些信徒
[00:01:35.000 --> 00:01:39.000]  因為他相信在某年某月某日
[00:01:39.000 --> 00:01:41.000]  耶穌會回來
[00:01:41.000 --> 00:01:45.000]  於是他就變賣他所有的家財
[00:01:45.000 --> 00:01:49.000]  然後就在那天去等候主的在來
[00:01:49.000 --> 00:01:52.000]  結果究竟是怎樣呢?
[00:01:52.000 --> 00:01:54.000]  我相信大家都猜到
[00:01:54.000 --> 00:01:58.000]  這個預測都是落空的
[00:01:58.000 --> 00:02:01.000]  今天我想和大家一起去看
[00:02:01.000 --> 00:02:03.000]  帖撒羅尼加前書第五章
[00:02:03.000 --> 00:02:08.000]  我們看看保羅如何去看有關主的在來
[00:02:08.000 --> 00:02:14.000]  我們首先會讀第五章1-11節
[00:02:14.000 --> 00:02:16.000]  我們請鄧英文一起讀
[00:02:17.000 --> 00:02:24.000]  弟兄們,關於那時候和日期,不用人寫信給你們
[00:02:24.000 --> 00:02:27.000]  因為你們自己明明知道
[00:02:27.000 --> 00:02:34.000]  主的日子來到會像賊在夜間突然來到一樣
[00:02:34.000 --> 00:02:37.000]  人正說平安穩定的時候
[00:02:37.000 --> 00:02:40.000]  災禍忽然臨到他們
[00:02:40.000 --> 00:02:45.000]  如同陣痛臨到懷胎的婦人一樣
[00:02:45.000 --> 00:02:47.000]  他們絕不
[00:02:47.000 --> 00:02:56.000]  弟兄們,你們並不在黑暗那日會像賊一樣臨到你們
[00:02:56.000 --> 00:03:02.000]  你們都是光明之子,都是白晝之子
[00:03:02.000 --> 00:03:06.000]  我們不屬黑暗,也不屬幽暗
[00:03:06.000 --> 00:03:10.000]  所以我們不要沉睡
[00:03:10.000 --> 00:03:14.000]  像別人一樣,總要警醒感受
[00:03:14.000 --> 00:03:18.000]  因為睡了的人是在夜間睡
[00:03:18.000 --> 00:03:21.000]  醉了的人是在夜間醉
[00:03:21.000 --> 00:03:26.000]  但既然我們屬於白晝,就應當謹慎
[00:03:26.000 --> 00:03:30.000]  把信和愛當作護心鏡遮控
[00:03:30.000 --> 00:03:35.000]  把得救的盼望當作頭盔戴上
[00:03:35.000 --> 00:03:39.000]  因為神不是預定我們受靈佛
[00:03:39.000 --> 00:03:45.000]  而是預定我們食著我們主耶穌基督的救
[00:03:45.000 --> 00:03:47.000]  祂替我們死
[00:03:47.000 --> 00:03:52.000]  讓我們無論醒著睡著都與祂同活
[00:03:52.000 --> 00:03:56.000]  所以你們應彼此勸勉
[00:03:56.000 --> 00:04:01.000]  互相助紂,正如你們素上所做的
[00:04:01.000 --> 00:04:07.000]  大家還記不記得在兩個星期前
[00:04:07.000 --> 00:04:14.000]  Maggie傳道有關第四章13-18節
[00:04:14.000 --> 00:04:19.000]  一段經文裡提到保羅叫貼薩羅尼加的信徒
[00:04:19.000 --> 00:04:23.000]  不要因為親人的離世太過傷心
[00:04:23.000 --> 00:04:26.000]  好像那些沒有子望的人一樣
[00:04:26.000 --> 00:04:28.000]  保羅告訴他們
[00:04:28.000 --> 00:04:31.000]  他們只是暫時睡了
[00:04:31.000 --> 00:04:34.000]  將來等到主再來的時候
[00:04:34.000 --> 00:04:36.000]  他們都會復活
[00:04:36.000 --> 00:04:42.000]  復活的信息是帶給他們安慰和盼望
[00:04:42.000 --> 00:04:47.000]  今天我們看第五章1-11節
[00:04:47.000 --> 00:04:51.000]  講到有關主的再來日期
[00:04:51.000 --> 00:04:56.000]  以及信徒應該如何預備自己將來迎見主
[00:04:56.000 --> 00:05:01.000]  第二部分會在第12-24節
