
[00:00:00.000 --> 00:00:01.480]  各位親愛的兄弟姐妹
[00:00:01.480 --> 00:00:02.280]  各位朋友
[00:00:02.280 --> 00:00:03.280]  主佬平安
[00:00:03.280 --> 00:00:06.880]  歡迎大家參與恩福堂的崇拜
[00:00:06.880 --> 00:00:10.440]  今天是我們教會一年一度的猜拳主日
[00:00:10.440 --> 00:00:11.760]  我們要知道
[00:00:11.760 --> 00:00:16.400]  教會存在在這個世界上的目的和意義
[00:00:16.400 --> 00:00:20.600]  就是要使萬民作主耶穌基督的門徒
[00:00:20.600 --> 00:00:22.280]  所以門徒訓練
[00:00:22.280 --> 00:00:25.400]  以致我們能夠踏進社區
[00:00:25.400 --> 00:00:26.720]  以致世界各地
[00:00:26.720 --> 00:00:28.640]  進入不同的族群
[00:00:28.640 --> 00:00:31.680]  跟他們分享耶穌基督救恩的好消息
[00:00:31.680 --> 00:00:35.160]  就是我們必須要銳意做好的事
[00:00:35.160 --> 00:00:37.720]  不知道大家有沒有想過什麼叫做銳意呢?
[00:00:37.720 --> 00:00:40.280]  銳意就是說到
[00:00:40.280 --> 00:00:43.080]  我們去做一件事的時候
[00:00:43.080 --> 00:00:45.920]  常常去覆核做成怎樣
[00:00:45.920 --> 00:00:47.440]  做得夠不夠好
[00:00:47.440 --> 00:00:51.240]  是不是按著我們的初心、目的去進發
[00:00:51.240 --> 00:00:54.200]  然後不斷地反省和改善
[00:00:54.200 --> 00:00:55.600]  不是就這樣
[00:00:55.600 --> 00:00:56.480]  有做的了
[00:00:56.480 --> 00:00:57.360]  不要問這麼多
[00:00:57.360 --> 00:00:59.280]  總之有做的了
[00:00:59.280 --> 00:01:01.920]  不是一種這樣的態度去做
[00:01:01.920 --> 00:01:05.040]  而是真的常常刻意去做
[00:01:05.040 --> 00:01:09.000]  所以我們盼望藉著一年一度的猜拳年會
[00:01:09.000 --> 00:01:12.040]  就由猜拳主日開始
[00:01:12.040 --> 00:01:13.720]  在神的話裡面開始
[00:01:13.720 --> 00:01:16.600]  然後配上幾個晚上的猜拳晚會
[00:01:16.600 --> 00:01:18.640]  進入某一些特定的主題
[00:01:18.640 --> 00:01:20.640]  例如今年我們說到日本
[00:01:20.640 --> 00:01:22.600]  我們就會按著這個主題
[00:01:22.600 --> 00:01:27.440]  去邀請一位我們支持猜拳的宣教士
[00:01:27.440 --> 00:01:29.040]  或者業內的人士
[00:01:29.040 --> 00:01:34.600]  和我們分享主題的最新消息近況
[00:01:34.600 --> 00:01:40.720]  好讓我們能夠很貼近行程
[00:01:40.720 --> 00:01:43.680]  去為那些需要去禱告
[00:01:43.680 --> 00:01:45.960]  或者我們去明白一些教導
[00:01:45.960 --> 00:01:46.800]  一起去學習
[00:01:46.800 --> 00:01:48.080]  如果環境許可
[00:01:48.080 --> 00:01:51.400]  我們甚至會在教會搞展覽
[00:01:51.400 --> 00:01:52.880]  不知道你們有沒有印象
[00:01:52.880 --> 00:01:55.840]  第一個星期崇拜港獨
[00:01:55.840 --> 00:01:58.840]  再下個星期六日我們再有展覽
[00:01:58.840 --> 00:02:01.360]  中間三天就會有猜拳的晚會
[00:02:01.360 --> 00:02:04.560]  讓到整個的回眾
[00:02:04.560 --> 00:02:06.560]  就算你是初信主的
[00:02:06.560 --> 00:02:09.960]  「哇牧師我昨天才決戰信耶穌」
[00:02:09.960 --> 00:02:13.160]  你都要知道你人生的目的和意義
[00:02:13.160 --> 00:02:15.520]  就是要使命民族門徒
[00:02:15.520 --> 00:02:16.880]  你不要想著你初信主
[00:02:16.880 --> 00:02:18.400]  你就可以不知所措
[00:02:19.600 --> 00:02:23.520]  讓到整個教會所有的人
[00:02:23.520 --> 00:02:27.680]  都意識到猜拳宣教使萬民族主門徒
[00:02:27.680 --> 00:02:31.120]  是教會當中每一個人
