
[00:00:00.000 --> 00:00:02.320]  保守我們待會聽到的時間
[00:00:02.320 --> 00:00:05.440]  讓我們能夠被祢的說話去改變
[00:00:05.440 --> 00:00:07.440]  奉主明求 阿們
[00:00:07.440 --> 00:00:11.240]  現在將時間交給蘇牧師
[00:00:11.240 --> 00:00:19.640]  各位弟子妹 早安
[00:00:19.640 --> 00:00:23.440]  我們給神掌聲
[00:00:27.720 --> 00:00:30.720]  也在這個地方恭喜一班敬拜小組
[00:00:30.720 --> 00:00:32.720]  頂姐妹
[00:00:32.720 --> 00:00:34.720]  很inspiring
[00:00:34.720 --> 00:00:46.720]  我願望
[00:00:46.720 --> 00:00:50.720]  我們的教會
[00:00:50.720 --> 00:00:53.720]  繼續堅持
[00:00:53.720 --> 00:00:55.720]  薪火相傳
[00:00:56.720 --> 00:00:58.720]  當我們看到我們下一代
[00:00:58.720 --> 00:01:00.720]  能夠上來的時候
[00:01:00.720 --> 00:01:02.720]  欣福 有希望
[00:01:02.720 --> 00:01:06.720]  是因為這樣
[00:01:06.720 --> 00:01:08.720]  各位弟子妹
[00:01:08.720 --> 00:01:12.720]  我希望大家都能夠用一個
[00:01:12.720 --> 00:01:14.720]  正面 積極 鼓勵
[00:01:14.720 --> 00:01:18.720]  而且不惜代價
[00:01:18.720 --> 00:01:20.720]  去提升我們的下一代
[00:01:24.720 --> 00:01:26.720]  充滿喜樂 信心
[00:01:26.720 --> 00:01:30.720]  去敬拜 去侍奉
[00:01:30.720 --> 00:01:32.720]  我們的主
[00:01:32.720 --> 00:01:38.720]  我在這個地方也很
[00:01:38.720 --> 00:01:40.720]  恭喜建律牧師
[00:01:40.720 --> 00:01:42.720]  阿們牧師
[00:01:42.720 --> 00:01:44.720]  他們看到神的呼召
[00:01:44.720 --> 00:01:46.720]  急不及待
[00:01:46.720 --> 00:01:48.720]  毫不猶豫
[00:01:48.720 --> 00:01:50.720]  去就去吧
[00:01:50.720 --> 00:01:52.720]  有Karen跟你去嗎
[00:01:52.720 --> 00:01:54.720]  我不知道
[00:01:54.720 --> 00:01:56.720]  起碼也有幾組吧
[00:01:56.720 --> 00:02:00.720]  但是我很感恩
[00:02:00.720 --> 00:02:02.720]  這一份勇氣
[00:02:02.720 --> 00:02:04.720]  是讓我們記得
[00:02:04.720 --> 00:02:06.720]  我們回來香港的時候
[00:02:06.720 --> 00:02:08.720]  你回來做什麼
[00:02:08.720 --> 00:02:10.720]  我講到尾
[00:02:10.720 --> 00:02:12.720]  我不去舞會
[00:02:12.720 --> 00:02:14.720]  舞會已經有他們的前途人
[00:02:14.720 --> 00:02:16.720]  一堆人在那裏
[00:02:16.720 --> 00:02:18.720]  那你回來做什麼
[00:02:18.720 --> 00:02:20.720]  我要開一個新的 全新的
[00:02:20.720 --> 00:02:22.720]  出錢開了
[00:02:22.720 --> 00:02:24.720]  開了的時候
[00:02:24.720 --> 00:02:26.720]  有一百人在一個中堂開錢
[00:02:26.720 --> 00:02:28.720]  在那個時間
[00:02:28.720 --> 00:02:30.720]  我希望這個中堂
[00:02:30.720 --> 00:02:34.720]  不需要每次開會
[00:02:34.720 --> 00:02:36.720]  是由舞會的緝瀉會
[00:02:36.720 --> 00:02:38.720]  來通過
[00:02:38.720 --> 00:02:40.720]  我希望能夠快速一點
[00:02:40.720 --> 00:02:42.720]  以致我們能夠看到
[00:02:42.720 --> 00:02:44.720]  我們子堂的需要
[00:02:44.720 --> 00:02:46.720]  看到我們教會的需要的時候
[00:02:46.720 --> 00:02:48.720]  我們可以很快
[00:02:48.720 --> 00:02:50.720]  不需要花那麼多的時間
[00:02:50.720 --> 00:02:52.720]  去開會
[00:02:52.720 --> 00:02:54.720]  就進行建立教會的工程
[00:02:54.720 --> 00:02:56.720]  是因為這樣
[00:02:56.720 --> 00:02:58.720]  我回來半年
[00:02:58.720 --> 00:03:00.720]  我已經去執事會申請
[00:03:00.720 --> 00:03:02.720]  獨立
[00:03:02.720 --> 00:03:04.720]  但他們開會開了三個月
[00:03:04.720 --> 00:03:06.720]  都還沒決定
[00:03:06.720 --> 00:03:08.720]  最後我就說你們不決定
[00:03:08.720 --> 00:03:10.720]  我們決定的
[00:03:10.720 --> 00:03:12.720]  你怎麼決定的 我不需要任何東西
[00:03:12.720 --> 00:03:14.720]  舞會一個先
[00:03:14.720 --> 00:03:16.720]  我們都不用的
[00:03:16.720 --> 00:03:18.720]  有人來就來
[00:03:18.720 --> 00:03:20.720]  不來
[00:03:20.720 --> 00:03:22.720]  我們兩志工
[00:03:22.720 --> 00:03:24.720]  加上當時我們已經有幾組人
[00:03:24.720 --> 00:03:26.720]  我們可以開會了
