
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,早安
[00:00:02.000 --> 00:00:06.000]  今天我要和大家分享的題目是
[00:00:06.000 --> 00:00:10.000]  喜樂是一種選擇
[00:00:10.000 --> 00:00:15.000]  經文記載在哈巴菊書的三章
[00:00:15.000 --> 00:00:18.000]  一至十九節
[00:00:18.000 --> 00:00:23.000]  不知道大家還記不記得上個主日
[00:00:23.000 --> 00:00:26.000]  我們已經開始了講屬靈果子系列
[00:00:26.000 --> 00:00:29.000]  知不知道講甚麼的果子呢?
[00:00:29.000 --> 00:00:33.000]  人類是很厲害的,記得了
[00:00:33.000 --> 00:00:37.000]  我們將會用不同的經文去思考一下
[00:00:37.000 --> 00:00:41.000]  在主裏面被改變、被更新
[00:00:41.000 --> 00:00:45.000]  而結出九方面的生命特質
[00:00:45.000 --> 00:00:49.000]  《迦拉太書》提到在主裏面
[00:00:49.000 --> 00:00:52.000]  結出聖靈果子是有九個方面的
[00:00:52.000 --> 00:00:56.000]  我們一起去讀出,預備起
[00:00:56.000 --> 00:00:59.000]  聖靈的果子就是人類
[00:00:59.000 --> 00:01:03.000]  喜樂、和平、忍耐、恩慈、良善
[00:01:03.000 --> 00:01:06.000]  信實、溫柔、節制
[00:01:06.000 --> 00:01:09.000]  這樣的事沒有律法禁止
[00:01:09.000 --> 00:01:12.000]  《迦拉太書》五章廿二至廿三節
[00:01:12.000 --> 00:01:15.000]  聖靈果子的果子
[00:01:15.000 --> 00:01:19.000]  希臘文字的原文是單數的名詞
[00:01:19.000 --> 00:01:22.000]  所以並不是九個果子
[00:01:22.000 --> 00:01:25.000]  而是一個果子,九個面向
[00:01:25.000 --> 00:01:27.000]  這裡提醒我們
[00:01:27.000 --> 00:01:30.000]  生命能夠流露不同美好的特質
[00:01:30.000 --> 00:01:34.000]  並不是靠我們個人的努力可以達成
[00:01:34.000 --> 00:01:37.000]  而是因為我們信了主之後
[00:01:37.000 --> 00:01:40.000]  有聖靈內在我們心裏
[00:01:40.000 --> 00:01:43.000]  並且我們願意被改變、被更新
[00:01:43.000 --> 00:01:46.000]  這樣就會結出屬靈的果子
[00:01:46.000 --> 00:01:50.000]  上星期第一個生命特質是講人愛
[00:01:50.000 --> 00:01:53.000]  人愛所講的愛並不是一般的愛
[00:01:53.000 --> 00:01:55.000]  而是從神那裏來的
[00:01:55.000 --> 00:01:57.000]  這份愛有什麼特質呢?
[00:01:57.000 --> 00:02:00.000]  就是一份願意付代價
[00:02:00.000 --> 00:02:06.000]  將對方的益處放在自己益處之上
[00:02:06.000 --> 00:02:08.000]  這份愛就是人愛
[00:02:08.000 --> 00:02:11.000]  就好像基督對人的愛一樣
[00:02:11.000 --> 00:02:15.000]  如果生命能夠流露出人愛的特質
[00:02:15.000 --> 00:02:18.000]  我們就不會將我想要
[00:02:18.000 --> 00:02:21.000]  成為我們人生目標的追求
[00:02:23.000 --> 00:02:28.000]  相反我們願意將自己交給耶穌基督
[00:02:28.000 --> 00:02:30.000]  回應十價大愛
[00:02:30.000 --> 00:02:33.000]  反而會幫我們決定
[00:02:33.000 --> 00:02:36.000]  我今天應該怎樣生活、怎樣做決定
[00:02:36.000 --> 00:02:38.000]  聖經說這樣的生命
[00:02:38.000 --> 00:02:42.000]  就能夠活出喜樂的生命
[00:02:42.000 --> 00:02:46.000]  喜樂原文希臘文
[00:02:46.000 --> 00:02:50.000]  是有打從心底裏高興的意思
[00:02:50.000 --> 00:02:55.000]  這個字新約出現了六十八次
[00:02:55.000 --> 00:02:59.000]  其中五十一次ESV的英文譯本
[00:02:59.000 --> 00:03:02.000]  就譯為Joy
[00:03:02.000 --> 00:03:04.000]  而不是譯作Happy
[00:03:04.000 --> 00:03:06.000]  Happy大家都知道
[00:03:06.000 --> 00:03:08.000]  很Happy即是很開心
[00:03:08.000 --> 00:03:11.000]  通常都是指由愛在環境
[00:03:11.000 --> 00:03:13.000]  引發的高漲情緒
[00:03:13.000 --> 00:03:16.000]  但喜樂就很不同了
[00:03:16.000 --> 00:03:19.000]  喜樂是講一種從神而來
[00:03:19.000 --> 00:03:21.000]  從心而發的滿足
[00:03:21.000 --> 00:03:25.000]  大部分時間都不受外在環境所影響
[00:03:25.000 --> 00:03:29.000]  聖經都常常用一個命令式的語氣
[00:03:29.000 --> 00:03:31.000]  去提醒人要怎樣
[00:03:31.000 --> 00:03:32.000]  要喜樂
[00:03:32.000 --> 00:03:35.000]  保羅在菲勒比書常常都提到
[00:03:35.000 --> 00:03:36.000]  你們要怎樣
[00:03:36.000 --> 00:03:37.000]  常常喜樂
[00:03:37.000 --> 00:03:39.000]  不過特別講到一樣東西
[00:03:39.000 --> 00:03:41.000]  是要靠主常常喜樂
[00:03:41.000 --> 00:03:47.000]  在帖撒羅尼加前書五章十六節都講到
[00:03:47.000 --> 00:03:49.000]  要常常喜樂
[00:03:49.000 --> 00:03:52.000]  這裡特別提到時間性
[00:03:52.000 --> 00:03:55.000]  就是任何時間、任何地方
[00:03:55.000 --> 00:03:59.000]  都要活出喜樂的吩咐
[00:03:59.000 --> 00:04:03.000]  一般來說我們都會用喜樂這個字
[00:04:03.000 --> 00:04:06.000]  去表達一種熱切的盼望
[00:04:06.000 --> 00:04:09.000]  內在的滿足
[00:04:09.000 --> 00:04:11.000]  只不過若果我問你
[00:04:11.000 --> 00:04:15.000]  在現實生活當有人問你
[00:04:15.000 --> 00:04:18.000]  無論是頂智妹或是新來的朋友
