
[00:00:00.000 --> 00:00:05.120]  好,我們今天的講題是KOL
[00:00:05.120 --> 00:00:10.320]  KOL這個詞在過去這幾年都挺流行的
[00:00:10.320 --> 00:00:13.440]  過去通常說KOL Key Opinion Leader
[00:00:13.440 --> 00:00:16.320]  也就是說一個很有影響力的人
[00:00:16.320 --> 00:00:19.200]  他就會說一些東西,發表一些言論
[00:00:19.200 --> 00:00:20.720]  然後每個人都會聽
[00:00:20.720 --> 00:00:23.040]  甚至他可以影響到一個文化
[00:00:23.040 --> 00:00:25.040]  去推動一些事情發生
[00:00:25.040 --> 00:00:28.720]  所以KOL其實是一個很重要的人物
[00:00:28.720 --> 00:00:30.720]  在社會上來說
[00:00:30.720 --> 00:00:33.440]  很多人會聽KOL說什麼
[00:00:33.440 --> 00:00:35.440]  很多人很想做KOL
[00:00:35.440 --> 00:00:38.320]  又或者我們當中也有些KOL
[00:00:38.320 --> 00:00:42.800]  如果是的話,假裝聽不到就行了
[00:00:42.800 --> 00:00:47.040]  KOL,其實慢慢去想
[00:00:47.040 --> 00:00:49.040]  帶出了一個現實
[00:00:49.040 --> 00:00:53.520]  這個現實就是原來一把聲音
[00:00:53.520 --> 00:00:55.520]  是有很大的力量在的
[00:00:55.520 --> 00:00:57.520]  不知道你覺不覺得
[00:00:57.520 --> 00:01:00.240]  你這樣說一句話,其實可以影響很多事情
[00:01:00.240 --> 00:01:02.240]  Elon Musk出來說幾句話
[00:01:02.240 --> 00:01:05.520]  突然間,嘩,整個國家都轉了台
[00:01:05.520 --> 00:01:08.400]  或者特朗普說幾句話
[00:01:08.400 --> 00:01:10.960]  然後,嘩,世界都在害怕
[00:01:10.960 --> 00:01:13.440]  所以其實你要知道的一件事
[00:01:13.440 --> 00:01:16.480]  其實人那一把口說出來的聲音
[00:01:16.480 --> 00:01:19.280]  或者有時候我們生命裡面聽到的聲音
[00:01:19.280 --> 00:01:22.480]  其實可以動搖我們的生命
[00:01:22.480 --> 00:01:26.320]  甚至我們可能內心有時候聽到一些聲音
[00:01:26.320 --> 00:01:29.840]  都可以去動搖到我們一些信仰、信念
[00:01:29.840 --> 00:01:31.840]  或者我們的人生價值
[00:01:31.840 --> 00:01:35.440]  或者我們怎樣去看待一些道德標準
[00:01:35.440 --> 00:01:38.800]  聲音其實是可以很有影響力的
[00:01:38.800 --> 00:01:40.800]  舉個例子
[00:01:40.800 --> 00:01:44.480]  一個不好的聲音其實可以帶來很大的影響
[00:01:44.480 --> 00:01:47.120]  就正如1994年的時候
[00:01:47.120 --> 00:01:50.000]  有一個叫盧旺達的大屠殺事件
[00:01:50.000 --> 00:01:52.000]  可能大家有些會聽過
[00:01:52.000 --> 00:01:54.000]  那時候的殖民地
[00:01:54.000 --> 00:01:56.000]  盧旺達成為了殖民地
[00:01:56.000 --> 00:02:00.800]  殖民政府就把人們分為兩邊
[00:02:00.800 --> 00:02:02.800]  一邊是皮膚黑一點的
[00:02:02.800 --> 00:02:04.800]  然後窮一點的
[00:02:04.800 --> 00:02:06.800]  另一邊是皮膚白一點的
[00:02:06.800 --> 00:02:07.680]  有錢一點的
[00:02:07.680 --> 00:02:09.680]  他們就分開了兩邊
[00:02:09.680 --> 00:02:11.680]  用皮膚白一點、有錢一點的人
[00:02:11.680 --> 00:02:15.040]  去管治皮膚黑一點的窮一點的人
[00:02:15.040 --> 00:02:17.920]  然後不斷去層壓式壓迫他們
[00:02:17.920 --> 00:02:20.720]  以致到皮膚黑一點的種族
[00:02:20.720 --> 00:02:23.600]  其實越來越多仇恨、很多憤恨、很多不滿
[00:02:23.600 --> 00:02:25.600]  很多不開心
[00:02:25.600 --> 00:02:29.040]  到最後政府離開的時候
[00:02:29.040 --> 00:02:31.040]  他把整件事倒轉了
[00:02:31.040 --> 00:02:34.320]  把政權交回給皮膚較黑的人
[00:02:34.320 --> 00:02:37.840]  以致到他們就好像有仇報
[00:02:37.840 --> 00:02:39.440]  然後就不斷報
[00:02:39.440 --> 00:02:43.520]  不斷在當中的怨恨越來越加劇
[00:02:43.520 --> 00:02:46.720]  兩個種族本身都是一班人
[00:02:46.720 --> 00:02:49.280]  本身都是盧旺達的人
[00:02:49.280 --> 00:02:52.400]  但當中他是因著政府的推動
[00:02:52.400 --> 00:02:55.920]  以致到兩班人當對方是仇恨
[00:02:55.920 --> 00:02:58.800]  而當時就出現了一把聲音
[00:02:58.800 --> 00:03:01.200]  那一把聲音就是當時的首富
[00:03:01.200 --> 00:03:04.880]  前首富,也就是當時的傳媒大亨
[00:03:04.880 --> 00:03:07.280]  不斷在推動一些仇恨的訊息
[00:03:07.280 --> 00:03:10.800]  甚至他自己自資買了50萬把刀
[00:03:10.800 --> 00:03:14.720]  在推動一些屠殺的事件發生
[00:03:14.720 --> 00:03:18.480]  推動說他們殺了一個總統
[00:03:18.480 --> 00:03:21.040]  所以要殲滅對方
[00:03:21.040 --> 00:03:23.760]  結果整個國家
[00:03:23.760 --> 00:03:26.880]  本身旁邊的可能是鄰舍
[00:03:26.880 --> 00:03:29.840]  可能一起上班的一些人
[00:03:29.840 --> 00:03:31.200]  突然間變成敵人
[00:03:31.200 --> 00:03:33.280]  然後互相去屠殺
[00:03:33.280 --> 00:03:37.600]  當時殺了80萬盧旺達的人
[00:03:37.600 --> 00:03:40.720]  一把聲音可以有很大的影響力
[00:03:40.720 --> 00:03:43.040]  甚至可以把整個國家
[00:03:43.040 --> 00:03:46.320]  由本身和諧的社會顛覆到
[00:03:46.320 --> 00:03:50.320]  互相屠殺的戰場
[00:03:50.320 --> 00:03:53.280]  人的聲音可以很大
[00:03:53.280 --> 00:03:55.760]  或者我們現在未必會面對大屠殺
[00:03:55.760 --> 00:04:00.800]  或者未必會面對一些傳媒大亨的影響
[00:04:00.800 --> 00:04:02.560]  但其實
[00:04:02.560 --> 00:04:04.880]  你有沒有察覺到我們的內心
[00:04:04.880 --> 00:04:08.800]  可能很多時候都有很多聲音在干擾我們
[00:04:08.800 --> 00:04:10.800]  阻礙我們去跟隨神
[00:04:10.800 --> 00:04:12.320]  甚至會影響到我們
[00:04:12.320 --> 00:04:14.480]  去做一些神不起悅的事
[00:04:14.480 --> 00:04:15.920]  我們的內心
[00:04:15.920 --> 00:04:19.840]  如何可以分辨到哪一個KOL才可以去聽
[00:04:19.840 --> 00:04:22.400]  或者我們如何可以防止自己的內心
[00:04:22.400 --> 00:04:24.960]  跟隨一些不應該聽的聲音
[00:04:24.960 --> 00:04:27.520]  今天我們看的經文裡面
[00:04:27.520 --> 00:04:29.440]  會告訴我們這件事
[00:04:29.440 --> 00:04:32.080]  今個月我們的月題是眼光
[00:04:32.080 --> 00:04:33.680]  我們有時候看事物
[00:04:33.680 --> 00:04:36.000]  我們看的可能是平面的
[00:04:36.000 --> 00:04:38.000]  我們習慣了看
[00:04:38.000 --> 00:04:41.040]  可能其實說回盧旺達那裡的人
[00:04:41.040 --> 00:04:42.720]  可能他們平面地看
[00:04:42.720 --> 00:04:44.320]  對方就是敵人
[00:04:44.320 --> 00:04:45.840]  傷害我的人
[00:04:45.840 --> 00:04:48.560]  但當眼光其實可以去看高一點
[00:04:48.560 --> 00:04:49.600]  看闊一點
[00:04:49.600 --> 00:04:53.120]  知道其實背後有些東西在驅使對方
[00:04:53.120 --> 00:04:54.400]  去傷害我的人
[00:04:54.400 --> 00:04:58.880]  其實可能就不會形成大屠殺的事件
[00:04:58.880 --> 00:05:00.480]  我們要提升自己的眼光
[00:05:00.480 --> 00:05:01.600]  我們要知道背後
[00:05:01.600 --> 00:05:03.840]  究竟屬靈上面發生什麼事
[00:05:03.840 --> 00:05:06.080]  以致我們可以防止自己的心
[00:05:06.080 --> 00:05:08.560]  跟從了一把不應該聽的聲音
[00:05:08.560 --> 00:05:10.560]  不如我們一起去祈禱好嗎
[00:05:10.560 --> 00:05:13.600]  參加天父我們很感謝你
[00:05:13.600 --> 00:05:16.800]  帶領我們可以回到你的根前
[00:05:16.800 --> 00:05:19.680]  主啊我們很渴望去聆聽你的聲音
[00:05:19.680 --> 00:05:22.400]  並且主啊其實我們的心都很脆弱
[00:05:22.400 --> 00:05:24.480]  很多不足、很多軟弱
[00:05:24.480 --> 00:05:27.520]  很多時候都被這個世界很多聲音拉走
[00:05:27.520 --> 00:05:30.080]  主啊祂的話語就指引我們
[00:05:30.080 --> 00:05:31.760]  並且去兼顧我們
[00:05:31.760 --> 00:05:33.280]  聖靈是我們的保衛師
[00:05:33.280 --> 00:05:34.400]  我們相信
[00:05:34.400 --> 00:05:37.040]  而且聖靈要在我們心裡帶領我們
[00:05:37.040 --> 00:05:39.680]  主啊祂幫助我們
[00:05:39.680 --> 00:05:41.600]  專心地去聆聽你的聲音
[00:05:41.600 --> 00:05:42.560]  我們感謝你
[00:05:42.560 --> 00:05:43.280]  祈禱交托
[00:05:43.280 --> 00:05:45.120]  奉主耶穌基督的名義祈求
[00:05:45.120 --> 00:05:46.240]  阿們
[00:05:46.240 --> 00:05:50.000]  我們看的經文就是《獵王記》上
[00:05:50.000 --> 00:05:52.800]  《獵王記》是一個有關王的故事
[00:05:52.800 --> 00:05:55.680]  有關以色列王和猶太王的故事
[00:05:55.680 --> 00:05:57.680]  以色列因為得罪了神
[00:05:57.680 --> 00:05:59.520]  分開了一分為二
[00:05:59.520 --> 00:06:01.200]  以色列和猶太
[00:06:01.200 --> 00:06:04.640]  而當中正正每一個王的興起
[00:06:04.640 --> 00:06:07.520]  就不斷讓我們去看到當中
[00:06:07.520 --> 00:06:09.680]  究竟這個離開了神的國家
[00:06:09.680 --> 00:06:11.440]  究竟會有一個什麼的終局
[00:06:11.440 --> 00:06:14.800]  但其實《獵王記》上不是一個歷史書
[00:06:14.800 --> 00:06:17.040]  不是只講歷史
[00:06:17.040 --> 00:06:18.800]  因為當中其實王
[00:06:18.800 --> 00:06:21.360]  你要知道以色列的王是一個身份
[00:06:21.360 --> 00:06:22.880]  他要帶領他的民族
[00:06:22.880 --> 00:06:25.600]  帶領以色列回到上帝那裡
[00:06:25.600 --> 00:06:27.920]  所以其實更加準確地說
[00:06:27.920 --> 00:06:31.520]  其實他是一個屬靈領導者的角色
[00:06:31.520 --> 00:06:35.280]  一個屬靈領導者的生命冊
[00:06:35.280 --> 00:06:36.880]  讓我們看他們的生命
[00:06:36.880 --> 00:06:38.480]  讓我們看他們的屬靈生命
[00:06:38.480 --> 00:06:40.480]  那麼當中有什麼出錯了
[00:06:40.480 --> 00:06:42.960]  以致整個國家會離開了神呢
[00:06:42.960 --> 00:06:44.160]  我們在當中學的
[00:06:44.160 --> 00:06:45.840]  就是要學究竟我們怎樣
[00:06:45.840 --> 00:06:47.920]  可以不要學那些壞的王
[00:06:47.920 --> 00:06:50.240]  以致我們的心離開了神
[00:06:50.240 --> 00:06:51.440]  要學那些好的王
[00:06:51.440 --> 00:06:53.200]  怎樣可以回到上帝那裡
[00:06:53.200 --> 00:06:56.800]  一本屬靈生命的生命史
[00:06:56.800 --> 00:06:58.400]  這個就是《獵王記》上
[00:06:58.400 --> 00:06:59.920]  那麼我們看的王
[00:06:59.920 --> 00:07:01.040]  《獵王記》上21
[00:07:01.040 --> 00:07:03.680]  就是一個叫歷史上最差的王
[00:07:03.680 --> 00:07:06.880]  聽著你就知道這個不要學了
[00:07:06.880 --> 00:07:09.040]  這個歷史上最差的王
[00:07:09.040 --> 00:07:11.360]  究竟當中發生了什麼事
[00:07:11.360 --> 00:07:13.680]  以致他會成為最差中的最差
[00:07:13.680 --> 00:07:15.360]  我們有什麼不好學的呢
[00:07:15.360 --> 00:07:17.840]  我們先看一看背景好不好
[00:07:17.840 --> 00:07:19.200]  我們看一看背景
[00:07:19.200 --> 00:07:21.360]  我們知道了整個故事的脈絡
[00:07:21.360 --> 00:07:22.240]  然後我們就會看
[00:07:22.240 --> 00:07:24.480]  究竟這個王發生了什麼事
[00:07:24.480 --> 00:07:25.040]  好
[00:07:25.040 --> 00:07:26.800]  我們一起讀《獵王記》上21章
[00:07:26.800 --> 00:07:28.000]  我們請
[00:07:28.000 --> 00:07:31.440]  「這些事以後又有一時」
[00:07:31.440 --> 00:07:51.440]  (廣東話)
[00:07:51.440 --> 00:07:53.920]  「我就按著價錢給你」
[00:07:53.920 --> 00:07:55.760]  「那百對阿蝦說」
[00:07:55.760 --> 00:07:58.320]  「耶和華不准我把祖先」
[00:07:58.320 --> 00:08:00.240]  「留下的產業給你」
[00:08:00.240 --> 00:08:03.200]  「阿蝦因耶斯列人那百說」
[00:08:03.200 --> 00:08:06.640]  「我不把祖先留下的產業給你」
[00:08:06.640 --> 00:08:11.120]  「就生地回宮躺在床上」
[00:08:11.120 --> 00:08:14.000]  「念轉來看也不吃飯」
[00:08:14.000 --> 00:08:14.960]  好了
[00:08:14.960 --> 00:08:16.880]  在故事裡面我們就知道
[00:08:16.880 --> 00:08:20.080]  阿蝦這個王心裡面有一個賞望
[00:08:20.080 --> 00:08:21.440]  他這個賞望是什麼呢
[00:08:21.440 --> 00:08:24.400]  就是這個那百的葡萄園
[00:08:24.400 --> 00:08:27.120]  看到這個葡萄園很棒
[00:08:27.120 --> 00:08:28.400]  很想要
[00:08:28.400 --> 00:08:30.000]  但是很有趣的一個地方
[00:08:30.000 --> 00:08:32.240]  他想要這個葡萄園的目的
[00:08:32.240 --> 00:08:33.760]  不是用來種葡萄
[00:08:33.760 --> 00:08:36.080]  他想要來種菜
[00:08:36.080 --> 00:08:37.840]  為什麼這麼奇怪呢
[00:08:37.840 --> 00:08:40.480]  葡萄那時候是一些矜貴的東西
[00:08:40.480 --> 00:08:42.640]  就是你弄了一枝葡萄酒出來
[00:08:42.640 --> 00:08:44.240]  很矜貴很奢侈的
[00:08:44.240 --> 00:08:46.320]  但是他不要做奢侈的東西
[00:08:46.320 --> 00:08:49.120]  他只是想用來種一些很低價錢
[00:08:49.120 --> 00:08:51.120]  很賤的菜
[00:08:51.120 --> 00:08:53.600]  這麼奇怪的王在搞什麼呢
[00:08:53.600 --> 00:08:54.960]  他後面就說了
[00:08:54.960 --> 00:08:57.920]  就是因為他靠近他的王宮
[00:08:57.920 --> 00:09:00.480]  就好像你幻想阿蝦的王
[00:09:00.480 --> 00:09:02.480]  他整個王宮好像一個正方形
[00:09:02.480 --> 00:09:04.480]  中間有一顆有個洞
[00:09:04.480 --> 00:09:06.480]  他就說很不整齊
[00:09:06.480 --> 00:09:08.160]  只要我填滿了這個洞
[00:09:08.160 --> 00:09:10.400]  那就很棒了很整齊了
[00:09:10.400 --> 00:09:12.400]  所以可以簡單地說
[00:09:12.400 --> 00:09:14.160]  他是一個OCD的王
[00:09:14.160 --> 00:09:16.640]  一切都要很整齊
[00:09:16.640 --> 00:09:18.560]  他就很想有一個
[00:09:18.560 --> 00:09:20.640]  這個那百的葡萄園
[00:09:20.640 --> 00:09:23.840]  可以填滿他內心那種對OCD的空洞
[00:09:23.840 --> 00:09:24.800]  對了
[00:09:24.800 --> 00:09:25.680]  但是
[00:09:25.680 --> 00:09:27.840]  就是這麼說
[00:09:27.840 --> 00:09:29.120]  有喜好這些東西
[00:09:29.120 --> 00:09:30.640]  我沒得評論
[00:09:30.640 --> 00:09:32.000]  Who am I to judge
[00:09:32.000 --> 00:09:34.000]  他喜歡OCD也沒辦法
[00:09:34.000 --> 00:09:35.600]  但是最大的問題
[00:09:35.600 --> 00:09:37.600]  就是他出現失望
[00:09:37.600 --> 00:09:39.920]  他失望是什麼原因呢
[00:09:39.920 --> 00:09:41.920]  就因為那百跟他說
[00:09:41.920 --> 00:09:43.360]  神不給
[00:09:43.360 --> 00:09:45.360]  神不給我把這塊地給你
[00:09:45.360 --> 00:09:46.400]  我也想給你
[00:09:46.400 --> 00:09:48.400]  不過這個是上帝
[00:09:48.400 --> 00:09:50.000]  以色列人是這麼相信的
[00:09:50.000 --> 00:09:52.560]  就是耶和華賜給他們的產業
[00:09:52.560 --> 00:09:54.800]  所以他們不是就這樣調來調去就行了
[00:09:54.800 --> 00:09:56.800]  我給你五百萬買那塊地
[00:09:56.800 --> 00:09:58.800]  然後你還給我
[00:09:58.800 --> 00:09:59.520]  不行的
[00:09:59.520 --> 00:10:00.640]  以色列人來說
[00:10:00.640 --> 00:10:02.080]  那塊地是世襲
[00:10:02.080 --> 00:10:04.080]  永遠都是那塊地
[00:10:04.080 --> 00:10:06.080]  就算你爭那個框的話
[00:10:06.080 --> 00:10:07.360]  也沒辦法
