
[00:00:00.000 --> 00:00:02.760]  今晚我想開始一個系列
[00:00:02.760 --> 00:00:04.080]  我這個也是一個恩福的系列
[00:00:04.080 --> 00:00:06.480]  我不知道大家有沒有聽過「針研」
[00:00:06.480 --> 00:00:08.480]  有沒有聽過針研講道
[00:00:08.480 --> 00:00:11.720]  今晚我想用針研開始一個系列
[00:00:11.720 --> 00:00:15.440]  針研裡面講今晚想講公義
[00:00:15.440 --> 00:00:18.040]  有機會想跟大家分享貧窮
[00:00:18.040 --> 00:00:21.240]  分享社會、公民社會
[00:00:21.240 --> 00:00:23.720]  分享智慧、分享跟自己的關係
[00:00:23.720 --> 00:00:24.960]  還有跟神的關係
[00:00:24.960 --> 00:00:27.160]  今晚先想講公義
[00:00:27.160 --> 00:00:30.080]  我不知道大家看了《破地獄》沒有
[00:00:30.080 --> 00:00:31.000]  有多少人看了
[00:00:31.000 --> 00:00:33.680]  難怪票房這麼厲害
[00:00:33.680 --> 00:00:38.880]  黃子華的第一套破億的戲
[00:00:38.880 --> 00:00:40.000]  不是《破地獄》
[00:00:40.000 --> 00:00:42.000]  就是《獨竊大狀》
[00:00:42.000 --> 00:00:45.600]  這套戲是在香港人對公義
[00:00:45.600 --> 00:00:49.280]  最覺得艱難的時候出的一套戲
[00:00:49.280 --> 00:00:50.880]  我覺得這套戲
[00:00:50.880 --> 00:00:52.880]  特別我們在這間教會
[00:00:52.880 --> 00:00:54.920]  我們正是位處在
[00:00:54.920 --> 00:00:56.920]  荔枝角的收押所
[00:00:56.920 --> 00:01:00.280]  和九龍裁判處之間
[00:01:00.280 --> 00:01:04.160]  經常很多很重型的軍裝經過的時候
[00:01:04.160 --> 00:01:06.160]  我們知道近來在審的案件
[00:01:06.160 --> 00:01:08.160]  都是一些很重大的
[00:01:08.160 --> 00:01:10.160]  關乎到香港人心情的案件
[00:01:10.160 --> 00:01:12.160]  在這些事情上
[00:01:12.160 --> 00:01:16.480]  我們又想到底公義在這個社會
[00:01:16.480 --> 00:01:18.480]  我們又再怎麼看呢
[00:01:18.480 --> 00:01:20.480]  還是我們再一次的放棄
[00:01:20.480 --> 00:01:23.080]  我們在人生裡面能不能夠追求呢
[00:01:23.080 --> 00:01:26.840]  很想用《針燕》這本書去回應時代
[00:01:26.840 --> 00:01:29.200]  說可以說一本舊一點的戲劇
[00:01:29.200 --> 00:01:30.600]  不是黃子華的戲劇
[00:01:30.600 --> 00:01:32.880]  黃子華也是舞台劇出身
[00:01:32.880 --> 00:01:34.480]  在舊一點的時候
[00:01:34.480 --> 00:01:35.760]  1956年
[00:01:35.760 --> 00:01:39.640]  有一個回到中國的小說戲劇家
[00:01:39.640 --> 00:01:41.800]  我不知道大家可能還沒聽過他的名字
[00:01:41.800 --> 00:01:42.920]  他叫魯社
[00:01:42.920 --> 00:01:45.800]  魯社寫了一套舞台劇
[00:01:45.800 --> 00:01:48.880]  這套舞台劇如果轉到PowerPoint
[00:01:48.880 --> 00:01:49.600]  就會看到
[00:01:49.600 --> 00:01:50.200]  轉不到的話
[00:01:50.200 --> 00:01:52.200]  大家繼續都可以看著這個
[00:01:52.200 --> 00:01:55.520]  這套舞台劇叫做《茶館》
[00:01:55.520 --> 00:01:57.520]  《茶館》這套舞台劇
[00:01:57.520 --> 00:01:59.520]  描繪了一個城市
[00:01:59.520 --> 00:02:01.520]  很像北京的一個城市
[00:02:01.520 --> 00:02:04.280]  那間茶館叫做裕泰茶館
[00:02:04.280 --> 00:02:06.960]  這間茶館經歷了三代的時代
[00:02:06.960 --> 00:02:08.960]  包括清朝的末年
[00:02:08.960 --> 00:02:10.560]  然後北洋軍閥
[00:02:10.560 --> 00:02:12.560]  還有民國三個時代
[00:02:12.560 --> 00:02:15.280]  在茶館裡面有各式各樣的人物
[00:02:15.280 --> 00:02:16.560]  在裡面生活過
[00:02:16.560 --> 00:02:20.960]  好像如果大家聽過《十八樓A座》
[00:02:20.960 --> 00:02:22.960]  裡面有幾個很特別的人物
[00:02:22.960 --> 00:02:26.560]  一個是常常抱打不平的常四爺
[00:02:26.560 --> 00:02:29.440]  常四爺因為他是滿清的貴族
[00:02:29.440 --> 00:02:31.440]  所以他說話比較大膽
[00:02:31.440 --> 00:02:33.440]  不過有一次他說了一句話
[00:02:33.440 --> 00:02:35.440]  大清國要完
[00:02:35.440 --> 00:02:36.960]  說完這句話之後
[00:02:36.960 --> 00:02:38.960]  就被抓了入監一年多
[00:02:38.960 --> 00:02:41.760]  可能今天說也不長
[00:02:41.760 --> 00:02:43.760]  但他說了大清國要完
[00:02:43.760 --> 00:02:48.080]  當時相對他的是一個年輕精明的主角
[00:02:48.080 --> 00:02:49.360]  他叫王利發
[00:02:49.360 --> 00:02:52.880]  王利發很努力經營裕泰茶館
[00:02:52.880 --> 00:02:54.880]  他不問世事
[00:02:54.880 --> 00:02:56.240]  經歷了三代之後
[00:02:56.240 --> 00:02:59.520]  茶館最後都最終被惡勢力霸佔
[00:02:59.520 --> 00:03:01.520]  在茶館的最結尾的時候
[00:03:01.520 --> 00:03:03.920]  王利發燒了這個茶館
[00:03:03.920 --> 00:03:06.320]  然後進入茶館裡面自殺身亡
[00:03:06.320 --> 00:03:09.360]  在這個小說的戲劇裡面
