
[00:00:00.000 --> 00:00:11.000]  請祢的天父,多謝祢在春光明媚的早上,帶領我們再次回到祢溫暖的家。
[00:00:11.000 --> 00:00:17.000]  神啊,當我們坐在這裏的時候,願我們都經歷祢的溫度,
[00:00:17.000 --> 00:00:25.000]  祢對我們生命的溫度,願祢與我們同在,打開我們的心眼,
[00:00:25.000 --> 00:00:33.000]  看到祢,打開我們的耳朵,聽到祢的話語,神啊,祢是我們的神,
[00:00:33.000 --> 00:00:41.000]  祢所說的話,要向我們的生命發聲,我們禱告奉主名求,阿們。
[00:00:41.000 --> 00:00:46.000]  好,這是什麼來的?利是,是吧?
[00:00:46.000 --> 00:00:50.000]  今年新年,你會不會覺得這東西派得多了?
[00:00:50.000 --> 00:00:55.000]  比之前那兩年,或者收多了?都會吧?
[00:00:55.000 --> 00:01:04.000]  上年年中,去到年中,有一個親友來開車接我,去到年中,
[00:01:04.000 --> 00:01:12.000]  因為年初的時候,我沒有機會派利是,我就乘機補派利是給他兩個兒子,
[00:01:12.000 --> 00:01:17.000]  但是都去到年中了,為什麼還要派利是呢?
[00:01:17.000 --> 00:01:23.000]  因為這個親友是一個自僱的球類運動教練,
[00:01:23.000 --> 00:01:33.000]  你想不想到為什麼?疫情啊,一個自僱人士,手停口停,
[00:01:33.000 --> 00:01:40.000]  我不知道他怎麼維生,我不知道他怎麼養活他一家四口,
[00:01:40.000 --> 00:01:48.000]  他是唯一的經濟支柱,但是我心裡忌掛他,但我又要確保他的尊嚴,
[00:01:48.000 --> 00:02:00.000]  他又不願意多說,我唯有如常地補派利是,希望傳達一點點的溫度,一點點的關愛。
[00:02:00.000 --> 00:02:06.000]  裡面真的很微薄,如常地派利是,
[00:02:06.000 --> 00:02:14.000]  其實在我眼裡,這個親友球技精湛,經驗豐富,訓練出來的學生很出色,
[00:02:14.000 --> 00:02:24.000]  過去我真的很少擔心他的職業前途,其實在我心裡,我覺得他比我更穩,
[00:02:24.000 --> 00:02:36.000]  誰知道沒有人知道疫情持續兩三年,一剎那間不少的行業進入冰封時期,
[00:02:36.000 --> 00:02:43.000]  不知道會不會是你的際遇,人生無常,世事難料,
[00:02:43.000 --> 00:02:50.000]  有誰會想到不同的行業會陷入冰封時期,
[00:02:50.000 --> 00:02:56.000]  無論你從事什麼行業,可能你的行業沒有受影響,
[00:02:56.000 --> 00:03:02.000]  但活在這個大時代,近年所經歷的風風雨雨,
[00:03:02.000 --> 00:03:09.000]  你會不會都加深體會,人生無常,世事難料呢?
[00:03:09.000 --> 00:03:15.000]  在舊日聖經裡面,傳道書屬於智慧文學的經卷,
[00:03:15.000 --> 00:03:21.000]  人生無常,世事難測,正正是傳道書重要的主題,
[00:03:21.000 --> 00:03:26.000]  也是傳道者的真知灼見,每月第二個星期,
[00:03:26.000 --> 00:03:31.000]  腐中崇拜在這裡的主題信息,大家知道是什麼嗎?
[00:03:31.000 --> 00:03:37.000]  聽了幾個月了,記不記得?職場行者系列,
[00:03:37.000 --> 00:03:43.000]  在這麼無常的人生,我們又如何在職場自處呢?
[00:03:43.000 --> 00:03:47.000]  今天盼望透過傳道書十一章一至六節,
[00:03:47.000 --> 00:03:51.000]  我們找到一點點的亮光,
[00:03:51.000 --> 00:03:57.000]  傳道書十一章一至六節,可以分為三個小段,
[00:03:57.000 --> 00:04:02.000]  歸納為三個要點,第一點,際遇難測,
