
[00:00:00.000 --> 00:00:02.000]  (新年快樂,身體健康)
[00:00:02.500 --> 00:00:03.660]  大英姐妹早安
[00:00:03.660 --> 00:00:07.300]  新的一年,祝福大家新年快樂
[00:00:07.300 --> 00:00:10.060]  恩福滿滿,身體健康
[00:00:10.060 --> 00:00:14.160]  在新的一年,不知道大家有什麼使命
[00:00:14.160 --> 00:00:16.460]  或者很想有什麼侍奉
[00:00:16.460 --> 00:00:18.300]  今天很開心邀請到
[00:00:18.300 --> 00:00:20.000]  「間諜團契」的Joy
[00:00:20.000 --> 00:00:21.200]  跟我們分享一下
[00:00:21.200 --> 00:00:24.060]  她在三福訓練當中的見證
[00:00:24.060 --> 00:00:25.960]  我們請Joy跟我們分享
[00:00:25.960 --> 00:00:29.960]  (掌聲)
[00:00:29.960 --> 00:00:46.460]  大英姐妹好
[00:00:46.460 --> 00:00:50.460]  感謝神讓我有機會在這裡分享
[00:00:50.460 --> 00:00:54.460]  我在三福侍奉當中的一些體驗和領受
[00:00:54.960 --> 00:00:58.460]  不知不覺信主已經有46年了
[00:00:58.460 --> 00:01:02.460]  過往我只不過是在一些小型的教會裡聚會
[00:01:02.460 --> 00:01:04.460]  因為會眾不多
[00:01:04.460 --> 00:01:07.460]  所以我參與的也挺多侍奉的
[00:01:07.460 --> 00:01:12.960]  十幾年前,神帶領我來到恩福堂
[00:01:12.960 --> 00:01:17.460]  當中我只不過是偶然幫忙做一些私事
[00:01:17.460 --> 00:01:19.960]  因為在恩福堂裡
[00:01:19.960 --> 00:01:23.460]  無論恩賜、能力很強的大英姐妹
[00:01:23.460 --> 00:01:24.960]  她真的多得不得了
[00:01:24.960 --> 00:01:27.460]  所以我不敢參加侍奉
[00:01:27.460 --> 00:01:29.960]  2023年10月的時候
[00:01:29.960 --> 00:01:31.960]  神就很幽默
[00:01:31.960 --> 00:01:34.720]  祂送了一份很特別的禮物給我
[00:01:34.720 --> 00:01:37.460]  就是一個肺癌的末期
[00:01:37.460 --> 00:01:39.960]  後來我祈禱
[00:01:39.960 --> 00:01:44.960]  我就知道原來我要走出來為之作見證
[00:01:44.960 --> 00:01:47.960]  於是我就參加了三福的訓練
[00:01:47.960 --> 00:01:50.960]  現在我已經參加了四期了
[00:01:51.460 --> 00:01:56.460]  頭三期主要是學習講述完整的福音
[00:01:56.460 --> 00:01:58.960]  傳福音的技巧
[00:01:58.960 --> 00:02:00.460]  護教學的知識等等
[00:02:00.460 --> 00:02:02.460]  我跟其他隊員一樣
