
[00:00:00.000 --> 00:00:04.000]  好,各位大兄姊妹,早安
[00:00:04.000 --> 00:00:07.000]  主內平安
[00:00:07.000 --> 00:00:12.000]  大家好,我是陳沛浩,全道
[00:00:12.000 --> 00:00:16.000]  你叫我Ho都可以
[00:00:16.000 --> 00:00:20.000]  叫我Ho,全道,可能大家未必認識我
[00:00:20.000 --> 00:00:25.000]  不要緊,其實我在青少部很久了
[00:00:25.000 --> 00:00:29.000]  很感恩我可以回來青少部分享訊息
[00:00:29.000 --> 00:00:33.000]  很感謝凌峰,因為凌峰幾個月前邀請我
[00:00:33.000 --> 00:00:35.000]  可不可以回來港島
[00:00:35.000 --> 00:00:39.000]  我聽到的時候當然很雀躍,很開心,很興奮
[00:00:39.000 --> 00:00:43.000]  因為回來青少部我是最想的
[00:00:43.000 --> 00:00:46.000]  我在這個地方已經很久了
[00:00:46.000 --> 00:00:50.000]  所以有很多感情在這裡
[00:00:50.000 --> 00:00:55.000]  但很奇妙,神帶我去了另一個地方
[00:00:55.000 --> 00:00:57.000]  知不知道我去了哪裡團契服侍
[00:00:57.000 --> 00:01:01.000]  不知道,我去了長者團契
[00:01:01.000 --> 00:01:05.000]  長者團契和青少當然沒有什麼關係
[00:01:05.000 --> 00:01:11.000]  原來奇妙了,因為長者裡面我有很多探訪和見他們
[00:01:11.000 --> 00:01:14.000]  我收到他們的名字的時候,我不認識他們
[00:01:14.000 --> 00:01:19.000]  什麼方姨,瓊姐,叔叔,我不認識他們
[00:01:19.000 --> 00:01:23.000]  但去到的時候,竟然他們的孫兒我認識
[00:01:23.000 --> 00:01:26.000]  是孫兒叫我,因為戴著口罩我不認識
[00:01:26.000 --> 00:01:34.000]  他們見到我,原來是婆婆奶奶,公公爺爺的孫兒
[00:01:34.000 --> 00:01:36.000]  是我在青少部認識的
[00:01:36.000 --> 00:01:41.000]  帶來一份和長者有很好的親切感
[00:01:41.000 --> 00:01:47.000]  回望的時候,原來神對我來說有很大的恩典
[00:01:47.000 --> 00:01:51.000]  原來以前在青少部服侍的,他們已經長大了
[00:01:51.000 --> 00:01:58.000]  但今天我去服侍長者的時候,竟然有這樣的聯繫和關係
[00:01:58.000 --> 00:02:03.000]  我不說太多,因為阿君也知道,說到明天早上
[00:02:03.000 --> 00:02:07.000]  今晚的會,我們快點進入這個講道
[00:02:07.000 --> 00:02:11.000]  今天講題是什麼呢?你那團火熄了沒有?
[00:02:11.000 --> 00:02:15.000]  這個題目太深了
[00:02:15.000 --> 00:02:20.000]  我想問你覺得你的信仰有沒有熱情?
[00:02:20.000 --> 00:02:23.000]  有沒有溫度?
[00:02:23.000 --> 00:02:29.000]  你不要介意我,阿君也認識我
[00:02:29.000 --> 00:02:33.000]  我忍不住,我會跳來跳去
