
[00:00:00.000 --> 00:00:02.000]  很久沒見大家了
[00:00:02.000 --> 00:00:04.000]  你有沒有發覺很久沒見我
[00:00:04.000 --> 00:00:06.000]  因為我放假了
[00:00:06.000 --> 00:00:10.000]  回來後發現是不是很大反差
[00:00:10.000 --> 00:00:14.000]  樣子有些什麼不同
[00:00:14.000 --> 00:00:16.000]  不見了別數
[00:00:16.000 --> 00:00:18.000]  很多人都很驚訝
[00:00:18.000 --> 00:00:20.000]  為什麼不見了別數
[00:00:20.000 --> 00:00:22.000]  這些有機會再和大家講
[00:00:22.000 --> 00:00:26.000]  放完假回來
[00:00:26.000 --> 00:00:28.000]  人們就說我樣子不同了
[00:00:28.000 --> 00:00:30.000]  有些人就和我說
[00:00:30.000 --> 00:00:32.000]  上午有人和我說
[00:00:32.000 --> 00:00:34.000]  看你瘦了
[00:00:34.000 --> 00:00:36.000]  我說是嗎?謝謝
[00:00:36.000 --> 00:00:38.000]  但下午有人和我說
[00:00:38.000 --> 00:00:40.000]  你胖了
[00:00:40.000 --> 00:00:42.000]  很大反差
[00:00:42.000 --> 00:00:44.000]  你想知道我胖了還是瘦了
[00:00:44.000 --> 00:00:46.000]  沒有變過
[00:00:46.000 --> 00:00:48.000]  磅數一樣
[00:00:48.000 --> 00:00:50.000]  這麼多個月都保持一個磅數
[00:00:50.000 --> 00:00:52.000]  沒有減到沒有加到
[00:00:52.000 --> 00:00:54.000]  很大反差
[00:00:54.000 --> 00:00:56.000]  上午有人說你瘦
[00:00:56.000 --> 00:00:58.000]  下午有人說你胖了
[00:00:58.000 --> 00:01:00.000]  很大反差
[00:01:00.000 --> 00:01:02.000]  在我的朋友裡
[00:01:02.000 --> 00:01:04.000]  有一件事是很大反差
[00:01:04.000 --> 00:01:06.000]  就是有一個
[00:01:06.000 --> 00:01:08.000]  有一對男女拍拖
[00:01:08.000 --> 00:01:10.000]  我和他們聊天
[00:01:10.000 --> 00:01:12.000]  發現他們閃婚
[00:01:12.000 --> 00:01:14.000]  拍拖四個月就說結婚
[00:01:14.000 --> 00:01:16.000]  不過父母就說不要急著
[00:01:16.000 --> 00:01:18.000]  最後他們一年就結婚
[00:01:18.000 --> 00:01:20.000]  很開心
[00:01:20.000 --> 00:01:22.000]  兩個人拍拖結婚
[00:01:22.000 --> 00:01:24.000]  本來閃婚
[00:01:24.000 --> 00:01:26.000]  就沒那麼快
[00:01:26.000 --> 00:01:28.000]  但好景不常
[00:01:28.000 --> 00:01:30.000]  有很大的反差
[00:01:30.000 --> 00:01:32.000]  11年後
[00:01:32.000 --> 00:01:34.000]  他們因了解而分開
[00:01:34.000 --> 00:01:36.000]  人生最大的反差
[00:01:36.000 --> 00:01:38.000]  離婚
[00:01:38.000 --> 00:01:40.000]  不過感恩
[00:01:40.000 --> 00:01:42.000]  在他離婚人生低谷的時候
[00:01:42.000 --> 00:01:44.000]  他們兩個都先後順了住
[00:01:44.000 --> 00:01:46.000]  因為他兒子
[00:01:46.000 --> 00:01:48.000]  他們兩個先後順了住
[00:01:48.000 --> 00:01:50.000]  哇
[00:01:50.000 --> 00:01:52.000]  接下來更大反差
[00:01:52.000 --> 00:01:54.000]  12年
[00:01:54.000 --> 00:01:56.000]  離婚12年後
[00:01:56.000 --> 00:01:58.000]  他們復婚
[00:01:58.000 --> 00:02:00.000]  有沒有去過一個復婚的婚禮
[00:02:00.000 --> 00:02:02.000]  不是結婚
[00:02:02.000 --> 00:02:04.000]  是復婚的婚禮
[00:02:04.000 --> 00:02:06.000]  對我來說是很大的感動
[00:02:06.000 --> 00:02:08.000]  準備這個復婚的婚禮
[00:02:08.000 --> 00:02:10.000]  其實我整個團體
[00:02:10.000 --> 00:02:12.000]  都很開心準備
[00:02:12.000 --> 00:02:14.000]  很期待
[00:02:14.000 --> 00:02:16.000]  誰知道那天又有反差
[00:02:16.000 --> 00:02:18.000]  知道什麼事嗎
[00:02:18.000 --> 00:02:20.000]  電腦壞了
[00:02:20.000 --> 00:02:22.000]  電腦壞了
[00:02:22.000 --> 00:02:24.000]  一點都出不來
[00:02:24.000 --> 00:02:26.000]  最後要唱歌
[00:02:26.000 --> 00:02:28.000]  沒有歌詞
[00:02:28.000 --> 00:02:30.000]  雖然有些瑕疵
[00:02:30.000 --> 00:02:32.000]  但大家都很開心
[00:02:32.000 --> 00:02:34.000]  不是因為歌詞
[00:02:34.000 --> 00:02:36.000]  是因為這對夫婦能夠復婚
[00:02:36.000 --> 00:02:38.000]  12年後
[00:02:38.000 --> 00:02:40.000]  還有反差
[00:02:40.000 --> 00:02:42.000]  大家知道什麼事嗎
[00:02:42.000 --> 00:02:44.000]  我真是想不到神的力量
[00:02:44.000 --> 00:02:46.000]  他們復婚沒多久
[00:02:46.000 --> 00:02:48.000]  兩個先後都去讀神學
[00:02:48.000 --> 00:02:50.000]  現在都在教會做傳道人
[00:02:50.000 --> 00:02:52.000]  是不是很厲害
[00:02:52.000 --> 00:02:54.000]  我看著他們的人生
[00:02:54.000 --> 00:02:56.000]  真的怎樣
[00:02:56.000 --> 00:02:58.000]  反差很大
[00:02:58.000 --> 00:03:00.000]  我不知道再過幾年
[00:03:00.000 --> 00:03:02.000]  我有沒有驚喜
[00:03:02.000 --> 00:03:04.000]  還有什麼
[00:03:04.000 --> 00:03:06.000]  加起來
[00:03:06.000 --> 00:03:08.000]  原來都30多年了
[00:03:08.000 --> 00:03:10.000]  前前後後
[00:03:10.000 --> 00:03:12.000]  回想我自己
[00:03:12.000 --> 00:03:16.000]  我今年30週年紀念結婚
[00:03:16.000 --> 00:03:18.000]  我們都很正常
[00:03:18.000 --> 00:03:20.000]  我們拍拖7年
[00:03:20.000 --> 00:03:22.000]  才結婚
[00:03:22.000 --> 00:03:24.000]  沒有像他那樣4個月才結婚
[00:03:24.000 --> 00:03:26.000]  7年我們結婚
[00:03:26.000 --> 00:03:28.000]  小朋友出生成長
[00:03:28.000 --> 00:03:30.000]  我們兩個人繼續在職場
[00:03:30.000 --> 00:03:32.000]  努力工作
[00:03:32.000 --> 00:03:34.000]  很正常的
[00:03:34.000 --> 00:03:36.000]  結婚生子工作
[00:03:36.000 --> 00:03:38.000]  我一結婚
[00:03:38.000 --> 00:03:40.000]  就有很大反差
[00:03:40.000 --> 00:03:42.000]  聽著
[00:03:42.000 --> 00:03:44.000]  這是婚姻後困境
[00:03:44.000 --> 00:03:46.000]  不是後群症
[00:03:46.000 --> 00:03:48.000]  後困症
[00:03:48.000 --> 00:03:50.000]  全名是結婚後
[00:03:50.000 --> 00:03:52.000]  發現有很多困難的症狀
[00:03:52.000 --> 00:03:54.000]  每個人都是
[00:03:54.000 --> 00:03:56.000]  結婚後發現喜好
[00:03:56.000 --> 00:03:58.000]  習慣性格
[00:03:58.000 --> 00:04:00.000]  手尾完全不同
[00:04:00.000 --> 00:04:02.000]  很大反差
[00:04:02.000 --> 00:04:04.000]  結婚後不是我想像中那樣
[00:04:04.000 --> 00:04:06.000]  都要繼續忍耐
[00:04:06.000 --> 00:04:08.000]  遷就
[00:04:08.000 --> 00:04:10.000]  這樣就過了30年
[00:04:10.000 --> 00:04:12.000]  是不是很大反差
[00:04:12.000 --> 00:04:14.000]  本來是應付不來的
