
[00:00:00.000 --> 00:00:02.000]  大家都看到了
[00:00:02.000 --> 00:00:05.000]  今天講題是「活的信」
[00:00:05.000 --> 00:00:10.000]  大家聽到這個題目可能心裏會有疑問
[00:00:10.000 --> 00:00:14.000]  那是不是有死的信呢?
[00:00:14.000 --> 00:00:18.000]  我們一起從今天的經文去學習
[00:00:18.000 --> 00:00:20.000]  讓我們先禱告
[00:00:20.000 --> 00:00:26.000]  慈愛的天父,多謝你賜下救恩
[00:00:26.000 --> 00:00:31.000]  讓一切信的人可以得到新的生命
[00:00:31.000 --> 00:00:34.000]  並且是永遠的生命
[00:00:34.000 --> 00:00:38.000]  主啊,我們要怎樣才能在地上
[00:00:38.000 --> 00:00:40.000]  活出這份信心
[00:00:40.000 --> 00:00:44.000]  怎樣能成為主耶穌你活的見證
[00:00:44.000 --> 00:00:46.000]  成為活的福音
[00:00:46.000 --> 00:00:49.000]  讓世人都看得到
[00:00:49.000 --> 00:00:52.000]  求祢教導我們,幫助我們
[00:00:52.000 --> 00:00:55.000]  讓我們從雅各書去學習
[00:00:55.000 --> 00:00:59.000]  願祢開我們的心,開我們的耳
[00:00:59.000 --> 00:01:03.000]  使我們能夠聽得明白,活到出來
[00:01:03.000 --> 00:01:05.000]  多謝你聽我們的禱告
[00:01:05.000 --> 00:01:07.000]  奉主耶穌命頭,阿門
[00:01:07.000 --> 00:01:10.000]  好,讓我們一起先讀今天的經文
[00:01:10.000 --> 00:01:14.000]  雅各書2章14至26節
[00:01:14.000 --> 00:01:15.000]  我們一起讀吧
[00:01:15.000 --> 00:01:22.000]  我的弟兄們,若有人說自己有信心卻沒有行為
[00:01:22.000 --> 00:01:24.000]  有什麼益處呢?
[00:01:24.000 --> 00:01:27.000]  這信心能夠他嗎?
[00:01:27.000 --> 00:01:32.000]  若是弟兄或是姐妹赤身露體
[00:01:32.000 --> 00:01:35.000]  又缺了日用的飲食
[00:01:35.000 --> 00:01:38.000]  你們中間有人對他們說
[00:01:38.000 --> 00:01:41.000]  平平安安地去吧
[00:01:41.000 --> 00:01:44.000]  願你們穿得暖,吃得飽
[00:01:44.000 --> 00:01:48.000]  卻不給他們身體所需要的
[00:01:48.000 --> 00:01:51.000]  這有什麼益處呢?
[00:01:51.000 --> 00:01:56.000]  這樣信心若沒有行為,就是死的
[00:01:56.000 --> 00:02:01.000]  必有人說,你有信心,我有行為
[00:02:01.000 --> 00:02:06.000]  你將你沒有行為的信心,指給我看
[00:02:06.000 --> 00:02:12.000]  我便借著我的行為,將我的信心,指給你看
[00:02:12.000 --> 00:02:17.000]  你信神只有一位,你信的不錯
[00:02:17.000 --> 00:02:20.000]  鬼魔也信,卻是賤精
[00:02:20.000 --> 00:02:27.000]  虛浮的人啊,你願意知道沒有行為的信心是死的嗎?
[00:02:27.000 --> 00:02:34.000]  我們的祖宗亞伯拉罕把他兒子以殺獻在壇上
[00:02:34.000 --> 00:02:37.000]  豈不是因行為稱義嗎?
[00:02:37.000 --> 00:02:42.000]  可見信心是與他的行為並行
[00:02:42.000 --> 00:02:47.000]  而且信心因著行為才得盛傳
[00:02:47.000 --> 00:02:50.000]  這就應驗經上所說
[00:02:50.000 --> 00:02:55.000]  亞伯拉罕信神,這就算為他的義
[00:02:55.000 --> 00:02:59.000]  他又得稱為神的朋友
[00:02:59.000 --> 00:03:06.000]  這樣看來,人稱義是因著行為,不是單因著送
[00:03:06.000 --> 00:03:10.000]  妓女拉合接待使者
[00:03:10.000 --> 00:03:14.000]  又放他們從劫的路上出去
[00:03:14.000 --> 00:03:18.000]  不也是一樣行稱義嗎?
[00:03:18.000 --> 00:03:21.000]  身體沒有靈魂是死的
[00:03:21.000 --> 00:03:25.000]  信心沒有行為也是死的
[00:03:25.000 --> 00:03:34.000]  剛才讀經文,大家有沒有留意出現最多的字眼是甚麼?
[00:03:34.000 --> 00:03:37.000]  只是信心嗎?
[00:03:37.000 --> 00:03:42.000]  其實信心和行為都出現了很多
[00:03:42.000 --> 00:03:47.000]  信心總共出現了15次
[00:03:47.000 --> 00:03:50.000]  而行為也出現了12次
[00:03:50.000 --> 00:04:00.000]  所以很明顯這段經文是講到信心和行為
[00:04:00.000 --> 00:04:04.000]  雅各有些語不驚人
[00:04:04.000 --> 00:04:07.000]  一開始就嚇大家一跳
[00:04:07.000 --> 00:04:11.000]  為何有了信心也不能得救呢?
[00:04:11.000 --> 00:04:14.000]  我們不是因信稱義嗎?
[00:04:14.000 --> 00:04:17.000]  是的,我們是因信稱義
[00:04:17.000 --> 00:04:20.000]  但是大家細心看,再看看
[00:04:20.000 --> 00:04:25.000]  雅各說,如果有人說自己有信心
[00:04:25.000 --> 00:04:29.000]  即是有人說自己有信
[00:04:29.000 --> 00:04:34.000]  卻在他的行事為人,完全看不出他的信心
[00:04:34.000 --> 00:04:38.000]  他的行為完全證明不出來
[00:04:38.000 --> 00:04:44.000]  大家有沒有見過這些弟兄姊妹?
[00:04:44.000 --> 00:04:47.000]  不用回答我,不用舉手
[00:04:47.000 --> 00:04:49.000]  那又如何呢?
[00:04:49.000 --> 00:04:51.000]  這樣就是信嗎?
