
[00:00:00.000 --> 00:00:03.200]  今天的講題叫「零小心零放心」
[00:00:03.200 --> 00:00:07.960]  今天的經文會在約翰一書四章一到六節
[00:00:07.960 --> 00:00:09.440]  在進入經文之前
[00:00:09.440 --> 00:00:11.200]  我想問問大家
[00:00:11.200 --> 00:00:14.520]  不知道大家喜不喜歡玩狼人殺
[00:00:14.520 --> 00:00:17.240]  有人喜歡的話可以舉個漂亮的手給我看看
[00:00:17.240 --> 00:00:18.640]  好 很多漂亮的手
[00:00:18.640 --> 00:00:20.520]  我自己也很喜歡玩
[00:00:20.520 --> 00:00:23.680]  我的大專小組每次加聚
[00:00:23.680 --> 00:00:26.840]  都總是玩不論在派對室還是小組房
[00:00:26.840 --> 00:00:28.840]  這個遊戲的確很好玩
[00:00:28.840 --> 00:00:30.760]  越多人玩就越好玩
[00:00:30.760 --> 00:00:33.160]  但好玩之餘也很燒腦
[00:00:33.160 --> 00:00:35.320]  相信在座的你認識的話
[00:00:35.320 --> 00:00:37.560]  都知道裡面有很多不同的角色
[00:00:37.560 --> 00:00:40.080]  重點叫做狼人殺
[00:00:40.080 --> 00:00:43.160]  其實每晚你要去測驗一下
[00:00:43.160 --> 00:00:44.760]  哪一個是狼人
[00:00:44.760 --> 00:00:47.080]  或者哪一隻或者兩隻
[00:00:47.080 --> 00:00:49.080]  而且每一個回合結束之後
[00:00:49.080 --> 00:00:51.600]  每個人就要天亮了
[00:00:51.600 --> 00:00:53.120]  然後就要輪著發言
[00:00:53.120 --> 00:00:54.800]  就要聽聽每個人說的話
[00:00:54.800 --> 00:00:56.640]  是真是假
[00:00:56.640 --> 00:00:58.440]  會不會有些實
[00:00:58.440 --> 00:01:00.280]  你要仔細去思考
[00:01:00.280 --> 00:01:03.600]  透過一些蛛絲馬跡去分析
[00:01:03.600 --> 00:01:04.560]  你是否說謊
[00:01:04.560 --> 00:01:05.960]  那個人是否說真話
[00:01:05.960 --> 00:01:07.760]  那個人究竟是不是壞人
[00:01:07.760 --> 00:01:09.080]  如果你信錯了
[00:01:09.080 --> 00:01:13.440]  可能就會令到一個無辜的人去死了
[00:01:13.440 --> 00:01:15.240]  為什麼會說狼人殺呢
[00:01:15.240 --> 00:01:17.240]  其實我們作為信徒
[00:01:17.240 --> 00:01:18.760]  在現實生活裡面
[00:01:18.760 --> 00:01:22.440]  都好像是一場超大型的狼人殺
[00:01:22.440 --> 00:01:25.040]  因為同樣魔鬼撒旦
[00:01:25.040 --> 00:01:27.400]  都會隱藏在這個世界裡面
[00:01:27.400 --> 00:01:30.080]  隱身在黑暗、月黑、風高的之中
[00:01:30.080 --> 00:01:31.680]  但我們有沒有留意到
[00:01:31.680 --> 00:01:33.400]  有沒有好像玩狼人殺一樣
[00:01:33.400 --> 00:01:35.920]  透過蛛絲馬跡去警覺到呢
[00:01:35.920 --> 00:01:38.240]  所以今天很想透過《若寒一書》
[00:01:38.240 --> 00:01:40.200]  四章一到六節
[00:01:40.200 --> 00:01:41.040]  一起去看看
[00:01:41.040 --> 00:01:44.440]  我們如何識穿隱身在這個世界
[00:01:44.440 --> 00:01:46.400]  黑暗當中的魔鬼撒旦
[00:01:46.400 --> 00:01:49.720]  我們又可以如何去面對它的攻擊和伎倆
[00:01:49.720 --> 00:01:52.960]  我們先一起去讀出今天的經文
[00:01:52.960 --> 00:01:58.680]  預備起 親愛的 一切的靈 何都信
[00:01:58.680 --> 00:02:02.760]  總要察驗那些靈是否出於神
[00:02:02.760 --> 00:02:07.440]  因為有許多假先知已經來到世上
[00:02:07.440 --> 00:02:12.280]  凡宣認耶穌基督是成了肉身而來的靈
[00:02:12.280 --> 00:02:14.480]  就是出於神的
[00:02:14.480 --> 00:02:18.480]  由此你們可以認出神的靈來
[00:02:18.480 --> 00:02:21.200]  凡不宣認耶穌的靈
[00:02:21.200 --> 00:02:23.000]  不是出於神
[00:02:23.000 --> 00:02:25.880]  這是那滴基督者的靈
[00:02:25.880 --> 00:02:29.000]  你們從前聽見祂要來
[00:02:29.000 --> 00:02:32.600]  現在祂已經在世上了
[00:02:32.600 --> 00:02:34.080]  孩子們啊
[00:02:34.080 --> 00:02:36.040]  你們是屬神的
[00:02:36.040 --> 00:02:39.040]  並且勝過了假先知
[00:02:39.040 --> 00:02:41.880]  因為那在你們裡面的
[00:02:41.880 --> 00:02:45.200]  比那在世界上的更大
[00:02:45.200 --> 00:02:47.600]  他們是屬世界的
[00:02:47.600 --> 00:02:50.480]  所以講論世界的事
[00:02:50.480 --> 00:02:53.400]  而世人也聽從他們
[00:02:53.400 --> 00:02:55.480]  我們是屬神的
[00:02:55.480 --> 00:02:58.640]  認識神的就聽從我們
[00:02:58.640 --> 00:03:01.920]  不屬神的就不聽從我們
[00:03:01.920 --> 00:03:05.600]  從此我們可以認出真理的靈
[00:03:05.600 --> 00:03:07.600]  和錯謀的靈來
[00:03:07.600 --> 00:03:10.080]  我們先一起禱告
[00:03:10.080 --> 00:03:12.200]  主多謝祢 祢賜下祢的聖經
[00:03:12.200 --> 00:03:13.320]  祢的真理
[00:03:13.320 --> 00:03:15.400]  讓我們去檢查到
[00:03:15.400 --> 00:03:18.760]  生活當中如何去分辨到真理的靈
[00:03:18.760 --> 00:03:20.040]  錯謀的靈
[00:03:20.040 --> 00:03:21.120]  主啊 願祢幫助我們
[00:03:21.120 --> 00:03:23.040]  透過祢的話 成為我們的提醒
[00:03:23.040 --> 00:03:24.040]  我們的幫助
[00:03:24.040 --> 00:03:26.480]  也求聖靈在我們內裡
[00:03:26.480 --> 00:03:27.760]  讓我們去明白祢的話
[00:03:27.760 --> 00:03:28.600]  莊重祢的話
[00:03:28.600 --> 00:03:29.560]  我們聽禱告
[00:03:29.560 --> 00:03:30.880]  耶穌禱告 奉主耶穌
[00:03:30.880 --> 00:03:32.240]  紀錄聖名 求
[00:03:32.240 --> 00:03:33.360]  阿門
[00:03:33.360 --> 00:03:36.920]  我們先一起進入第一到第三節
[00:03:36.920 --> 00:03:38.320]  是第一點
[00:03:38.320 --> 00:03:40.080]  一開始約翰
[00:03:40.080 --> 00:03:41.720]  就是約翰一書的作者
[00:03:41.720 --> 00:03:42.520]  提醒我們
[00:03:42.520 --> 00:03:45.560]  他說一切的靈都不可都信
[00:03:45.560 --> 00:03:47.120]  這裡講出了
[00:03:47.120 --> 00:03:49.000]  原來除了我們
[00:03:49.000 --> 00:03:52.120]  肉眼看到的這個物質世界之外
[00:03:52.120 --> 00:03:55.240]  我們同時也活在一個肉眼看不見
[00:03:55.240 --> 00:03:56.960]  一個屬靈的世界
[00:03:56.960 --> 00:03:59.200]  他就說屬靈的世界裡面
