
[00:00:00.000 --> 00:00:02.560]  今天回來我們可能見到很多人
[00:00:02.560 --> 00:00:04.560]  但好像詩歌裡面所說
[00:00:04.560 --> 00:00:07.760]  盼望我們回來不見一人
[00:00:07.760 --> 00:00:09.760]  只見耶穌
[00:00:09.760 --> 00:00:13.880]  就讓我們今天帶著恭敬的心去聆聽神的話
[00:00:13.880 --> 00:00:15.880]  很開心當大家回來的時候
[00:00:15.880 --> 00:00:17.880]  我相信見到一個數字
[00:00:17.880 --> 00:00:19.880]  無論你進門口或是上一樓
[00:00:19.880 --> 00:00:21.880]  都見到甚麼數字呢?
[00:00:21.880 --> 00:00:23.880]  35沒錯!
[00:00:23.880 --> 00:00:25.880]  所以弟兄姊妹很感恩今天我們一起
[00:00:25.880 --> 00:00:27.880]  無論是待會會有大會
[00:00:27.880 --> 00:00:31.880]  或是今天我們所有弟兄姊妹都可以慶祝恩福35週年
[00:00:31.880 --> 00:00:36.880]  35年確實是神在我們當中有很多很多的恩典
[00:00:36.880 --> 00:00:40.880]  35也可以說是人一個強壯
[00:00:40.880 --> 00:00:42.880]  可以說是一個強壯的日子
[00:00:42.880 --> 00:00:44.880]  不過我猜我看下去在座
[00:00:44.880 --> 00:00:46.880]  應該你不需要舉手
[00:00:46.880 --> 00:00:47.880]  待會我會叫大家舉手
[00:00:47.880 --> 00:00:49.880]  不過大部分都應該可能過了35
[00:00:49.880 --> 00:00:52.880]  甚至有些可能已經邁向70
[00:00:52.880 --> 00:00:55.880]  所以人生去到不同的年日
[00:00:55.880 --> 00:00:57.880]  兩年多的疫情
[00:00:57.880 --> 00:00:59.880]  會叫我們活著
[00:00:59.880 --> 00:01:01.880]  像仙樓所說的活著是為了甚麼呢?
[00:01:01.880 --> 00:01:03.880]  真的不像掌握
[00:01:03.880 --> 00:01:04.880]  今天你坐在這裡
[00:01:04.880 --> 00:01:06.880]  明天可能你就強檢去到竹篙灣
[00:01:06.880 --> 00:01:08.880]  我知道越來越多人去了這個地方
[00:01:08.880 --> 00:01:09.880]  好像遊覽一樣
[00:01:09.880 --> 00:01:10.880]  今天你去了沒有?
[00:01:10.880 --> 00:01:12.880]  我昨天去了
[00:01:12.880 --> 00:01:14.880]  我們都是控制不了我們的人生
[00:01:14.880 --> 00:01:16.880]  就好像今天我們說到的題目
[00:01:16.880 --> 00:01:19.880]  如飛的人生
[00:01:19.880 --> 00:01:21.880]  一切都不在我們的計劃當中
[00:01:21.880 --> 00:01:23.880]  時間是如飛逝去
[00:01:23.880 --> 00:01:25.880]  但作為神的子民我們如何面對呢?
[00:01:25.880 --> 00:01:27.880]  在沒完沒了的疫情
[00:01:27.880 --> 00:01:28.880]  相信不單止是香港
[00:01:28.880 --> 00:01:30.880]  你猜世界每一個人
[00:01:30.880 --> 00:01:31.880]  你給他四個字
[00:01:31.880 --> 00:01:33.880]  當然是中文字
[00:01:33.880 --> 00:01:35.880]  你會希望甚麼呢?
[00:01:35.880 --> 00:01:36.880]  我猜大家都有一個願望
[00:01:36.880 --> 00:01:39.880]  就是身體健康
[00:01:39.880 --> 00:01:41.880]  所以你跟隔壁的人說身體健康好不好?
[00:01:41.880 --> 00:01:43.880]  身體健康
[00:01:43.880 --> 00:01:45.880]  身體健康是很好的
[00:01:45.880 --> 00:01:48.880]  身體健康是沒有錯的
[00:01:48.880 --> 00:01:50.880]  我之前說到都說過
[00:01:50.880 --> 00:01:51.880]  我曾經有一段時間
[00:01:51.880 --> 00:01:52.880]  非常注重自己的健康
[00:01:52.880 --> 00:01:53.880]  每一餐
[00:01:53.880 --> 00:01:55.880]  一天所吃的三餐
[00:01:55.880 --> 00:01:57.880]  當中的酸鹼度
[00:01:57.880 --> 00:01:58.880]  糖分
[00:01:58.880 --> 00:01:59.880]  蛋白質
[00:01:59.880 --> 00:02:00.880]  全面排毒
[00:02:00.880 --> 00:02:02.880]  全面提升免疫力
