
[00:00:00.000 --> 00:00:02.000]  頂英姐妹晚安
[00:00:02.000 --> 00:00:04.000]  不知你在家還是在哪裡
[00:00:04.000 --> 00:00:07.000]  在網上的頂英姐妹晚安
[00:00:07.000 --> 00:00:10.000]  可不可以開燈?太殘眼了,開多一點
[00:00:10.000 --> 00:00:12.000]  我不知道你什麼心情
[00:00:12.000 --> 00:00:16.000]  其實對於我來說心情起伏很大
[00:00:16.000 --> 00:00:18.000]  今天早上原本預計會有實體
[00:00:18.000 --> 00:00:22.000]  教會去到大約六點才有通告
[00:00:22.000 --> 00:00:25.000]  因為疫情太過嚴峻
[00:00:25.000 --> 00:00:30.000]  所以我們取消實體崇拜轉為直播
[00:00:30.000 --> 00:00:34.000]  剛才敬拜裡面在座的都是敬拜隊侍奉的人和同工
[00:00:34.000 --> 00:00:37.000]  雖然禮堂不是太多人
[00:00:37.000 --> 00:00:40.000]  不過我們很專心敬拜
[00:00:40.000 --> 00:00:44.000]  我仍然相信無論在家還是自己的環境裡
[00:00:44.000 --> 00:00:49.000]  剛才的敬拜盼望我們在基督裡面得到平安
[00:00:49.000 --> 00:00:53.000]  在神裡面的穩妥
[00:00:53.000 --> 00:00:55.000]  都是很重要的
[00:00:55.000 --> 00:00:56.000]  疫情嚴峻
[00:00:56.000 --> 00:01:01.000]  不過我仍然覺得神的話能夠成為我們的幫助和鼓勵
[00:01:01.000 --> 00:01:02.000]  是非常重要的
[00:01:02.000 --> 00:01:06.000]  我記得上次直播是因為颱風
[00:01:06.000 --> 00:01:09.000]  今次轉直播也是因為港獨
[00:01:09.000 --> 00:01:13.000]  所以今天準備整個PowerPoint和所有東西都是實體
[00:01:13.000 --> 00:01:14.000]  不過不要緊
[00:01:14.000 --> 00:01:16.000]  希望後面敬拜隊的頂英姐妹
[00:01:16.000 --> 00:01:17.000]  或者AV Team的頂英姐妹
[00:01:17.000 --> 00:01:20.000]  可以幫到出的時候讓大家能夠掌握多一點
[00:01:20.000 --> 00:01:21.000]  是不是?Watchman
