
[00:00:00.000 --> 00:00:02.540]  下個星期是甚麼節日呢?
[00:00:02.540 --> 00:00:05.020]  大家都知道是聖誕節,對嗎?
[00:00:05.020 --> 00:00:09.160]  所以今天我用了一個題目
[00:00:09.160 --> 00:00:12.720]  就是我們不需要聖誕老人
[00:00:12.720 --> 00:00:15.960]  聖誕節對大家來說
[00:00:15.960 --> 00:00:20.000]  也是一個很值得慶祝的節日
[00:00:20.000 --> 00:00:21.600]  當然我們知道
[00:00:21.600 --> 00:00:25.720]  聖誕節的主角就不是聖誕老人,對嗎?
[00:00:25.720 --> 00:00:27.480]  我們一群信主的人
[00:00:27.480 --> 00:00:31.520]  我們都知道聖誕節的主角是耶穌基督
[00:00:31.520 --> 00:00:34.320]  但為甚麼會有聖誕老人呢?
[00:00:34.320 --> 00:00:38.360]  我想大家都知道有聖誕老人的故事嗎?
[00:00:38.360 --> 00:00:40.760]  你有機會了解一下
[00:00:40.760 --> 00:00:42.760]  原來有聖誕老人出現
[00:00:42.760 --> 00:00:48.080]  跟當時的文化或歷史背景都有關係
[00:00:48.080 --> 00:00:50.320]  聖誕老人跟甚麼有關係呢?
[00:00:50.320 --> 00:00:52.440]  通常都是跟禮物有關係的
[00:00:52.440 --> 00:00:55.840]  為甚麼聖誕節的小朋友那麼期待呢?
[00:00:55.840 --> 00:01:00.560]  就是因為他們在聖誕節會收到聖誕禮物
[00:01:00.560 --> 00:01:02.360]  而誰給他們聖誕禮物呢?
[00:01:02.360 --> 00:01:03.760]  就是聖誕老人
[00:01:03.760 --> 00:01:08.760]  所以其實聖誕老人跟禮物是有關係的
[00:01:08.760 --> 00:01:10.200]  我不知道弟兄姊妹
[00:01:10.200 --> 00:01:13.440]  你在聖誕節裡有沒有一份禮物
[00:01:13.440 --> 00:01:15.320]  你是很想收到的呢?
[00:01:15.320 --> 00:01:17.720]  有沒有呢?
[00:01:17.720 --> 00:01:21.280]  有沒有想收到一份怎樣的聖誕禮物呢?
[00:01:21.280 --> 00:01:22.760]  那你想一下吧
[00:01:22.760 --> 00:01:25.720]  我不知道你想收到一份怎樣的聖誕禮物
[00:01:26.040 --> 00:01:29.440]  今天我們講道的題目就是
[00:01:29.440 --> 00:01:31.800]  我們不需要聖誕老人的
[00:01:31.800 --> 00:01:36.160]  這次的講道已經是我們北區堂的
[00:01:36.160 --> 00:01:39.480]  《希伯來書》的講道系列的第八講
[00:01:39.480 --> 00:01:41.800]  我們今天會一起看
[00:01:41.800 --> 00:01:44.080]  《希伯來書》的第七章
[00:01:44.080 --> 00:01:47.400]  第一到二十八節的經文
[00:01:47.400 --> 00:01:51.120]  也跟大家稍微重溫一下經文
[00:01:51.120 --> 00:01:52.320]  大家如果記得
[00:01:52.320 --> 00:01:56.680]  其實在《希伯來書》大祭司這個題目
[00:01:56.680 --> 00:01:58.400]  其實很早已經出現了
[00:01:58.400 --> 00:02:00.000]  在第二章十七節
[00:02:00.000 --> 00:02:04.920]  那裡講到耶穌是慈悲忠信的大祭司
[00:02:04.920 --> 00:02:06.320]  接著在第三章
[00:02:06.320 --> 00:02:12.360]  作者呼籲讀者要思想這位為師者
[00:02:12.360 --> 00:02:14.600]  以及為大祭司的耶穌
[00:02:14.600 --> 00:02:17.280]  接著到了第四章
[00:02:17.280 --> 00:02:19.120]  其實作者也有提到
[00:02:19.120 --> 00:02:22.880]  既然我們有一個偉大進入高天的大祭司
[00:02:22.880 --> 00:02:26.120]  就要持定所宣認的道
[00:02:26.120 --> 00:02:28.960]  到了第五章第十節
