
[00:00:00.000 --> 00:00:09.000]  但我留意到想起2018年6月尾有一則很搞動人心腸的國際新聞
[00:00:09.000 --> 00:00:12.000]  不是打仗,不是戰亂
[00:00:12.000 --> 00:00:16.000]  但特別搞動到家長心情的新聞
[00:00:16.000 --> 00:00:19.000]  就是在泰國
[00:00:19.000 --> 00:00:22.000]  在泰國有一個
[00:00:22.000 --> 00:00:26.000]  我不知道大家記不記得
[00:00:26.000 --> 00:00:35.000]  水底山洞被困的有12個少年的足球隊和一名青年教練
[00:00:35.000 --> 00:00:40.000]  其實我當初看新聞覺得是甚麼來的呢?
[00:00:40.000 --> 00:00:42.000]  不懂得害怕,不知道是甚麼來的
[00:00:42.000 --> 00:00:44.000]  原來他們很危險
[00:00:44.000 --> 00:00:48.000]  在裡面水浸了,出不來,怎麼辦?
[00:00:48.000 --> 00:00:50.000]  全世界的救援隊去
[00:00:50.000 --> 00:00:53.000]  他們身陷險境,危在旦夕
[00:00:53.000 --> 00:00:57.000]  當時全世界的傳媒都每天都來報道他們的消息
[00:00:57.000 --> 00:01:01.000]  相信這群青年人和他們的家長心情非常複雜
[00:01:01.000 --> 00:01:07.000]  深深感受到沒有人可以掌管自己的命運
[00:01:07.000 --> 00:01:09.000]  今天和大家分享的訊息
[00:01:09.000 --> 00:01:13.000]  就是摩西帶領以色列人出埃及
[00:01:13.000 --> 00:01:17.000]  去到身陷險境,危在旦夕的一刻
[00:01:17.000 --> 00:01:22.000]  如何在窮途末路得到神的拯救
[00:01:22.000 --> 00:01:24.000]  看見神的榮耀
[00:01:24.000 --> 00:01:28.000]  以色列人在埃及住滿了430年
[00:01:28.000 --> 00:01:33.000]  他們在那裡做了很多年奴隸
[00:01:33.000 --> 00:01:38.000]  耶和華就吩咐摩西在埃及私人十災
[00:01:38.000 --> 00:01:43.000]  迫使法老王釋放以色列人離開
[00:01:43.000 --> 00:01:47.000]  十災的第十災
[00:01:47.000 --> 00:01:49.000]  其實通常叫殺長子
[00:01:49.000 --> 00:01:55.000]  其實不單止殺長子,還有所有投生的生畜都會被殺
[00:01:55.000 --> 00:01:58.000]  而以色列人因為蒙神祝福
[00:01:58.000 --> 00:02:03.000]  用羊血,高羊血查滿眉滿框
[00:02:03.000 --> 00:02:07.000]  然後免去被殺長子的災害
[00:02:07.000 --> 00:02:12.000]  十災之後,請問大家有沒有想過原來還有第十一災?
[00:02:12.000 --> 00:02:15.000]  大家知不知道還有第十一災?
[00:02:15.000 --> 00:02:17.000]  今天說的第十一災
[00:02:17.000 --> 00:02:22.000]  我們一起讀一讀今天的背景經文
[00:02:22.000 --> 00:02:24.000]  請大家一起讀出
[00:02:24.000 --> 00:02:28.000]  法老用百姓去的時候
[00:02:28.000 --> 00:02:30.000]  非利士地的道路須近
[00:02:30.000 --> 00:02:33.000]  神卻不領他們從那裡走
[00:02:33.000 --> 00:02:37.000]  因為神說恐怕百姓遇見打仗後悔
[00:02:37.000 --> 00:02:39.000]  就回埃及去
[00:02:39.000 --> 00:02:42.000]  所以神領百姓繞道而行
[00:02:42.000 --> 00:02:44.000]  走紅海曠野的路
[00:02:44.000 --> 00:02:46.000]  以色列人出埃及地
[00:02:46.000 --> 00:02:49.000]  都帶著兵器上去
[00:02:49.000 --> 00:02:52.000]  摩西把弱勢的骸骨一同帶去
[00:02:52.000 --> 00:02:54.000]  因為弱勢曾叫以色列人
[00:02:54.000 --> 00:02:56.000]  艷艷地起誓
[00:02:56.000 --> 00:02:59.000]  對他們說:神必眷顧你們
[00:02:59.000 --> 00:03:03.000]  你們要把我的骸骨從這裡一同帶上去
[00:03:03.000 --> 00:03:05.000]  他們從疏國起行
[00:03:05.000 --> 00:03:08.000]  在確野邊的二堂安營
[00:03:08.000 --> 00:03:12.000]  日間夜華在雲柱中領他們的路
[00:03:12.000 --> 00:03:15.000]  夜間在火柱中照明他們
[00:03:15.000 --> 00:03:18.000]  使他們日夜都可以行走
[00:03:18.000 --> 00:03:21.000]  日間雲柱夜間火柱
[00:03:21.000 --> 00:03:24.000]  總不離開百姓面前
[00:03:24.000 --> 00:03:28.000]  非理士的道路
[00:03:28.000 --> 00:03:30.000]  大家看到
[00:03:30.000 --> 00:03:33.000]  現在新聞都經常見到
[00:03:33.000 --> 00:03:35.000]  這條經過加沙的道路
[00:03:35.000 --> 00:03:40.000]  非理士的道路是由埃及去加拿大最快的路
[00:03:40.000 --> 00:03:43.000]  走至一條沿海高速公路
[00:03:43.000 --> 00:03:45.000]  路程最直接
[00:03:45.000 --> 00:03:47.000]  不超過三百公里
[00:03:47.000 --> 00:03:52.000]  為何神帶領以色列人走這條快速的路呢?
[00:03:52.000 --> 00:03:54.000]  在十三章十七節
[00:03:54.000 --> 00:03:58.000]  因為神說恐怕以色列人遇到征戰後悔
[00:03:58.000 --> 00:04:00.000]  就回到埃及
[00:04:00.000 --> 00:04:04.000]  究竟是甚麼征戰呢?
[00:04:04.000 --> 00:04:09.000]  原來神早就知道法老王會帶備他的兵馬追求以色列人
[00:04:09.000 --> 00:04:14.000]  法老的戰車會在非理士的道路奔馳得很快
[00:04:14.000 --> 00:04:16.000]  很容易就追上
[00:04:16.000 --> 00:04:18.000]  在所難免
[00:04:18.000 --> 00:04:25.000]  所以神為以色列人另有安排
[00:04:25.000 --> 00:04:29.000]  在十三章二十一到二十二節記載到
[00:04:29.000 --> 00:04:33.000]  神用雲柱和火柱帶領以色列人
[00:04:33.000 --> 00:04:35.000]  為何用雲柱和火柱呢?
[00:04:35.000 --> 00:04:38.000]  因為中東地帶日間很熱
[00:04:38.000 --> 00:04:40.000]  太陽曬得非常猛烈
[00:04:40.000 --> 00:04:42.000]  雲柱可以防曬
[00:04:42.000 --> 00:04:44.000]  大家喜歡防曬嗎?
[00:04:44.000 --> 00:04:47.000]  不用擦防曬吧?
[00:04:47.000 --> 00:04:49.000]  夜間氣溫非常寒冷
[00:04:49.000 --> 00:04:51.000]  火柱可以保暖
[00:04:51.000 --> 00:04:52.000]  加上照明
[00:04:52.000 --> 00:04:53.000]  甚至如果趕路
[00:04:53.000 --> 00:04:55.000]  日夜都可以趕路
[00:04:55.000 --> 00:04:59.000]  神對以色列人照顧非常周到
[00:04:59.000 --> 00:05:01.000]  有雲柱、火柱帶領之下
[00:05:01.000 --> 00:05:04.000]  耶和華對以色列人有甚麼計劃呢?
[00:05:04.000 --> 00:05:08.000]  我們讀十四章一到三節
[00:05:08.000 --> 00:05:10.000]  耶和華曉遇摩西說
[00:05:10.000 --> 00:05:12.000]  「你吩咐以色列人轉回
[00:05:12.000 --> 00:05:15.000]  安營在比哈希六前
[00:05:15.000 --> 00:05:17.000]  密度和海的中間
[00:05:17.000 --> 00:05:19.000]  對著巴力洗分
[00:05:19.000 --> 00:05:21.000]  靠近海邊安營
[00:05:21.000 --> 00:05:22.000]  法路必說
[00:05:22.000 --> 00:05:25.000]  以色列人在地中擾迷了
[00:05:25.000 --> 00:05:28.000]  曠野把他們困住了」
[00:05:28.000 --> 00:05:33.000]  以色列人的路線
[00:05:33.000 --> 00:05:38.000]  本來由埃及、尼羅河三國州的疏國開始
[00:05:38.000 --> 00:05:41.000]  在途中的長方形情況
[00:05:41.000 --> 00:05:44.000]  現在放大再看
[00:05:44.000 --> 00:05:45.000]  在地方
[00:05:45.000 --> 00:05:48.000]  有個蘇伊士灣同海
[00:05:48.000 --> 00:05:51.000]  北邊就是地中海
[00:05:51.000 --> 00:05:53.000]  一到二節神吩咐
[00:05:53.000 --> 00:05:55.000]  帶領以色列人轉回
[00:05:55.000 --> 00:05:57.000]  去到哈比希六前
[00:05:57.000 --> 00:05:59.000]  靠近海邊安營
