
[00:00:00.000 --> 00:00:05.120]  在說到之前,我也很想和心去禱告
[00:00:05.120 --> 00:00:07.820]  慈悲的天父,感謝你
[00:00:07.820 --> 00:00:10.740]  讓我們可以回來教會,一起去敬拜你
[00:00:10.740 --> 00:00:14.300]  求主打開我們的心,聆聽神的話語
[00:00:14.300 --> 00:00:17.200]  被神的話語提醒,幫助
[00:00:17.200 --> 00:00:21.000]  讓神的道在我們生命中實踐出來
[00:00:21.000 --> 00:00:24.000]  奉主耶穌基督之名,祈求阿們
[00:00:24.000 --> 00:00:26.000]  想問問大家
[00:00:26.000 --> 00:00:32.000]  有沒有人每天可以做到30分鐘的運動?
[00:00:32.000 --> 00:00:37.000]  每天,30分鐘,寥寥可數
[00:00:37.000 --> 00:00:41.000]  有沒有人飲食時覺得自己很健康?
[00:00:41.000 --> 00:00:43.000]  自己覺得
[00:00:43.000 --> 00:00:46.000]  有些人覺得自己很健康
[00:00:46.000 --> 00:00:51.000]  有沒有人每晚在11點之前可以睡覺?
[00:00:51.000 --> 00:00:54.000]  哇,也有
[00:00:54.000 --> 00:00:57.000]  有沒有人是三樣都做到?
[00:00:57.000 --> 00:01:02.000]  咦,你做到了,真好
[00:01:02.000 --> 00:01:04.000]  根據調查發現
[00:01:04.000 --> 00:01:09.000]  人通常每年都會定一些新年目標
[00:01:09.000 --> 00:01:13.000]  有50.5%是和健康有關
[00:01:13.000 --> 00:01:16.000]  可能我們也試過,像剛才那樣
[00:01:16.000 --> 00:01:19.000]  定早點睡,多做運動
[00:01:19.000 --> 00:01:24.000]  不過有很多人會中途放棄
[00:01:24.000 --> 00:01:25.000]  為什麼呢?
[00:01:25.000 --> 00:01:29.000]  因為要長期堅持自己的目標
[00:01:29.000 --> 00:01:31.000]  一點也不容易
[00:01:31.000 --> 00:01:33.000]  所謂知而行難
[00:01:33.000 --> 00:01:36.000]  知道歸知道,就是做不到
[00:01:36.000 --> 00:01:40.000]  有時候,說就天下無敵
[00:01:40.000 --> 00:01:42.000]  做就有心無力
[00:01:42.000 --> 00:01:46.000]  經常只會說,沒有實際行動
[00:01:46.000 --> 00:01:51.000]  生活方式有時候我們也會覺得很難改變
[00:01:51.000 --> 00:01:57.000]  何況是一些我們根深蒂固的習慣、性格或價值觀
[00:01:57.000 --> 00:02:00.000]  我們作為信徒
[00:02:00.000 --> 00:02:03.000]  我們也知道很多聖經的知識
[00:02:03.000 --> 00:02:07.000]  聽完之後覺得心裡很火熱
[00:02:07.000 --> 00:02:10.000]  又細神癖,又立志
[00:02:10.000 --> 00:02:13.000]  覺得一定要學好它,或改好它
