
[00:00:00.000 --> 00:00:03.800]  開始的時候我很想跟大家說一個故事
[00:00:03.800 --> 00:00:05.920]  這個故事不是我作的
[00:00:05.920 --> 00:00:08.600]  是在007 有沒有看過
[00:00:08.600 --> 00:00:09.800]  很久以前的
[00:00:09.800 --> 00:00:13.080]  有一套電影裡面有一個很小的故事
[00:00:13.080 --> 00:00:14.800]  我猜大家都忘記了或者
[00:00:14.800 --> 00:00:16.600]  沒看過吧 大家都這麼小
[00:00:16.600 --> 00:00:18.000]  所以沒看過
[00:00:18.000 --> 00:00:20.200]  先說一下這個故事
[00:00:20.200 --> 00:00:23.520]  這個故事就是有一個很有錢的人
[00:00:23.520 --> 00:00:27.200]  很有錢的人他用很多錢買了一個島
[00:00:27.200 --> 00:00:29.000]  大家不要想去另外一邊
[00:00:29.000 --> 00:00:31.800]  是一個虛構的故事
[00:00:31.800 --> 00:00:34.200]  他買了一個島
[00:00:34.200 --> 00:00:38.800]  去那裡度假放鬆
[00:00:38.800 --> 00:00:41.400]  不過發現了一個問題
[00:00:41.400 --> 00:00:43.200]  很困難的一件事就是
[00:00:43.200 --> 00:00:45.000]  之前有一艘船來了之後
[00:00:45.000 --> 00:00:48.400]  就帶了很多老鼠來到這個島裡面
[00:00:48.400 --> 00:00:50.200]  是不是聽過
[00:00:50.200 --> 00:00:53.000]  那些老鼠真的很誇張
[00:00:53.000 --> 00:00:54.400]  越生越多越生越多
[00:00:54.400 --> 00:00:57.400]  所以整個島就不斷有很多老鼠在裡面
[00:00:57.400 --> 00:00:59.200]  然後就很頭痛
[00:00:59.200 --> 00:01:03.200]  那個富翁就想了一個方法去處理那些老鼠
[00:01:03.200 --> 00:01:06.200]  他就在島的沙灘中間
[00:01:06.200 --> 00:01:08.400]  挖了一個洞 放了一個桶在裡面
[00:01:08.400 --> 00:01:11.600]  然後就放了很多椰子殼進去
[00:01:11.600 --> 00:01:13.600]  就吸引那些老鼠去吃
[00:01:13.600 --> 00:01:15.800]  一隻一隻的老鼠
[00:01:15.800 --> 00:01:18.400]  就衝進去 那個桶裡面
[00:01:18.400 --> 00:01:20.600]  去吃那些椰子殼
[00:01:20.600 --> 00:01:23.600]  然後他就慢慢看到很多老鼠
[00:01:23.600 --> 00:01:25.400]  然後他就封了那個桶
[00:01:25.400 --> 00:01:27.400]  那就搞定了 封了那個桶
[00:01:27.400 --> 00:01:29.400]  就把那個桶扔進海裡 搞定了
[00:01:29.400 --> 00:01:33.400]  但是其實他又覺得事情還沒完
[00:01:33.400 --> 00:01:37.400]  他把那個桶一邊封一邊放在那裡
[00:01:37.400 --> 00:01:40.400]  那些老鼠慢慢吃完那些椰子殼
[00:01:40.400 --> 00:01:42.400]  沒東西吃怎麼辦
[00:01:42.400 --> 00:01:44.400]  就吃旁邊那個
[00:01:44.400 --> 00:01:47.400]  就一隻一隻老鼠不斷在那裡互相廝殺
[00:01:47.400 --> 00:01:50.600]  在那個桶裡面不斷在那裡互相廝殺
[00:01:50.600 --> 00:01:52.200]  結果去到一個點
[00:01:52.200 --> 00:01:55.400]  整個桶裡面最後剩下兩隻老鼠
[00:01:55.400 --> 00:01:57.200]  那兩隻老鼠
[00:01:57.200 --> 00:02:01.600]  最後那個附庸把那兩隻老鼠放回森林裡
[00:02:01.600 --> 00:02:05.400]  因為那兩隻老鼠已經不再是吃椰子殼的老鼠
[00:02:05.400 --> 00:02:07.400]  而是吃老鼠的老鼠
[00:02:07.400 --> 00:02:10.400]  這個故事聽起來有點恐怖
[00:02:10.400 --> 00:02:11.600]  說出來有點恐怖
[00:02:11.600 --> 00:02:15.400]  但是我想知道那個中心思想想說什麼
[00:02:15.400 --> 00:02:20.800]  就是當那些老鼠其實放在一個系統裡面
[00:02:20.800 --> 00:02:23.200]  它都會被迫去改變
[00:02:23.200 --> 00:02:26.200]  要競爭 要廝殺 要搶奪
[00:02:26.200 --> 00:02:30.200]  沒東西吃的時候它們要圍著自己去努力拼搏
[00:02:30.200 --> 00:02:34.000]  到最後它們都不認識自己
[00:02:34.000 --> 00:02:35.200]  因為它們已經不斷變
[00:02:35.200 --> 00:02:38.800]  它們的腦已經不斷被塑造 重新塑造
[00:02:38.800 --> 00:02:41.200]  以致它們都不再認得自己是怎樣
[00:02:41.200 --> 00:02:44.400]  或者這個其實都是人類的寫照
[00:02:44.400 --> 00:02:45.800]  不知道大家有沒有覺得
[00:02:45.800 --> 00:02:48.800]  當我們進入一個一個的系統裡面
[00:02:48.800 --> 00:02:52.400]  一個一個的系統其實會塑造我們去模糊我們
[00:02:52.400 --> 00:02:54.200]  本身都不懂得這樣想
[00:02:54.200 --> 00:02:55.800]  進去就會這樣想
[00:02:55.800 --> 00:02:58.600]  好像我 我記得我以前入中學的時候
[00:02:58.600 --> 00:03:00.800]  小學的時候還跟別人說
[00:03:00.800 --> 00:03:04.600]  大家一個給一萬 一個給五千 一個給二千
[00:03:04.600 --> 00:03:06.200]  大家努力就可以了
[00:03:06.200 --> 00:03:07.200]  去到中學不是
[00:03:07.200 --> 00:03:10.600]  我見個個都很競爭 個個都很大野心的時候
[00:03:10.600 --> 00:03:13.200]  我就覺得 慘了 我不跟他們鬥的話
